relationshipType,unique_value_count,unique_values
hasMaterialType,6,"['leather', 'canvas', 'synthetic', 'fabric', 'textile', 'synthetic leather']"
belongsToCategory,4,"['lowerbody', 'accessories', 'upperbody', 'bag']"
hasLeatherType,4,"['full grain leather', 'suede', 'uncoated', 'full-grain leather']"
hasFabricTreatment,4,"['plain weave', 'perforated', 'non-treated', 'stitched']"
hasPocketType,4,"['single', 'internal pocket', 'internal', 'zipper pocket']"
hasOpeningType,3,"['zipper', 'zipper closure', 'folded']"
hasPattern,3,"['solid color', 'striped', 'solid-colored']"
hasSleeveType,3,"['sleeveless', 'short', 'non-existent']"
hasNeckline,3,"['v-shaped', 'straight', 'non-existent']"
hasLength,2,"['short', 'long']"
hasWaistline,2,"['high', 'natural-waist']"
hasLapelType,2,"['without lapel', 'non-existent']"
hasCollarType,2,"['without collar', 'non-existent']"
hasAnimalPattern,2,"['no', 'non-existent']"
hasSilhouette,1,['rectangular']
depicts,1,['wallet']
hasNickname,1,['clutch']
