relation1,attribute1,relation2,attribute2,frequency
depicts,shoes,belongsToCategory,lowerbody,39
belongsToCategory,lowerbody,depicts,shoes,39
depicts,shoes,hasOpeningType,slip-on,31
hasOpeningType,slip-on,depicts,shoes,31
belongsToCategory,lowerbody,hasOpeningType,slip-on,30
hasOpeningType,slip-on,belongsToCategory,lowerbody,30
belongsToCategory,lowerbody,hasMaterialType,leather,27
depicts,shoes,hasMaterialType,leather,27
hasMaterialType,leather,belongsToCategory,lowerbody,27
hasMaterialType,leather,depicts,shoes,27
belongsToCategory,lowerbody,hasNeckline,round,21
depicts,shoes,hasNeckline,round,21
hasNeckline,round,belongsToCategory,lowerbody,21
hasNeckline,round,depicts,shoes,21
hasOpeningType,slip-on,hasMaterialType,leather,19
hasMaterialType,leather,hasOpeningType,slip-on,19
hasNeckline,round,hasOpeningType,slip-on,17
hasOpeningType,slip-on,hasNeckline,round,17
depicts,shoes,hasSilhouette,slip-on,13
hasSilhouette,slip-on,depicts,shoes,13
belongsToCategory,lowerbody,hasSilhouette,round,13
depicts,shoes,hasSilhouette,round,13
hasSilhouette,round,belongsToCategory,lowerbody,13
hasSilhouette,round,depicts,shoes,13
belongsToCategory,lowerbody,hasSilhouette,slip-on,12
hasSilhouette,slip-on,belongsToCategory,lowerbody,12
depicts,shoes,hasLength,short,12
hasLength,short,depicts,shoes,12
hasLength,short,hasOpeningType,slip-on,11
hasOpeningType,slip-on,hasLength,short,11
hasLength,short,belongsToCategory,lowerbody,11
belongsToCategory,lowerbody,hasLength,short,11
depicts,shoes,hasMaterialType,fabric,10
hasMaterialType,fabric,depicts,shoes,10
hasSleeveType,sleeveless,hasOpeningType,slip-on,10
hasOpeningType,slip-on,hasSleeveType,sleeveless,10
belongsToCategory,lowerbody,hasSleeveType,sleeveless,10
depicts,shoes,hasSleeveType,sleeveless,10
hasSleeveType,sleeveless,belongsToCategory,lowerbody,10
hasSleeveType,sleeveless,depicts,shoes,10
belongsToCategory,lowerbody,hasFabricTreatment,suede,10
depicts,shoes,hasFabricTreatment,suede,10
hasFabricTreatment,suede,belongsToCategory,lowerbody,10
hasFabricTreatment,suede,depicts,shoes,10
hasMaterialType,leather,hasSilhouette,round,10
hasMaterialType,leather,hasNeckline,round,10
hasSilhouette,round,hasMaterialType,leather,10
hasNeckline,round,hasMaterialType,leather,10
hasSilhouette,slip-on,hasMaterialType,leather,9
hasMaterialType,leather,hasSilhouette,slip-on,9
hasOpeningType,slip-on,hasMaterialType,fabric,9
hasMaterialType,fabric,hasOpeningType,slip-on,9
belongsToCategory,lowerbody,hasMaterialType,fabric,9
belongsToCategory,lowerbody,hasLength,low-top,9
depicts,shoes,hasLength,low-top,9
hasMaterialType,fabric,belongsToCategory,lowerbody,9
hasLength,low-top,belongsToCategory,lowerbody,9
hasLength,low-top,depicts,shoes,9
hasMaterialType,leather,hasFabricTreatment,suede,9
hasFabricTreatment,suede,hasMaterialType,leather,9
hasLength,short,hasNeckline,round,9
hasNeckline,round,hasLength,short,9
belongsToCategory,lowerbody,hasSleeveType,slip-on,8
depicts,shoes,hasSleeveType,slip-on,8
belongsToCategory,lowerbody,hasLength,ankle-length,8
depicts,shoes,hasLength,ankle-length,8
hasSleeveType,slip-on,belongsToCategory,lowerbody,8
hasLength,ankle-length,belongsToCategory,lowerbody,8
hasSleeveType,slip-on,depicts,shoes,8
hasLength,ankle-length,depicts,shoes,8
hasNeckline,round,hasMaterialType,fabric,8
hasSilhouette,round,hasOpeningType,slip-on,8
hasNeckline,round,hasSleeveType,sleeveless,8
hasMaterialType,fabric,hasNeckline,round,8
hasSleeveType,sleeveless,hasNeckline,round,8
hasOpeningType,slip-on,hasSilhouette,round,8
hasOpeningType,slip-on,hasFabricTreatment,suede,8
hasFabricTreatment,suede,hasOpeningType,slip-on,8
hasLength,ankle-length,hasMaterialType,leather,7
hasMaterialType,leather,hasLength,ankle-length,7
depicts,shoes,hasPattern,solid color,7
hasLength,short,hasMaterialType,fabric,7
hasMaterialType,fabric,hasLength,short,7
hasPattern,solid color,depicts,shoes,7
hasSilhouette,round,hasLength,low-top,7
hasLength,low-top,hasSilhouette,round,7
hasMaterialType,leather,hasLeatherType,full-grain,7
belongsToCategory,lowerbody,hasLeatherType,full-grain,7
depicts,shoes,hasLeatherType,full-grain,7
hasLeatherType,full-grain,hasMaterialType,leather,7
hasLeatherType,full-grain,belongsToCategory,lowerbody,7
hasLeatherType,full-grain,depicts,shoes,7
hasSilhouette,flat,hasOpeningType,slip-on,7
hasSilhouette,flat,hasNeckline,round,7
hasSilhouette,flat,hasLength,short,7
hasOpeningType,slip-on,hasSilhouette,flat,7
hasNeckline,round,hasSilhouette,flat,7
hasLength,short,hasSilhouette,flat,7
belongsToCategory,lowerbody,hasSilhouette,flat,7
depicts,shoes,hasSilhouette,flat,7
hasSilhouette,flat,belongsToCategory,lowerbody,7
hasSilhouette,flat,depicts,shoes,7
hasSleeveType,slip-on,hasMaterialType,leather,6
hasMaterialType,leather,hasSleeveType,slip-on,6
hasOpeningType,slip-on,hasPattern,solid color,6
hasPattern,solid color,hasOpeningType,slip-on,6
hasLeatherType,full-grain leather,depicts,shoes,6
hasLeatherType,full-grain leather,belongsToCategory,lowerbody,6
hasLeatherType,full-grain leather,hasMaterialType,leather,6
depicts,shoes,hasLeatherType,full-grain leather,6
belongsToCategory,lowerbody,hasLeatherType,full-grain leather,6
hasMaterialType,leather,hasLeatherType,full-grain leather,6
hasSleeveType,sleeveless,hasMaterialType,fabric,6
hasMaterialType,fabric,hasSleeveType,sleeveless,6
hasLength,low-top,hasMaterialType,leather,6
hasMaterialType,leather,hasLength,low-top,6
hasLength,short,hasSleeveType,sleeveless,6
hasSleeveType,sleeveless,hasLength,short,6
belongsToCategory,lowerbody,hasPattern,solid color,6
hasPattern,solid color,belongsToCategory,lowerbody,6
hasSleeveType,short,hasMaterialType,leather,6
hasSleeveType,short,hasOpeningType,slip-on,6
hasMaterialType,leather,hasSleeveType,short,6
hasOpeningType,slip-on,hasSleeveType,short,6
belongsToCategory,lowerbody,hasSleeveType,short,6
depicts,shoes,hasSleeveType,short,6
hasSleeveType,short,belongsToCategory,lowerbody,6
hasSleeveType,short,depicts,shoes,6
hasLength,low-top,hasOpeningType,slip-on,5
hasOpeningType,slip-on,hasLength,low-top,5
hasSilhouette,slip-on,hasFabricTreatment,suede,5
hasFabricTreatment,suede,hasSilhouette,slip-on,5
hasSilhouette,flat,hasMaterialType,fabric,5
hasSilhouette,flat,hasSleeveType,sleeveless,5
hasMaterialType,fabric,hasSilhouette,flat,5
hasSleeveType,sleeveless,hasSilhouette,flat,5
hasNeckline,round,hasPattern,solid color,5
hasPattern,solid color,hasNeckline,round,5
hasNeckline,round,hasSleeveType,short,5
hasSleeveType,short,hasNeckline,round,5
hasMaterialType,fabric,hasPattern,solid color,4
hasPattern,solid color,hasMaterialType,fabric,4
hasSilhouette,slip-on,hasLength,short,4
hasLength,short,hasSilhouette,slip-on,4
hasMaterialType,leather,hasLength,short,4
hasLength,short,hasMaterialType,leather,4
hasLength,low-top,hasNeckline,round,4
hasNeckline,round,hasLength,low-top,4
hasOpeningType,slip-on,hasLeatherType,full-grain leather,4
hasLeatherType,full-grain leather,hasOpeningType,slip-on,4
hasLength,ankle-length,hasSilhouette,round,4
hasOpeningType,lace-up,depicts,shoes,4
hasOpeningType,lace-up,belongsToCategory,lowerbody,4
hasSilhouette,round,hasLength,ankle-length,4
depicts,shoes,hasOpeningType,lace-up,4
belongsToCategory,lowerbody,hasOpeningType,lace-up,4
hasSleeveType,sleeveless,hasPattern,solid color,4
hasPattern,solid color,hasSleeveType,sleeveless,4
hasLeatherType,full-grain,hasFabricTreatment,suede,4
hasNeckline,round,hasFabricTreatment,suede,4
hasFabricTreatment,suede,hasLeatherType,full-grain,4
hasOpeningType,slip-on,hasLeatherType,full-grain,4
hasLeatherType,full-grain,hasOpeningType,slip-on,4
hasFabricTreatment,suede,hasNeckline,round,4
hasSilhouette,slip-on,hasLeatherType,full-grain,4
hasLeatherType,full-grain,hasSilhouette,slip-on,4
hasLength,ankle-length,hasOpeningType,slip-on,4
hasOpeningType,slip-on,hasLength,ankle-length,4
hasLength,ankle-length,hasSleeveType,slip-on,3
hasSleeveType,slip-on,hasLength,ankle-length,3
hasSilhouette,slip-on,hasLength,ankle-length,3
hasLength,ankle-length,hasSilhouette,slip-on,3
hasLength,short,hasPattern,solid color,3
hasSilhouette,slip-on,hasMaterialType,fabric,3
hasPattern,solid color,hasLength,short,3
hasMaterialType,fabric,hasSilhouette,slip-on,3
hasSilhouette,round,hasSleeveType,sleeveless,3
hasSilhouette,round,hasLapelType,no-lapel,3
belongsToCategory,lowerbody,hasLapelType,no-lapel,3
depicts,shoes,hasLapelType,no-lapel,3
hasSleeveType,sleeveless,hasSilhouette,round,3
hasLapelType,no-lapel,hasSilhouette,round,3
hasLapelType,no-lapel,belongsToCategory,lowerbody,3
hasLapelType,no-lapel,depicts,shoes,3
hasLength,slip-on,hasMaterialType,leather,3
hasSilhouette,pointed toe,hasMaterialType,leather,3
hasSilhouette,pointed toe,hasOpeningType,slip-on,3
hasMaterialType,leather,hasLength,slip-on,3
belongsToCategory,lowerbody,hasLength,slip-on,3
depicts,shoes,hasLength,slip-on,3
hasMaterialType,leather,hasSilhouette,pointed toe,3
hasOpeningType,slip-on,hasSilhouette,pointed toe,3
belongsToCategory,lowerbody,hasSilhouette,pointed toe,3
depicts,shoes,hasSilhouette,pointed toe,3
hasLength,slip-on,belongsToCategory,lowerbody,3
hasSilhouette,pointed toe,belongsToCategory,lowerbody,3
hasLength,slip-on,depicts,shoes,3
hasSilhouette,pointed toe,depicts,shoes,3
hasOpeningType,lace-up,hasSilhouette,round,3
hasNeckline,round,hasLength,ankle-length,3
hasLength,ankle-length,hasNeckline,round,3
hasOpeningType,lace-up,hasNeckline,round,3
hasLeatherType,full-grain leather,hasNeckline,round,3
hasSilhouette,round,hasOpeningType,lace-up,3
hasNeckline,round,hasOpeningType,lace-up,3
hasMaterialType,leather,hasOpeningType,lace-up,3
hasOpeningType,lace-up,hasMaterialType,leather,3
