relation1,attribute1,relation2,attribute2,frequency
depicts,glasses,hasMaterialType,plastic,25
hasMaterialType,plastic,depicts,glasses,25
belongsToCategory,head,hasMaterialType,plastic,23
hasMaterialType,plastic,belongsToCategory,head,23
depicts,glasses,belongsToCategory,head,22
belongsToCategory,head,depicts,glasses,22
hasLength,short,hasMaterialType,plastic,19
hasMaterialType,plastic,hasLength,short,19
hasNickname,sunglasses,hasMaterialType,plastic,19
hasMaterialType,plastic,hasNickname,sunglasses,19
depicts,glasses,hasNickname,sunglasses,19
hasNickname,sunglasses,depicts,glasses,19
belongsToCategory,head,hasNickname,sunglasses,18
hasNickname,sunglasses,belongsToCategory,head,18
hasSilhouette,rectangular,hasMaterialType,plastic,15
hasMaterialType,plastic,hasSilhouette,rectangular,15
belongsToCategory,upperbody,hasMaterialType,plastic,14
hasMaterialType,plastic,belongsToCategory,upperbody,14
depicts,glasses,hasLength,short,13
hasLength,short,depicts,glasses,13
belongsToCategory,head,hasLength,short,12
hasLength,short,belongsToCategory,head,12
hasMaterialType,plastic,hasPattern,solid color,9
hasMaterialType,plastic,hasFabricTreatment,coated,9
hasPattern,solid color,hasMaterialType,plastic,9
hasFabricTreatment,coated,hasMaterialType,plastic,9
hasSilhouette,rectangular,hasLength,short,9
hasNickname,sunglasses,hasLength,short,9
hasLength,short,hasSilhouette,rectangular,9
hasLength,short,hasNickname,sunglasses,9
hasSilhouette,aviator,hasMaterialType,plastic,9
hasMaterialType,plastic,hasSilhouette,aviator,9
depicts,glasses,hasFabricTreatment,coated,8
hasSleeveType,sleeveless,hasMaterialType,plastic,8
hasMaterialType,plastic,hasSleeveType,sleeveless,8
hasFabricTreatment,coated,depicts,glasses,8
belongsToCategory,upperbody,hasSilhouette,rectangular,8
hasSilhouette,rectangular,belongsToCategory,upperbody,8
belongsToCategory,head,hasSilhouette,aviator,8
depicts,glasses,hasSilhouette,aviator,8
hasSilhouette,aviator,belongsToCategory,head,8
hasSilhouette,aviator,depicts,glasses,8
hasMaterialType,plastic,hasSilhouette,round,8
hasSilhouette,round,hasMaterialType,plastic,8
hasSilhouette,oval,hasMaterialType,plastic,7
belongsToCategory,upperbody,hasLength,short,7
hasMaterialType,plastic,hasSilhouette,oval,7
hasLength,short,belongsToCategory,upperbody,7
hasNickname,sunglasses,hasFabricTreatment,coated,7
belongsToCategory,head,hasFabricTreatment,coated,7
hasLength,short,hasSleeveType,sleeveless,7
belongsToCategory,head,hasSleeveType,sleeveless,7
