product,relationship,attribute
55834.jpg,hasMaterialType,plastic
55834.jpg,hasSilhouette,oval
55834.jpg,belongsToCategory,head
55834.jpg,depicts,glasses
48233.jpg,hasMaterialType,plastic
48233.jpg,hasSilhouette,oval
48233.jpg,belongsToCategory,head
48233.jpg,depicts,glasses
51679.jpg,hasMaterialType,plastic
51679.jpg,hasSilhouette,oval
51679.jpg,belongsToCategory,head
51679.jpg,depicts,glasses
16836.jpg,hasMaterialType,plastic
16836.jpg,hasSilhouette,oval
16836.jpg,belongsToCategory,head
16836.jpg,depicts,glasses
28293.jpg,hasMaterialType,plastic
28293.jpg,hasSilhouette,oval
28293.jpg,belongsToCategory,head
28293.jpg,depicts,glasses
16848.jpg,hasMaterialType,plastic
16848.jpg,hasSilhouette,oval
16848.jpg,belongsToCategory,head
16848.jpg,depicts,glasses
51733.jpg,hasMaterialType,plastic
51733.jpg,hasLength,medium
51733.jpg,hasSilhouette,oval
51733.jpg,belongsToCategory,head
51733.jpg,depicts,glasses
8639.jpg,hasFabricTreatment,anti-reflective coating
8639.jpg,hasMaterialType,plastic
8639.jpg,hasSilhouette,oval
8639.jpg,belongsToCategory,head
8639.jpg,depicts,glasses
51676.jpg,hasMaterialType,plastic
51676.jpg,hasSilhouette,oval
51676.jpg,belongsToCategory,head
51676.jpg,depicts,glasses
51727.jpg,hasPattern,gradient
51727.jpg,hasMaterialType,plastic
51727.jpg,hasSilhouette,oval
51727.jpg,belongsToCategory,head
51727.jpg,depicts,glasses
51735.jpg,hasMaterialType,plastic
51735.jpg,hasSilhouette,oval
51735.jpg,belongsToCategory,head
51735.jpg,depicts,glasses
16857.jpg,hasMaterialType,plastic
16857.jpg,hasSilhouette,oval
16857.jpg,belongsToCategory,head
16857.jpg,depicts,glasses
17589.jpg,hasMaterialType,plastic
17589.jpg,hasSilhouette,oval
17589.jpg,belongsToCategory,head
17589.jpg,depicts,glasses
28287.jpg,hasMaterialType,plastic
28287.jpg,hasSilhouette,oval
28287.jpg,belongsToCategory,head
28287.jpg,depicts,glasses
28207.jpg,hasMaterialType,plastic
28207.jpg,hasSilhouette,oval
28207.jpg,belongsToCategory,head
28207.jpg,depicts,glasses
16852.jpg,hasMaterialType,plastic
16852.jpg,hasSilhouette,oval
16852.jpg,belongsToCategory,head
16852.jpg,depicts,glasses
28277.jpg,hasMaterialType,plastic
28277.jpg,hasSilhouette,oval
28277.jpg,belongsToCategory,head
28277.jpg,depicts,glasses
26012.jpg,hasFabricTreatment,polished
26012.jpg,hasMaterialType,plastic
26012.jpg,hasLength,medium
26012.jpg,hasSilhouette,oval
26012.jpg,hasNickname,shades
26012.jpg,belongsToCategory,head
26012.jpg,depicts,glasses
28288.jpg,hasFabricTreatment,tinted
28288.jpg,hasMaterialType,plastic
28288.jpg,hasSilhouette,oval
28288.jpg,belongsToCategory,head
28288.jpg,depicts,glasses
49661.jpg,hasMaterialType,plastic
49661.jpg,hasLength,short
49661.jpg,hasSilhouette,oval
49661.jpg,belongsToCategory,head
49661.jpg,depicts,glasses
51732.jpg,hasMaterialType,plastic
51732.jpg,hasSilhouette,oval
51732.jpg,belongsToCategory,head
51732.jpg,depicts,glasses
51734.jpg,hasLeatherType,no leather
51734.jpg,hasMaterialType,plastic
51734.jpg,hasSilhouette,oval
51734.jpg,belongsToCategory,head
51734.jpg,depicts,glasses
28403.jpg,hasMaterialType,plastic
28403.jpg,hasSilhouette,oval
28403.jpg,belongsToCategory,head
28403.jpg,depicts,glasses
51736.jpg,hasMaterialType,plastic
51736.jpg,hasSilhouette,oval
51736.jpg,belongsToCategory,head
51736.jpg,depicts,glasses
28401.jpg,hasMaterialType,plastic
28401.jpg,hasSilhouette,oval
28401.jpg,belongsToCategory,head
28401.jpg,depicts,glasses
17607.jpg,hasMaterialType,plastic
17607.jpg,hasSilhouette,oval
17607.jpg,belongsToCategory,head
17607.jpg,depicts,glasses
17603.jpg,hasMaterialType,plastic
17603.jpg,hasSilhouette,oval
17603.jpg,belongsToCategory,head
17603.jpg,depicts,glasses
51729.jpg,hasMaterialType,plastic
51729.jpg,hasSilhouette,oval
51729.jpg,belongsToCategory,head
51729.jpg,depicts,glasses
51728.jpg,hasMaterialType,plastic
51728.jpg,hasSilhouette,oval
51728.jpg,belongsToCategory,head
51728.jpg,depicts,glasses
8643.jpg,hasMaterialType,plastic
8643.jpg,hasLength,short
8643.jpg,hasSilhouette,oval
8643.jpg,belongsToCategory,head
8643.jpg,depicts,glasses
28291.jpg,hasMaterialType,plastic
28291.jpg,hasSilhouette,oval
28291.jpg,belongsToCategory,head
28291.jpg,depicts,glasses
21297.jpg,hasMaterialType,plastic
21297.jpg,hasSilhouette,oval
21297.jpg,belongsToCategory,head
21297.jpg,depicts,glasses
17592.jpg,hasMaterialType,plastic
17592.jpg,hasSilhouette,oval
17592.jpg,belongsToCategory,head
17592.jpg,depicts,glasses
8702.jpg,hasMaterialType,plastic
8702.jpg,hasSilhouette,oval
8702.jpg,hasNickname,sunglasses
8702.jpg,belongsToCategory,head
8702.jpg,depicts,glasses
17605.jpg,hasMaterialType,plastic
17605.jpg,hasSilhouette,oval
17605.jpg,belongsToCategory,head
17605.jpg,depicts,glasses
21298.jpg,hasMaterialType,plastic
21298.jpg,hasLength,short
21298.jpg,hasSilhouette,oval
21298.jpg,belongsToCategory,head
21298.jpg,depicts,glasses
23771.jpg,hasMaterialType,plastic
23771.jpg,hasSilhouette,oval
23771.jpg,belongsToCategory,head
23771.jpg,depicts,glasses
28286.jpg,hasMaterialType,plastic
28286.jpg,hasSilhouette,oval
28286.jpg,belongsToCategory,head
28286.jpg,depicts,glasses
21292.jpg,hasLeatherType,no leather
21292.jpg,hasMaterialType,plastic
21292.jpg,hasSilhouette,oval
21292.jpg,belongsToCategory,head
21292.jpg,depicts,glasses
55835.jpg,hasMaterialType,plastic
55835.jpg,hasSilhouette,oval
55835.jpg,belongsToCategory,head
55835.jpg,depicts,glasses
