product,relationship,attribute
17556.jpg,hasFabricTreatment,softened
17556.jpg,hasMaterialType,cotton
17556.jpg,hasOpeningType,button
17556.jpg,hasPocketType,chest pocket
17556.jpg,hasSleeveType,long
17556.jpg,hasNeckline,classic
17556.jpg,hasCollarType,pointed
17556.jpg,hasLength,long
17556.jpg,hasWaistline,natural
17556.jpg,hasSilhouette,straight
17556.jpg,belongsToCategory,upperbody
17556.jpg,depicts,shirt
51431.jpg,hasPattern,striped
51431.jpg,hasFabricTreatment,unfinished
51431.jpg,hasMaterialType,cotton
51431.jpg,hasOpeningType,button
51431.jpg,hasSleeveType,long
51431.jpg,hasNeckline,classic
51431.jpg,hasCollarType,pointed
51431.jpg,hasLength,long
51431.jpg,hasWaistline,natural
51431.jpg,hasSilhouette,classic
51431.jpg,belongsToCategory,upperbody
51431.jpg,depicts,shirt
38086.jpg,hasOpeningType,button
38086.jpg,hasSleeveType,long
38086.jpg,hasNeckline,straight
38086.jpg,hasCollarType,pointed
38086.jpg,hasLength,long
38086.jpg,hasWaistline,natural
38086.jpg,hasSilhouette,straight
38086.jpg,belongsToCategory,upperbody
38086.jpg,depicts,shirt
12032.jpg,hasPattern,striped
12032.jpg,hasFabricTreatment,plain weave
12032.jpg,hasMaterialType,cotton
12032.jpg,hasOpeningType,button
12032.jpg,hasSleeveType,long
12032.jpg,hasNeckline,pointed
12032.jpg,hasCollarType,spread-collar
12032.jpg,hasLength,long
12032.jpg,hasWaistline,natural
12032.jpg,hasSilhouette,straight
12032.jpg,belongsToCategory,upperbody
12032.jpg,depicts,shirt
10186.jpg,hasMaterialType,cotton
10186.jpg,hasSleeveType,long
10186.jpg,hasNeckline,spread
10186.jpg,hasCollarType,pointed
10186.jpg,hasLength,long
10186.jpg,hasWaistline,natural
10186.jpg,hasSilhouette,straight
10186.jpg,belongsToCategory,upperbody
10186.jpg,depicts,shirt
12324.jpg,hasPattern,stripe
12324.jpg,hasMaterialType,cotton
12324.jpg,hasOpeningType,buttons
12324.jpg,hasSleeveType,long
12324.jpg,hasNeckline,spread
12324.jpg,hasCollarType,point
12324.jpg,hasLength,long
12324.jpg,hasWaistline,natural
12324.jpg,hasSilhouette,straight
12324.jpg,belongsToCategory,upperbody
12324.jpg,depicts,shirt
29711.jpg,hasMaterialType,cotton
29711.jpg,hasSleeveType,long
29711.jpg,hasNeckline,pointed
29711.jpg,hasCollarType,pointed
29711.jpg,hasLength,long
29711.jpg,hasWaistline,natural
29711.jpg,hasSilhouette,straight
