relation1,attribute1,relation2,attribute2,frequency
hasSilhouette,straight,hasWaistline,high-waisted,40
belongsToCategory,lowerbody,hasWaistline,high-waisted,40
hasWaistline,high-waisted,hasSilhouette,straight,40
belongsToCategory,lowerbody,hasSilhouette,straight,40
hasWaistline,high-waisted,belongsToCategory,lowerbody,40
hasSilhouette,straight,belongsToCategory,lowerbody,40
hasWaistline,high-waisted,hasMaterialType,cotton,39
hasSilhouette,straight,hasMaterialType,cotton,39
belongsToCategory,lowerbody,hasMaterialType,cotton,39
hasMaterialType,cotton,hasWaistline,high-waisted,39
hasMaterialType,cotton,hasSilhouette,straight,39
hasMaterialType,cotton,belongsToCategory,lowerbody,39
depicts,pants,hasWaistline,high-waisted,37
depicts,pants,hasSilhouette,straight,37
depicts,pants,belongsToCategory,lowerbody,37
hasWaistline,high-waisted,depicts,pants,37
hasSilhouette,straight,depicts,pants,37
belongsToCategory,lowerbody,depicts,pants,37
depicts,pants,hasMaterialType,cotton,36
hasMaterialType,cotton,depicts,pants,36
hasWaistline,high-waisted,hasOpeningType,zipper,32
hasSilhouette,straight,hasOpeningType,zipper,32
belongsToCategory,lowerbody,hasOpeningType,zipper,32
hasOpeningType,zipper,hasWaistline,high-waisted,32
hasOpeningType,zipper,hasSilhouette,straight,32
hasOpeningType,zipper,belongsToCategory,lowerbody,32
depicts,pants,hasOpeningType,zipper,31
hasOpeningType,zipper,depicts,pants,31
hasOpeningType,zipper,hasMaterialType,cotton,31
hasMaterialType,cotton,hasOpeningType,zipper,31
hasMaterialType,cotton,hasPattern,striped,31
hasWaistline,high-waisted,hasPattern,striped,31
hasSilhouette,straight,hasPattern,striped,31
belongsToCategory,lowerbody,hasPattern,striped,31
hasPattern,striped,hasMaterialType,cotton,31
hasPattern,striped,hasWaistline,high-waisted,31
hasPattern,striped,hasSilhouette,straight,31
hasPattern,striped,belongsToCategory,lowerbody,31
depicts,pants,hasPattern,striped,29
hasPattern,striped,depicts,pants,29
hasOpeningType,zipper,hasPattern,striped,23
hasPattern,striped,hasOpeningType,zipper,23
hasWaistline,high-waisted,hasLength,full-length,21
hasSilhouette,straight,hasLength,full-length,21
belongsToCategory,lowerbody,hasLength,full-length,21
depicts,pants,hasLength,full-length,21
hasLength,full-length,hasWaistline,high-waisted,21
hasLength,full-length,hasSilhouette,straight,21
hasLength,full-length,belongsToCategory,lowerbody,21
hasLength,full-length,depicts,pants,21
hasLength,full-length,hasMaterialType,cotton,20
hasMaterialType,cotton,hasLength,full-length,20
hasLength,full-length,hasOpeningType,zipper,19
hasOpeningType,zipper,hasLength,full-length,19
hasSleeveType,long-sleeve,hasMaterialType,cotton,18
hasMaterialType,cotton,hasSleeveType,long-sleeve,18
hasWaistline,high-waisted,hasSleeveType,long-sleeve,18
hasSilhouette,straight,hasSleeveType,long-sleeve,18
belongsToCategory,lowerbody,hasSleeveType,long-sleeve,18
depicts,pants,hasSleeveType,long-sleeve,18
hasSleeveType,long-sleeve,hasWaistline,high-waisted,18
hasSleeveType,long-sleeve,hasSilhouette,straight,18
hasSleeveType,long-sleeve,belongsToCategory,lowerbody,18
hasSleeveType,long-sleeve,depicts,pants,18
hasSleeveType,long-sleeve,hasPattern,striped,17
hasPattern,striped,hasSleeveType,long-sleeve,17
hasPocketType,side pockets,hasMaterialType,cotton,16
hasMaterialType,cotton,hasPocketType,side pockets,16
hasWaistline,high-waisted,hasPocketType,side pockets,16
hasSilhouette,straight,hasPocketType,side pockets,16
belongsToCategory,lowerbody,hasPocketType,side pockets,16
depicts,pants,hasPocketType,side pockets,16
hasPocketType,side pockets,hasWaistline,high-waisted,16
hasPocketType,side pockets,hasSilhouette,straight,16
hasPocketType,side pockets,belongsToCategory,lowerbody,16
hasPocketType,side pockets,depicts,pants,16
hasLength,full-length,hasPattern,striped,16
hasPattern,striped,hasLength,full-length,16
hasSleeveType,long-sleeve,hasOpeningType,zipper,16
hasOpeningType,zipper,hasSleeveType,long-sleeve,16
hasPocketType,side pockets,hasOpeningType,zipper,14
hasOpeningType,zipper,hasPocketType,side pockets,14
hasLength,ankle-length,hasMaterialType,cotton,13
hasMaterialType,cotton,hasLength,ankle-length,13
hasWaistline,high-waisted,hasLength,ankle-length,13
hasSilhouette,straight,hasLength,ankle-length,13
belongsToCategory,lowerbody,hasLength,ankle-length,13
hasLength,ankle-length,hasWaistline,high-waisted,13
hasLength,ankle-length,hasSilhouette,straight,13
hasLength,ankle-length,belongsToCategory,lowerbody,13
hasLength,full-length,hasSleeveType,long-sleeve,13
hasSleeveType,long-sleeve,hasLength,full-length,13
hasPocketType,side pockets,hasPattern,striped,12
hasPattern,striped,hasPocketType,side pockets,12
hasMaterialType,cotton,hasSleeveType,short-sleeve,11
hasWaistline,high-waisted,hasSleeveType,short-sleeve,11
hasSilhouette,straight,hasSleeveType,short-sleeve,11
belongsToCategory,lowerbody,hasSleeveType,short-sleeve,11
hasSleeveType,short-sleeve,hasMaterialType,cotton,11
hasSleeveType,short-sleeve,hasWaistline,high-waisted,11
hasSleeveType,short-sleeve,hasSilhouette,straight,11
hasSleeveType,short-sleeve,belongsToCategory,lowerbody,11
depicts,pants,hasLength,ankle-length,10
hasLength,ankle-length,depicts,pants,10
hasLength,ankle-length,hasPattern,striped,10
hasPattern,striped,hasLength,ankle-length,10
hasNeckline,round neck,hasMaterialType,cotton,10
hasMaterialType,cotton,hasNeckline,round neck,10
hasWaistline,high-waisted,hasNeckline,round neck,10
hasSilhouette,straight,hasNeckline,round neck,10
belongsToCategory,lowerbody,hasNeckline,round neck,10
hasNeckline,round neck,hasWaistline,high-waisted,10
hasNeckline,round neck,hasSilhouette,straight,10
hasNeckline,round neck,belongsToCategory,lowerbody,10
hasLength,ankle-length,hasOpeningType,zipper,9
hasOpeningType,zipper,hasLength,ankle-length,9
hasSleeveType,long-sleeve,hasPocketType,side pockets,9
hasPocketType,side pockets,hasSleeveType,long-sleeve,9
hasLength,full-length,hasPocketType,side pockets,8
hasPocketType,side pockets,hasLength,full-length,8
hasNeckline,round neck,hasPattern,striped,8
hasPattern,striped,hasNeckline,round neck,8
depicts,pants,hasSleeveType,short-sleeve,8
hasSleeveType,short-sleeve,depicts,pants,8
hasMaterialType,cotton,hasFabricTreatment,plain weave,7
hasWaistline,high-waisted,hasFabricTreatment,plain weave,7
