product1,product2,shared_attributes
17422.jpg,28576.jpg,10
17422.jpg,45042.jpg,10
28576.jpg,17422.jpg,10
45042.jpg,17422.jpg,10
10278.jpg,35936.jpg,10
35936.jpg,10278.jpg,10
12520.jpg,38547.jpg,9
15352.jpg,38547.jpg,9
15352.jpg,19123.jpg,9
15352.jpg,35936.jpg,9
3549.jpg,35936.jpg,9
12520.jpg,35936.jpg,9
15352.jpg,10278.jpg,9
12520.jpg,10278.jpg,9
50752.jpg,51376.jpg,9
12520.jpg,51376.jpg,9
51376.jpg,50752.jpg,9
12520.jpg,50752.jpg,9
35936.jpg,3549.jpg,9
38547.jpg,12520.jpg,9
35936.jpg,12520.jpg,9
10278.jpg,12520.jpg,9
51376.jpg,12520.jpg,9
50752.jpg,12520.jpg,9
15352.jpg,12520.jpg,9
38547.jpg,15352.jpg,9
19123.jpg,15352.jpg,9
35936.jpg,15352.jpg,9
10278.jpg,15352.jpg,9
12520.jpg,15352.jpg,9
45042.jpg,28576.jpg,8
28576.jpg,45042.jpg,8
35936.jpg,20762.jpg,8
10278.jpg,20762.jpg,8
15352.jpg,20762.jpg,8
12520.jpg,20762.jpg,8
19123.jpg,20762.jpg,8
19123.jpg,38547.jpg,8
35936.jpg,38547.jpg,8
10278.jpg,38547.jpg,8
51376.jpg,38547.jpg,8
50752.jpg,38547.jpg,8
2899.jpg,38547.jpg,8
20762.jpg,19123.jpg,8
38547.jpg,19123.jpg,8
12520.jpg,19123.jpg,8
20762.jpg,35936.jpg,8
38547.jpg,35936.jpg,8
51376.jpg,35936.jpg,8
50752.jpg,35936.jpg,8
20762.jpg,10278.jpg,8
3549.jpg,10278.jpg,8
38547.jpg,10278.jpg,8
51376.jpg,10278.jpg,8
50752.jpg,10278.jpg,8
12520.jpg,39193.jpg,8
38547.jpg,51376.jpg,8
35936.jpg,51376.jpg,8
10278.jpg,51376.jpg,8
15352.jpg,51376.jpg,8
38547.jpg,50752.jpg,8
35936.jpg,50752.jpg,8
10278.jpg,50752.jpg,8
15352.jpg,50752.jpg,8
38547.jpg,2899.jpg,8
12520.jpg,2899.jpg,8
15352.jpg,2899.jpg,8
10278.jpg,3549.jpg,8
12520.jpg,3549.jpg,8
20762.jpg,12520.jpg,8
19123.jpg,12520.jpg,8
39193.jpg,12520.jpg,8
2899.jpg,12520.jpg,8
3549.jpg,12520.jpg,8
20762.jpg,15352.jpg,8
51376.jpg,15352.jpg,8
50752.jpg,15352.jpg,8
2899.jpg,15352.jpg,8
19123.jpg,28576.jpg,7
20762.jpg,6146.jpg,7
2899.jpg,6146.jpg,7
19123.jpg,17422.jpg,7
6146.jpg,20762.jpg,7
56899.jpg,20762.jpg,7
2899.jpg,20762.jpg,7
26179.jpg,20762.jpg,7
39193.jpg,20762.jpg,7
38547.jpg,20762.jpg,7
20762.jpg,38547.jpg,7
3549.jpg,38547.jpg,7
28576.jpg,19123.jpg,7
17422.jpg,19123.jpg,7
35936.jpg,19123.jpg,7
10278.jpg,19123.jpg,7
51376.jpg,19123.jpg,7
50752.jpg,19123.jpg,7
56899.jpg,35936.jpg,7
39193.jpg,35936.jpg,7
19123.jpg,35936.jpg,7
2899.jpg,35936.jpg,7
56899.jpg,10278.jpg,7
39193.jpg,10278.jpg,7
19123.jpg,10278.jpg,7
2899.jpg,10278.jpg,7
51376.jpg,39193.jpg,7
