relation1,attribute1,relation2,attribute2,frequency
belongsToCategory,lowerbody,hasSleeveType,sleeveless,32
hasSleeveType,sleeveless,belongsToCategory,lowerbody,32
belongsToCategory,lowerbody,hasMaterialType,cotton,30
hasMaterialType,cotton,belongsToCategory,lowerbody,30
depicts,underwear,belongsToCategory,lowerbody,26
belongsToCategory,lowerbody,depicts,underwear,26
hasSleeveType,sleeveless,hasMaterialType,cotton,24
hasMaterialType,cotton,hasSleeveType,sleeveless,24
belongsToCategory,lowerbody,hasLength,short,23
hasLength,short,belongsToCategory,lowerbody,23
depicts,underwear,hasMaterialType,cotton,21
hasMaterialType,cotton,depicts,underwear,21
hasLength,short,hasSleeveType,sleeveless,19
hasSleeveType,sleeveless,hasLength,short,19
belongsToCategory,lowerbody,hasPattern,solid color,18
depicts,underwear,hasSleeveType,sleeveless,18
hasPattern,solid color,belongsToCategory,lowerbody,18
hasSleeveType,sleeveless,depicts,underwear,18
hasLength,short,hasMaterialType,cotton,17
hasMaterialType,cotton,hasLength,short,17
belongsToCategory,lowerbody,hasSilhouette,briefs,17
hasSilhouette,briefs,belongsToCategory,lowerbody,17
belongsToCategory,lowerbody,hasFabricTreatment,stretchy,16
hasFabricTreatment,stretchy,belongsToCategory,lowerbody,16
hasMaterialType,cotton,hasPattern,solid color,15
hasSleeveType,sleeveless,hasPattern,solid color,15
hasPattern,solid color,hasMaterialType,cotton,15
hasPattern,solid color,hasSleeveType,sleeveless,15
belongsToCategory,lowerbody,hasLength,briefs,15
hasLength,briefs,belongsToCategory,lowerbody,15
hasSilhouette,briefs,hasLength,short,15
hasLength,short,hasSilhouette,briefs,15
depicts,underwear,hasSilhouette,briefs,15
hasSilhouette,briefs,depicts,underwear,15
hasSilhouette,briefs,hasMaterialType,cotton,14
hasSilhouette,briefs,hasSleeveType,sleeveless,14
depicts,underwear,hasLength,short,14
hasMaterialType,cotton,hasSilhouette,briefs,14
hasSleeveType,sleeveless,hasSilhouette,briefs,14
hasLength,short,depicts,underwear,14
belongsToCategory,lowerbody,hasWaistline,low-rise,14
hasWaistline,low-rise,belongsToCategory,lowerbody,14
depicts,underwear,hasPattern,solid color,12
hasPattern,solid color,depicts,underwear,12
hasSleeveType,sleeveless,hasFabricTreatment,stretchy,12
hasFabricTreatment,stretchy,hasSleeveType,sleeveless,12
hasLength,briefs,hasMaterialType,cotton,11
hasLength,briefs,hasSleeveType,sleeveless,11
hasMaterialType,cotton,hasLength,briefs,11
hasSleeveType,sleeveless,hasLength,briefs,11
belongsToCategory,lowerbody,hasWaistline,high-waisted,11
hasWaistline,high-waisted,belongsToCategory,lowerbody,11
hasOpeningType,open front,hasMaterialType,cotton,11
hasMaterialType,cotton,hasOpeningType,open front,11
belongsToCategory,lowerbody,hasOpeningType,open front,11
hasOpeningType,open front,belongsToCategory,lowerbody,11
hasMaterialType,cotton,hasFabricTreatment,stretchy,11
hasFabricTreatment,stretchy,hasMaterialType,cotton,11
hasWaistline,low-rise,hasMaterialType,cotton,11
hasMaterialType,cotton,hasWaistline,low-rise,11
hasLength,briefs,hasPattern,solid color,10
hasWaistline,high-waisted,hasSleeveType,sleeveless,10
hasPattern,solid color,hasLength,briefs,10
depicts,underwear,hasLength,briefs,10
hasSleeveType,sleeveless,hasWaistline,high-waisted,10
hasLength,briefs,depicts,underwear,10
hasSleeveType,sleeveless,hasOpeningType,open front,10
hasOpeningType,open front,hasSleeveType,sleeveless,10
hasWaistline,high-waisted,hasMaterialType,cotton,9
hasMaterialType,cotton,hasWaistline,high-waisted,9
hasNeckline,no neckline,hasSleeveType,sleeveless,9
hasSleeveType,sleeveless,hasNeckline,no neckline,9
belongsToCategory,lowerbody,hasNeckline,no neckline,9
hasNeckline,no neckline,belongsToCategory,lowerbody,9
depicts,underwear,hasWaistline,low-rise,9
hasWaistline,low-rise,depicts,underwear,9
hasWaistline,low-rise,hasSleeveType,sleeveless,9
hasSleeveType,sleeveless,hasWaistline,low-rise,9
hasMaterialType,cotton,hasPattern,striped,9
belongsToCategory,lowerbody,hasPattern,striped,9
hasPattern,striped,hasMaterialType,cotton,9
hasPattern,striped,belongsToCategory,lowerbody,9
hasNeckline,no neckline,hasMaterialType,cotton,8
hasMaterialType,cotton,hasNeckline,no neckline,8
belongsToCategory,lowerbody,hasWaistline,natural-waist,8
hasWaistline,natural-waist,belongsToCategory,lowerbody,8
hasLength,briefs,hasFabricTreatment,stretchy,8
hasWaistline,low-rise,hasFabricTreatment,stretchy,8
depicts,underwear,hasFabricTreatment,stretchy,8
hasFabricTreatment,stretchy,hasLength,briefs,8
hasFabricTreatment,stretchy,hasWaistline,low-rise,8
hasFabricTreatment,stretchy,depicts,underwear,8
hasLength,short,hasFabricTreatment,stretchy,8
hasFabricTreatment,stretchy,hasLength,short,8
hasWaistline,high-waisted,hasPattern,solid color,7
hasPattern,solid color,hasWaistline,high-waisted,7
depicts,underwear,hasWaistline,high-waisted,7
hasWaistline,high-waisted,depicts,underwear,7
hasLength,short,hasPattern,solid color,7
hasLength,short,hasOpeningType,open front,7
depicts,underwear,hasOpeningType,open front,7
hasPattern,solid color,hasLength,short,7
hasOpeningType,open front,hasLength,short,7
hasOpeningType,open front,depicts,underwear,7
hasFabricTreatment,stretchy,hasPattern,solid color,7
hasPattern,solid color,hasFabricTreatment,stretchy,7
hasWaistline,low-rise,hasLength,briefs,7
hasLength,briefs,hasWaistline,low-rise,7
hasWaistline,natural-waist,hasLength,short,7
hasLength,short,hasWaistline,natural-waist,7
belongsToCategory,lowerbody,hasSilhouette,form-fitting,6
hasSilhouette,form-fitting,belongsToCategory,lowerbody,6
hasOpeningType,open front,hasPattern,solid color,6
hasSilhouette,briefs,hasPattern,solid color,6
hasPattern,solid color,hasOpeningType,open front,6
hasSilhouette,briefs,hasOpeningType,open front,6
depicts,underwear,hasNeckline,no neckline,6
hasWaistline,high-waisted,hasLength,short,6
hasLength,short,hasWaistline,high-waisted,6
hasPattern,solid color,hasSilhouette,briefs,6
hasOpeningType,open front,hasSilhouette,briefs,6
hasNeckline,no neckline,depicts,underwear,6
hasWaistline,natural-waist,hasSleeveType,sleeveless,6
hasSleeveType,sleeveless,hasWaistline,natural-waist,6
belongsToCategory,lowerbody,hasOpeningType,zipper,6
hasOpeningType,zipper,belongsToCategory,lowerbody,6
hasWaistline,low-rise,hasLength,short,6
hasLength,short,hasWaistline,low-rise,6
hasFabricTreatment,stretchy,hasPattern,striped,6
hasSleeveType,sleeveless,hasPattern,striped,6
hasLength,short,hasPattern,striped,6
hasPattern,striped,hasFabricTreatment,stretchy,6
hasPattern,striped,hasSleeveType,sleeveless,6
hasPattern,striped,hasLength,short,6
hasSilhouette,form-fitting,hasPattern,solid color,5
hasSilhouette,form-fitting,hasSleeveType,sleeveless,5
hasWaistline,high-waisted,hasLength,briefs,5
hasSilhouette,form-fitting,hasLength,briefs,5
hasLength,briefs,hasWaistline,high-waisted,5
hasPattern,solid color,hasSilhouette,form-fitting,5
hasSleeveType,sleeveless,hasSilhouette,form-fitting,5
hasLength,briefs,hasSilhouette,form-fitting,5
hasNeckline,no neckline,hasPattern,solid color,5
hasNeckline,no neckline,hasOpeningType,open front,5
hasPattern,solid color,hasNeckline,no neckline,5
hasOpeningType,open front,hasNeckline,no neckline,5
hasWaistline,high-waisted,hasNeckline,no neckline,5
hasSilhouette,briefs,hasNeckline,no neckline,5
hasNeckline,no neckline,hasWaistline,high-waisted,5
hasSilhouette,briefs,hasWaistline,high-waisted,5
hasNeckline,no neckline,hasSilhouette,briefs,5
hasWaistline,high-waisted,hasSilhouette,briefs,5
hasWaistline,natural-waist,hasMaterialType,cotton,5
hasMaterialType,cotton,hasWaistline,natural-waist,5
hasOpeningType,zipper,hasFabricTreatment,stretchy,5
hasOpeningType,zipper,hasMaterialType,cotton,5
hasFabricTreatment,stretchy,hasOpeningType,zipper,5
hasMaterialType,cotton,hasOpeningType,zipper,5
depicts,briefs,hasSleeveType,sleeveless,5
depicts,briefs,hasLength,short,5
belongsToCategory,lowerbody,hasSilhouette,slim-fit,5
hasSilhouette,slim-fit,belongsToCategory,lowerbody,5
depicts,briefs,belongsToCategory,lowerbody,5
hasSleeveType,sleeveless,depicts,briefs,5
hasLength,short,depicts,briefs,5
belongsToCategory,lowerbody,depicts,briefs,5
hasSilhouette,briefs,hasWaistline,low-rise,5
hasWaistline,low-rise,hasSilhouette,briefs,5
hasWaistline,low-rise,hasPattern,striped,5
hasWaistline,low-rise,hasOpeningType,open front,5
hasPattern,striped,hasWaistline,low-rise,5
hasOpeningType,open front,hasWaistline,low-rise,5
depicts,underwear,hasPattern,striped,5
hasPattern,striped,depicts,underwear,5
hasOpeningType,open-front,hasMaterialType,cotton,4
hasMaterialType,cotton,hasOpeningType,open-front,4
hasSleeveType,sleeveless,hasOpeningType,open-front,4
belongsToCategory,lowerbody,hasOpeningType,open-front,4
hasOpeningType,open-front,hasSleeveType,sleeveless,4
hasSilhouette,form-fitting,hasWaistline,high-waisted,4
hasWaistline,high-waisted,hasSilhouette,form-fitting,4
hasOpeningType,open-front,belongsToCategory,lowerbody,4
depicts,underwear,hasWaistline,natural-waist,4
hasWaistline,natural-waist,depicts,underwear,4
hasWaistline,low-rise,hasPattern,solid color,4
hasSleeveType,short-sleeve,hasFabricTreatment,stretchy,4
hasFabricTreatment,stretchy,hasSleeveType,short-sleeve,4
belongsToCategory,lowerbody,hasSleeveType,short-sleeve,4
depicts,underwear,hasSleeveType,short-sleeve,4
hasPattern,solid color,hasWaistline,low-rise,4
hasSleeveType,short-sleeve,belongsToCategory,lowerbody,4
hasSleeveType,short-sleeve,depicts,underwear,4
hasOpeningType,open front,hasFabricTreatment,stretchy,4
hasSilhouette,slim-fit,hasFabricTreatment,stretchy,4
hasSilhouette,slim-fit,hasMaterialType,cotton,4
hasFabricTreatment,stretchy,hasOpeningType,open front,4
hasSilhouette,slim-fit,hasSleeveType,sleeveless,4
hasFabricTreatment,stretchy,hasSilhouette,slim-fit,4
hasMaterialType,cotton,hasSilhouette,slim-fit,4
hasSleeveType,sleeveless,hasSilhouette,slim-fit,4
hasLength,briefs,hasNeckline,no neckline,4
hasNeckline,no neckline,hasLength,briefs,4
hasWaistline,low-waisted,hasSleeveType,sleeveless,4
hasSleeveType,sleeveless,hasWaistline,low-waisted,4
belongsToCategory,lowerbody,hasWaistline,low-waisted,4
depicts,underwear,hasWaistline,low-waisted,4
hasWaistline,low-waisted,belongsToCategory,lowerbody,4
hasWaistline,low-waisted,depicts,underwear,4
hasSilhouette,briefs,hasPattern,striped,4
hasPattern,striped,hasSilhouette,briefs,4
hasWaistline,high-waisted,hasFabricTreatment,stretchy,4
hasFabricTreatment,stretchy,hasWaistline,high-waisted,4
hasNeckline,v-neck,hasFabricTreatment,stretchy,4
hasNeckline,v-neck,hasMaterialType,cotton,4
hasNeckline,v-neck,hasOpeningType,zipper,4
hasFabricTreatment,stretchy,hasNeckline,v-neck,4
hasMaterialType,cotton,hasNeckline,v-neck,4
hasOpeningType,zipper,hasNeckline,v-neck,4
belongsToCategory,lowerbody,hasNeckline,v-neck,4
hasNeckline,v-neck,belongsToCategory,lowerbody,4
hasSleeveType,sleeveless,hasOpeningType,zipper,4
hasOpeningType,zipper,hasSleeveType,sleeveless,4
hasSilhouette,form-fitting,hasMaterialType,cotton,3
hasLength,briefs,hasOpeningType,open-front,3
hasWaistline,high-waisted,hasOpeningType,open-front,3
depicts,underwear,hasOpeningType,open-front,3
hasNeckline,straight,hasSleeveType,sleeveless,3
hasSleeveType,sleeveless,hasNeckline,straight,3
belongsToCategory,lowerbody,hasNeckline,straight,3
hasOpeningType,open-front,hasLength,briefs,3
hasOpeningType,open-front,hasWaistline,high-waisted,3
hasMaterialType,cotton,hasSilhouette,form-fitting,3
depicts,underwear,hasSilhouette,form-fitting,3
hasNeckline,straight,belongsToCategory,lowerbody,3
hasOpeningType,open-front,depicts,underwear,3
hasSilhouette,form-fitting,depicts,underwear,3
hasFabricTreatment,plain weave,hasPattern,solid color,3
hasPattern,solid color,hasFabricTreatment,plain weave,3
hasMaterialType,cotton,hasFabricTreatment,plain weave,3
hasSleeveType,sleeveless,hasFabricTreatment,plain weave,3
hasLength,short,hasFabricTreatment,plain weave,3
hasSilhouette,briefs,hasFabricTreatment,plain weave,3
belongsToCategory,lowerbody,hasFabricTreatment,plain weave,3
depicts,underwear,hasFabricTreatment,plain weave,3
hasFabricTreatment,plain weave,hasMaterialType,cotton,3
hasFabricTreatment,plain weave,hasSleeveType,sleeveless,3
hasLength,short,hasNeckline,no neckline,3
hasFabricTreatment,plain weave,hasLength,short,3
hasNeckline,no neckline,hasLength,short,3
hasFabricTreatment,plain weave,hasSilhouette,briefs,3
hasFabricTreatment,plain weave,belongsToCategory,lowerbody,3
hasFabricTreatment,plain weave,depicts,underwear,3
hasSleeveType,short-sleeve,hasMaterialType,cotton,3
hasLength,briefs,hasOpeningType,zipper,3
hasWaistline,low-rise,hasOpeningType,zipper,3
depicts,underwear,hasOpeningType,zipper,3
hasMaterialType,cotton,hasSleeveType,short-sleeve,3
hasLength,briefs,hasSleeveType,short-sleeve,3
hasWaistline,low-rise,hasSleeveType,short-sleeve,3
hasOpeningType,zipper,hasLength,briefs,3
hasSleeveType,short-sleeve,hasLength,briefs,3
hasOpeningType,zipper,hasWaistline,low-rise,3
hasSleeveType,short-sleeve,hasWaistline,low-rise,3
hasOpeningType,zipper,depicts,underwear,3
depicts,briefs,hasMaterialType,cotton,3
hasSilhouette,slim-fit,hasLength,short,3
depicts,briefs,hasWaistline,natural-waist,3
hasLength,short,hasSilhouette,slim-fit,3
hasMaterialType,cotton,depicts,briefs,3
hasWaistline,natural-waist,depicts,briefs,3
hasWaistline,low-waisted,hasPattern,solid color,3
hasWaistline,low-waisted,hasMaterialType,cotton,3
hasPattern,solid color,hasWaistline,low-waisted,3
hasMaterialType,cotton,hasWaistline,low-waisted,3
hasSilhouette,briefs,hasWaistline,low-waisted,3
hasWaistline,low-waisted,hasSilhouette,briefs,3
hasOpeningType,open front,hasPattern,striped,3
hasSilhouette,briefs,hasFabricTreatment,stretchy,3
hasPattern,striped,hasOpeningType,open front,3
hasFabricTreatment,stretchy,hasSilhouette,briefs,3
hasWaistline,high-waisted,hasPattern,striped,3
hasPattern,striped,hasWaistline,high-waisted,3
hasSilhouette,form-fitting,hasFabricTreatment,stretchy,3
hasFabricTreatment,stretchy,hasSilhouette,form-fitting,3
hasSilhouette,briefs,hasWaistline,natural-waist,3
hasWaistline,natural-waist,hasSilhouette,briefs,3
hasLength,briefs,hasPattern,striped,3
hasMaterialType,cotton,hasLeatherType,no leather,3
hasSleeveType,sleeveless,hasLeatherType,no leather,3
hasWaistline,high-waisted,hasLeatherType,no leather,3
belongsToCategory,lowerbody,hasLeatherType,no leather,3
hasLeatherType,no leather,hasMaterialType,cotton,3
hasLeatherType,no leather,hasSleeveType,sleeveless,3
hasPattern,striped,hasLength,briefs,3
hasLeatherType,no leather,hasWaistline,high-waisted,3
hasLeatherType,no leather,belongsToCategory,lowerbody,3
hasOpeningType,zipper,hasPattern,striped,3
hasNeckline,v-neck,hasPattern,striped,3
hasPattern,striped,hasOpeningType,zipper,3
hasPattern,striped,hasNeckline,v-neck,3
hasLength,short,hasOpeningType,zipper,3
hasNeckline,v-neck,hasSleeveType,sleeveless,3
hasSleeveType,sleeveless,hasNeckline,v-neck,3
hasOpeningType,zipper,hasLength,short,3
hasOpeningType,open back,hasFabricTreatment,stretchy,3
hasFabricTreatment,stretchy,hasOpeningType,open back,3
hasSleeveType,sleeveless,hasOpeningType,open back,3
belongsToCategory,lowerbody,hasOpeningType,open back,3
hasOpeningType,open back,hasSleeveType,sleeveless,3
hasOpeningType,open back,belongsToCategory,lowerbody,3
hasOpeningType,open-front,hasPattern,solid color,2
hasNeckline,straight,hasMaterialType,cotton,2
hasPattern,solid color,hasOpeningType,open-front,2
hasSilhouette,form-fitting,hasOpeningType,open-front,2
hasMaterialType,cotton,hasNeckline,straight,2
hasSilhouette,form-fitting,hasNeckline,straight,2
hasOpeningType,open-front,hasSilhouette,form-fitting,2
hasNeckline,straight,hasSilhouette,form-fitting,2
hasWaistline,high-waisted,hasOpeningType,open front,2
hasOpeningType,open front,hasWaistline,high-waisted,2
hasWaistline,natural-waist,hasPattern,solid color,2
hasLength,briefs,hasOpeningType,open front,2
hasWaistline,natural-waist,hasOpeningType,open front,2
hasOpeningType,open front,hasLength,briefs,2
hasPattern,solid color,hasWaistline,natural-waist,2
hasOpeningType,open front,hasWaistline,natural-waist,2
hasOpeningType,zipper,hasPattern,solid color,2
hasSleeveType,short-sleeve,hasPattern,solid color,2
hasPattern,solid color,hasOpeningType,zipper,2
hasSleeveType,short-sleeve,hasOpeningType,zipper,2
hasPattern,solid color,hasSleeveType,short-sleeve,2
hasOpeningType,zipper,hasSleeveType,short-sleeve,2
hasNeckline,round neckline,hasPattern,solid color,2
hasSilhouette,slim-fit,hasPattern,solid color,2
hasWaistline,natural-waist,hasFabricTreatment,stretchy,2
depicts,briefs,hasFabricTreatment,stretchy,2
hasNeckline,round neckline,hasMaterialType,cotton,2
hasNeckline,round neckline,hasOpeningType,open front,2
depicts,briefs,hasOpeningType,open front,2
hasNeckline,round neckline,hasSleeveType,sleeveless,2
hasPattern,solid color,hasNeckline,round neckline,2
hasMaterialType,cotton,hasNeckline,round neckline,2
hasOpeningType,open front,hasNeckline,round neckline,2
hasSleeveType,sleeveless,hasNeckline,round neckline,2
hasLength,short,hasNeckline,round neckline,2
belongsToCategory,lowerbody,hasNeckline,round neckline,2
hasNeckline,round neckline,hasLength,short,2
hasFabricTreatment,stretchy,hasWaistline,natural-waist,2
hasSilhouette,slim-fit,hasWaistline,natural-waist,2
hasPattern,solid color,hasSilhouette,slim-fit,2
hasWaistline,natural-waist,hasSilhouette,slim-fit,2
hasNeckline,round neckline,belongsToCategory,lowerbody,2
hasFabricTreatment,stretchy,depicts,briefs,2
hasOpeningType,open front,depicts,briefs,2
hasWaistline,low-rise,hasNeckline,no neckline,2
hasNeckline,no neckline,hasWaistline,low-rise,2
hasSilhouette,form-fitting,hasNeckline,no neckline,2
hasNeckline,no neckline,hasSilhouette,form-fitting,2
hasPocketType,pocketless,hasMaterialType,cotton,2
hasMaterialType,cotton,hasPocketType,pocketless,2
hasSleeveType,sleeveless,hasPocketType,pocketless,2
hasLength,short,hasPocketType,pocketless,2
hasSilhouette,briefs,hasPocketType,pocketless,2
belongsToCategory,lowerbody,hasPocketType,pocketless,2
depicts,underwear,hasPocketType,pocketless,2
hasPocketType,pocketless,hasSleeveType,sleeveless,2
hasPocketType,pocketless,hasLength,short,2
