relationshipType,unique_value_count,unique_values
hasFabricTreatment,14,"['non-treated', 'plain weave', 'soft fabric', 'stretchy', 'stretchable', 'no finishing or techniques', 'no treatment', 'unfinished seams', 'dyed', 'stretch', 'breathable fabric', 'stretchable fabric', 'moisture-wicking', 'perforated']"
hasOpeningType,14,"['open-front', 'open front', 'zipper', 'button fly', 'zip closure', 'open-fronted', 'front opening', 'crotch opening', 'single opening', 'fly front', 'zipper or elastic waistband', 'open back', 'slit', 'zipper closure']"
hasSilhouette,14,"['form-fitting', 'briefs', 'fitted', 'slimfit', 'slim-fit', 'bikini silhouette', 'bikini-cut', 'bodycon', 'thong', 'hipster', 'bikini-like', 'close-fitting', 'slimming', 'boyshort silhouette']"
depicts,10,"['underwear', 'briefs', 'undergarments', 'pants', 'undergarment', 'lowerbody', 'thong', 'panties', 'pant', 'upperbody']"
hasMaterialType,8,"['cotton', 'synthetic fabrics', 'cotton or polyester blend', 'cotton blend', 'cotton or synthetic blend', 'nylon', 'nylon and elastane blend', 'polyester elastane blend']"
hasNeckline,8,"['straight', 'no neckline', 'crew neck', 'round neckline', 'round-neck', 'non-existent', 'v-neck', 'v-shaped']"
hasWaistline,7,"['high-waisted', 'natural-waist', 'low-rise', 'low-rise waist', 'low-waisted', 'mid-rise waistline', 'no waist']"
hasPattern,4,"['solid color', 'striped', 'floral', 'solid pattern']"
hasLength,4,"['briefs', 'short', 'full-length', 'boyshorts length']"
hasPocketType,3,"['no pocket', 'pocketless', 'pocket-less']"
hasNickname,3,"['jockstrap', 'jockeys', 'briefs']"
hasSleeveType,2,"['sleeveless', 'short-sleeve']"
hasLeatherType,2,"['no leather type', 'no leather']"
belongsToCategory,1,['lowerbody']
hasLapelType,1,['lapel-less']
