product1,product2,shared_attributes
32143.jpg,50590.jpg,10
50590.jpg,32143.jpg,10
50617.jpg,27943.jpg,9
28045.jpg,45630.jpg,9
27943.jpg,50617.jpg,9
18699.jpg,27942.jpg,9
27942.jpg,18699.jpg,9
45630.jpg,28045.jpg,9
25349.jpg,50929.jpg,8
50578.jpg,27943.jpg,8
54614.jpg,27943.jpg,8
50542.jpg,27943.jpg,8
28045.jpg,27943.jpg,8
50448.jpg,27943.jpg,8
54616.jpg,27943.jpg,8
47508.jpg,50598.jpg,8
32143.jpg,45630.jpg,8
27943.jpg,50578.jpg,8
54614.jpg,50578.jpg,8
27943.jpg,54614.jpg,8
50578.jpg,54614.jpg,8
28044.jpg,27942.jpg,8
28045.jpg,27942.jpg,8
50590.jpg,28084.jpg,8
27943.jpg,50542.jpg,8
50448.jpg,50542.jpg,8
28044.jpg,18699.jpg,8
28045.jpg,18699.jpg,8
50590.jpg,47508.jpg,8
15814.jpg,47508.jpg,8
28044.jpg,47508.jpg,8
50598.jpg,47508.jpg,8
28084.jpg,50590.jpg,8
47508.jpg,50590.jpg,8
15814.jpg,50590.jpg,8
27943.jpg,28045.jpg,8
32143.jpg,28045.jpg,8
27942.jpg,28045.jpg,8
18699.jpg,28045.jpg,8
47508.jpg,15814.jpg,8
50590.jpg,15814.jpg,8
45630.jpg,32143.jpg,8
28045.jpg,32143.jpg,8
50929.jpg,25349.jpg,8
27942.jpg,28044.jpg,8
18699.jpg,28044.jpg,8
47508.jpg,28044.jpg,8
27943.jpg,50448.jpg,8
50542.jpg,50448.jpg,8
27943.jpg,54616.jpg,8
27943.jpg,50929.jpg,7
15904.jpg,50929.jpg,7
54616.jpg,50929.jpg,7
28084.jpg,50929.jpg,7
50929.jpg,27943.jpg,7
47522.jpg,27943.jpg,7
45630.jpg,27943.jpg,7
32143.jpg,27943.jpg,7
25349.jpg,27943.jpg,7
28133.jpg,27943.jpg,7
28084.jpg,27943.jpg,7
50590.jpg,27943.jpg,7
27979.jpg,27943.jpg,7
27943.jpg,47522.jpg,7
45630.jpg,47522.jpg,7
50578.jpg,47522.jpg,7
54614.jpg,47522.jpg,7
28045.jpg,47522.jpg,7
28044.jpg,50598.jpg,7
27943.jpg,45630.jpg,7
47522.jpg,45630.jpg,7
27942.jpg,45630.jpg,7
18699.jpg,45630.jpg,7
Calvin_Klein_Underwear_Adults-Men_Men_White_Fashion_Summer_2016_Casual_Nylon_Elastane_Mid-Rise_Brief_0,45630.jpg,7
27943.jpg,28133.jpg,7
50617.jpg,28133.jpg,7
27979.jpg,28133.jpg,7
28045.jpg,28133.jpg,7
47522.jpg,50578.jpg,7
28045.jpg,50578.jpg,7
50617.jpg,50578.jpg,7
27979.jpg,50578.jpg,7
47522.jpg,54614.jpg,7
50542.jpg,54614.jpg,7
15904.jpg,54614.jpg,7
28045.jpg,54614.jpg,7
50617.jpg,54614.jpg,7
27979.jpg,54614.jpg,7
25349.jpg,50457.jpg,7
28133.jpg,50617.jpg,7
50578.jpg,50617.jpg,7
54614.jpg,50617.jpg,7
28084.jpg,50617.jpg,7
50590.jpg,50617.jpg,7
27979.jpg,50617.jpg,7
28045.jpg,50617.jpg,7
54616.jpg,50617.jpg,7
50590.jpg,27942.jpg,7
15814.jpg,27942.jpg,7
45630.jpg,27942.jpg,7
50929.jpg,28084.jpg,7
27943.jpg,28084.jpg,7
50617.jpg,28084.jpg,7
50542.jpg,28084.jpg,7
54616.jpg,28084.jpg,7
54614.jpg,50542.jpg,7
15904.jpg,50542.jpg,7
28045.jpg,50542.jpg,7
54616.jpg,50542.jpg,7
28084.jpg,50542.jpg,7
50929.jpg,15904.jpg,7
54614.jpg,15904.jpg,7
50542.jpg,15904.jpg,7
25349.jpg,15904.jpg,7
50448.jpg,15904.jpg,7
50590.jpg,18699.jpg,7
15814.jpg,18699.jpg,7
45630.jpg,18699.jpg,7
25349.jpg,50447.jpg,7
32143.jpg,47508.jpg,7
27942.jpg,50590.jpg,7
18699.jpg,50590.jpg,7
28044.jpg,50590.jpg,7
27943.jpg,50590.jpg,7
50617.jpg,50590.jpg,7
54616.jpg,50590.jpg,7
27943.jpg,27979.jpg,7
28133.jpg,27979.jpg,7
50578.jpg,27979.jpg,7
54614.jpg,27979.jpg,7
50617.jpg,27979.jpg,7
28045.jpg,27979.jpg,7
47522.jpg,28045.jpg,7
50578.jpg,28045.jpg,7
54614.jpg,28045.jpg,7
50542.jpg,28045.jpg,7
50448.jpg,28045.jpg,7
54616.jpg,28045.jpg,7
28133.jpg,28045.jpg,7
50617.jpg,28045.jpg,7
27979.jpg,28045.jpg,7
28044.jpg,28045.jpg,7
27942.jpg,15814.jpg,7
18699.jpg,15814.jpg,7
32143.jpg,15814.jpg,7
27943.jpg,32143.jpg,7
25349.jpg,32143.jpg,7
54616.jpg,32143.jpg,7
47508.jpg,32143.jpg,7
15814.jpg,32143.jpg,7
27943.jpg,25349.jpg,7
50457.jpg,25349.jpg,7
15904.jpg,25349.jpg,7
32143.jpg,25349.jpg,7
54616.jpg,25349.jpg,7
50447.jpg,25349.jpg,7
50590.jpg,28044.jpg,7
50598.jpg,28044.jpg,7
28045.jpg,28044.jpg,7
45630.jpg,Calvin_Klein_Underwear_Adults-Men_Men_White_Fashion_Summer_2016_Casual_Nylon_Elastane_Mid-Rise_Brief_0,7
