relationshipType,unique_value_count,unique_values
hasOpeningType,12,"['zipper', 'zipper closure', 'front opening', 'open front', 'fly', 'zip closure', 'fly-front', 'side opening', 'button fly', 'zipper-opening', 'side-opening', 'slit at ankle']"
hasFabricTreatment,10,"['softened', 'no treatment', 'plain weave', 'stretchy material', 'soft finish', 'washed', 'no-treatment', 'unfinished seams', 'non-treated', 'perforated']"
hasPocketType,7,"['side pockets', 'slant pockets', 'side-pocket', 'front pockets', 'patch pockets', 'front pocket', 'no-pockets']"
hasSleeveType,6,"['long', 'long-sleeve', 'sleeveless', 'short-sleeve', 'straight', 'short sleeveless']"
hasPattern,5,"['striped', 'floral', 'solid color', 'abstract pattern', 'floral print']"
hasNeckline,4,"['straight', 'round neckline', 'round', 'crewneck']"
hasMaterialType,3,"['cotton', 'denim', 'cotton or polyester blend']"
hasLength,2,"['ankle-length', 'full length']"
hasAnimalPattern,2,"['elephant', 'no']"
hasLapelType,2,"['no-lapel', 'lapelless']"
hasNickname,2,"['salwar', 'blue jeans']"
hasWaistline,1,['high-waisted']
hasSilhouette,1,['straight']
belongsToCategory,1,['lowerbody']
depicts,1,['pants']
hasLeatherType,1,['no leather']
