product,relationship,attribute
20279.jpg,hasPattern,solid color
20279.jpg,hasLeatherType,smooth
20279.jpg,hasMaterialType,leather
20279.jpg,hasOpeningType,open toe
20279.jpg,hasPocketType,no pocket
20279.jpg,hasSleeveType,sleeveless
20279.jpg,hasNeckline,round neckline
20279.jpg,hasLength,short
20279.jpg,hasSilhouette,closed toe
20279.jpg,belongsToCategory,lowerbody
20279.jpg,depicts,shoes
3835.jpg,hasPattern,solid color
3835.jpg,hasFabricTreatment,plain weave
3835.jpg,hasMaterialType,fabric
3835.jpg,hasOpeningType,slip-on
3835.jpg,hasPocketType,no pocket
3835.jpg,hasSleeveType,short-sleeve
3835.jpg,hasLength,short
3835.jpg,hasSilhouette,slip-on
3835.jpg,belongsToCategory,lowerbody
3835.jpg,depicts,shoes
26666.jpg,hasPattern,solid color
26666.jpg,hasFabricTreatment,perforated
26666.jpg,hasLeatherType,no leather
26666.jpg,hasMaterialType,synthetic material
26666.jpg,hasOpeningType,slip-on
26666.jpg,hasSleeveType,sleeveless
26666.jpg,hasNeckline,round neckline
26666.jpg,hasLength,short
26666.jpg,hasSilhouette,slip-on
26666.jpg,belongsToCategory,lowerbody
26666.jpg,depicts,shoes
43005.jpg,hasPattern,solid color
43005.jpg,hasFabricTreatment,none specified
43005.jpg,hasMaterialType,synthetic material
43005.jpg,hasOpeningType,velcro closure
43005.jpg,hasSleeveType,sleeveless
43005.jpg,hasNeckline,round neckline
43005.jpg,hasLength,ankle-length
43005.jpg,hasSilhouette,slip-on
43005.jpg,belongsToCategory,lowerbody
43005.jpg,depicts,sandal
28324.jpg,hasAnimalPattern,no animal patterns
28324.jpg,hasFabricTreatment,unfinished
28324.jpg,hasLeatherType,full-grain
28324.jpg,hasMaterialType,leather
28324.jpg,hasOpeningType,slip-on
28324.jpg,hasSleeveType,sleeveless
28324.jpg,hasNeckline,no neckline
28324.jpg,hasLength,ankle-length
28324.jpg,hasSilhouette,slip-on
28324.jpg,belongsToCategory,lowerbody
28324.jpg,depicts,shoes
46885.jpg,hasPattern,solid color
46885.jpg,hasMaterialType,fabric
46885.jpg,hasOpeningType,slip-on
46885.jpg,hasLength,short
46885.jpg,hasSilhouette,slip-on
46885.jpg,belongsToCategory,shoes
46885.jpg,depicts,shoes
7039.jpg,hasSilhouette,slip-on
7039.jpg,hasSleeveType,slip-on
7039.jpg,depicts,shoes
7039.jpg,belongsToCategory,lowerbody
7039.jpg,hasLength,short
7039.jpg,hasOpeningType,shoes
7039.jpg,hasMaterialType,leather
7039.jpg,hasLeatherType,full-grain leather
17837.jpg,hasPattern,solid color
