relation1,attribute1,relation2,attribute2,frequency
belongsToCategory,upperbody,hasSleeveType,short-sleeve,40
depicts,t-shirt,hasSleeveType,short-sleeve,40
hasSleeveType,short-sleeve,belongsToCategory,upperbody,40
depicts,t-shirt,belongsToCategory,upperbody,40
hasSleeveType,short-sleeve,depicts,t-shirt,40
belongsToCategory,upperbody,depicts,t-shirt,40
hasSleeveType,short-sleeve,hasMaterialType,cotton,36
belongsToCategory,upperbody,hasMaterialType,cotton,36
depicts,t-shirt,hasMaterialType,cotton,36
hasMaterialType,cotton,hasSleeveType,short-sleeve,36
hasMaterialType,cotton,belongsToCategory,upperbody,36
hasMaterialType,cotton,depicts,t-shirt,36
hasCollarType,crew-neck,hasSleeveType,short-sleeve,29
hasSleeveType,short-sleeve,hasCollarType,crew-neck,29
belongsToCategory,upperbody,hasCollarType,crew-neck,29
depicts,t-shirt,hasCollarType,crew-neck,29
hasCollarType,crew-neck,belongsToCategory,upperbody,29
hasCollarType,crew-neck,depicts,t-shirt,29
hasCollarType,crew-neck,hasMaterialType,cotton,26
hasMaterialType,cotton,hasCollarType,crew-neck,26
hasNeckline,round neck,hasSleeveType,short-sleeve,21
hasSilhouette,regular fit,hasSleeveType,short-sleeve,21
hasSleeveType,short-sleeve,hasNeckline,round neck,21
belongsToCategory,upperbody,hasNeckline,round neck,21
depicts,t-shirt,hasNeckline,round neck,21
hasSleeveType,short-sleeve,hasSilhouette,regular fit,21
belongsToCategory,upperbody,hasSilhouette,regular fit,21
depicts,t-shirt,hasSilhouette,regular fit,21
hasNeckline,round neck,belongsToCategory,upperbody,21
hasSilhouette,regular fit,belongsToCategory,upperbody,21
hasNeckline,round neck,depicts,t-shirt,21
hasSilhouette,regular fit,depicts,t-shirt,21
hasLength,short,hasSleeveType,short-sleeve,20
hasSleeveType,short-sleeve,hasLength,short,20
belongsToCategory,upperbody,hasLength,short,20
depicts,t-shirt,hasLength,short,20
hasLength,short,belongsToCategory,upperbody,20
hasLength,short,depicts,t-shirt,20
hasNeckline,round neck,hasMaterialType,cotton,18
hasMaterialType,cotton,hasNeckline,round neck,18
hasCollarType,crew-neck,hasNeckline,round neck,18
hasNeckline,round neck,hasCollarType,crew-neck,18
hasLength,short,hasMaterialType,cotton,17
hasSilhouette,regular fit,hasMaterialType,cotton,17
hasMaterialType,cotton,hasLength,short,17
hasMaterialType,cotton,hasSilhouette,regular fit,17
hasLength,short,hasCollarType,crew-neck,17
hasCollarType,crew-neck,hasLength,short,17
hasLength,short,hasNeckline,round neck,15
hasNeckline,round neck,hasLength,short,15
hasSilhouette,regular fit,hasCollarType,crew-neck,15
hasCollarType,crew-neck,hasSilhouette,regular fit,15
hasMaterialType,cotton,hasFabricTreatment,plain weave,15
hasSleeveType,short-sleeve,hasFabricTreatment,plain weave,15
belongsToCategory,upperbody,hasFabricTreatment,plain weave,15
