relationshipType,unique_value_count,unique_values
hasPattern,10,"['graphic print', 'textured', 'solid color', 'polka-dot', 'graphic design', 'geometric', 'graphic', 'graphic pattern', 'striped', 'stripe pattern']"
hasSilhouette,9,"['regular fit', 'crew neck', 'fitted', 'straight', 'a-line', 'regular', 'slim-fit', 'crew-neck silhouette', 'fitted silhouette']"
hasWaistline,6,"['natural-waist', 'fitted', 'natural', 'high-waisted', 'straight', 'no waist']"
hasCollarType,5,"['crew-neck', 'round', 'round collar', 'crew neck collar', 'round neckline']"
hasFabricTreatment,5,"['dyed', 'plain weave', 'soft', 'non-treated fabric', 'soft and breathable']"
hasLength,4,"['short', 'short-sleeved', 'regular', 'short-sleeve']"
hasOpeningType,4,"['round neckline', 'crew neck', 'crew neck opening', 'button-front opening']"
hasAnimalPattern,4,"['cartoon character', 'skull and crossbones', 'cartoon animal', 'tiger']"
hasNeckline,2,"['round neckline', 'crew neck']"
depicts,2,"['t-shirt', 'shirt']"
hasNickname,2,"['blue t-shirt', 't-shirt']"
hasMaterialType,1,['cotton']
hasSleeveType,1,['short-sleeve']
belongsToCategory,1,['upperbody']
hasPocketType,1,['no pocket']
hasLeatherType,1,['no leather']
hasLapelType,1,['lapelless']
