product,relationship,attribute
10683.jpg,hasMaterialType,cotton
10683.jpg,hasSleeveType,short-sleeve
10683.jpg,hasNeckline,round neckline
10683.jpg,hasCollarType,crew-neck
10683.jpg,hasLength,short
10683.jpg,hasWaistline,natural-waist
10683.jpg,hasSilhouette,regular fit
10683.jpg,belongsToCategory,upperbody
10683.jpg,depicts,t-shirt
3873.jpg,hasMaterialType,cotton
3873.jpg,hasOpeningType,round neckline
3873.jpg,hasSleeveType,short-sleeve
3873.jpg,hasNeckline,crew neck
3873.jpg,hasCollarType,round
3873.jpg,hasLength,short
3873.jpg,hasSilhouette,crew neck
3873.jpg,belongsToCategory,upperbody
3873.jpg,depicts,t-shirt
3869.jpg,hasPattern,graphic print
3869.jpg,hasMaterialType,cotton
3869.jpg,hasOpeningType,round neckline
3869.jpg,hasSleeveType,short-sleeve
3869.jpg,hasNeckline,crew neck
3869.jpg,hasCollarType,crew-neck
3869.jpg,hasLength,short
3869.jpg,hasSilhouette,fitted
3869.jpg,belongsToCategory,upperbody
3869.jpg,depicts,t-shirt
3751.jpg,hasPattern,textured
3751.jpg,hasMaterialType,cotton
3751.jpg,hasOpeningType,crew neck
3751.jpg,hasSleeveType,short-sleeve
3751.jpg,hasNeckline,round neckline
3751.jpg,hasCollarType,crew-neck
3751.jpg,hasLength,short-sleeved
3751.jpg,hasSilhouette,crew neck
3751.jpg,hasNickname,blue t-shirt
3751.jpg,belongsToCategory,upperbody
3751.jpg,depicts,t-shirt
23175.jpg,hasMaterialType,cotton
23175.jpg,hasOpeningType,round neckline
23175.jpg,hasSleeveType,short-sleeve
23175.jpg,hasNeckline,crew neck
23175.jpg,hasLength,short
23175.jpg,hasSilhouette,crew neck
23175.jpg,belongsToCategory,upperbody
23175.jpg,depicts,t-shirt
8557.jpg,hasPattern,graphic print
8557.jpg,hasMaterialType,cotton
8557.jpg,hasOpeningType,round neckline
8557.jpg,hasSleeveType,short-sleeve
8557.jpg,hasNeckline,crew neck
8557.jpg,hasCollarType,round collar
8557.jpg,hasLength,short
8557.jpg,hasSilhouette,crew neck
8557.jpg,belongsToCategory,upperbody
8557.jpg,depicts,t-shirt
3517.jpg,hasPattern,textured
3517.jpg,hasOpeningType,round neckline
3517.jpg,hasSleeveType,short-sleeve
3517.jpg,hasNeckline,crew neck
3517.jpg,hasCollarType,crew-neck
3517.jpg,hasLength,regular
3517.jpg,hasMaterialType,cotton
3517.jpg,hasSilhouette,crew neck
3517.jpg,belongsToCategory,upperbody
3517.jpg,depicts,t-shirt
9935.jpg,hasPattern,solid color
9935.jpg,hasFabricTreatment,dyed
9935.jpg,hasMaterialType,cotton
9935.jpg,hasOpeningType,round neckline
9935.jpg,hasSleeveType,short-sleeve
9935.jpg,hasNeckline,crew neck
9935.jpg,hasCollarType,crew-neck
9935.jpg,hasLength,short
9935.jpg,hasWaistline,fitted
9935.jpg,hasSilhouette,crew neck
9935.jpg,belongsToCategory,upperbody
9935.jpg,depicts,t-shirt
46381.jpg,hasPattern,solid color
46381.jpg,hasMaterialType,cotton
46381.jpg,hasOpeningType,crew neck opening
46381.jpg,hasSleeveType,short-sleeve
46381.jpg,hasNeckline,round neckline
46381.jpg,hasCollarType,crew-neck
46381.jpg,hasLength,short
46381.jpg,hasSilhouette,crew neck
46381.jpg,belongsToCategory,upperbody
46381.jpg,depicts,t-shirt
2700.jpg,hasPattern,polka-dot
2700.jpg,hasMaterialType,cotton
2700.jpg,hasOpeningType,round neckline
2700.jpg,hasSleeveType,short-sleeve
2700.jpg,hasNeckline,crew neck
2700.jpg,hasLength,short
2700.jpg,hasSilhouette,crew neck
2700.jpg,belongsToCategory,upperbody
2700.jpg,depicts,t-shirt
30296.jpg,hasPattern,solid color
30296.jpg,hasMaterialType,cotton
30296.jpg,hasSleeveType,short-sleeve
30296.jpg,hasNeckline,round neckline
30296.jpg,hasCollarType,crew neck collar
30296.jpg,hasLength,short
30296.jpg,hasSilhouette,crew neck
30296.jpg,belongsToCategory,upperbody
30296.jpg,depicts,t-shirt
16428.jpg,hasPattern,graphic design
16428.jpg,hasMaterialType,cotton
16428.jpg,hasOpeningType,round neckline
16428.jpg,hasSleeveType,short-sleeve
16428.jpg,hasNeckline,crew neck
16428.jpg,hasLength,short
16428.jpg,hasSilhouette,crew neck
16428.jpg,belongsToCategory,upperbody
16428.jpg,depicts,t-shirt
3938.jpg,hasPattern,geometric
3938.jpg,hasFabricTreatment,plain weave
3938.jpg,hasMaterialType,cotton
3938.jpg,hasOpeningType,crew neck
3938.jpg,hasSleeveType,short-sleeve
3938.jpg,hasNeckline,round neckline
3938.jpg,hasLength,short
3938.jpg,hasSilhouette,straight
3938.jpg,belongsToCategory,upperbody
3938.jpg,depicts,t-shirt
3752.jpg,hasMaterialType,cotton
3752.jpg,hasSleeveType,short-sleeve
3752.jpg,hasNeckline,round neckline
3752.jpg,hasLength,short
3752.jpg,hasSilhouette,crew neck
3752.jpg,belongsToCategory,upperbody
3752.jpg,depicts,t-shirt
34338.jpg,hasFabricTreatment,plain weave
34338.jpg,hasMaterialType,cotton
34338.jpg,hasOpeningType,round neckline
34338.jpg,hasSleeveType,short-sleeve
34338.jpg,hasNeckline,crew neck
34338.jpg,hasLength,short
34338.jpg,hasWaistline,natural
34338.jpg,hasSilhouette,straight
34338.jpg,belongsToCategory,upperbody
34338.jpg,depicts,t-shirt
24594.jpg,hasAnimalPattern,cartoon character
24594.jpg,hasPattern,graphic
24594.jpg,hasFabricTreatment,soft
24594.jpg,hasMaterialType,cotton
24594.jpg,hasOpeningType,round neckline
24594.jpg,hasSleeveType,short-sleeve
24594.jpg,hasNeckline,crew neck
24594.jpg,hasCollarType,crew-neck
24594.jpg,hasLength,short
24594.jpg,hasWaistline,natural
24594.jpg,hasSilhouette,a-line
24594.jpg,belongsToCategory,upperbody
24594.jpg,depicts,t-shirt
9763.jpg,hasPattern,graphic pattern
9763.jpg,hasMaterialType,cotton
9763.jpg,hasSleeveType,short-sleeve
9763.jpg,hasNeckline,round neckline
9763.jpg,hasLength,short
9763.jpg,hasSilhouette,crew neck
9763.jpg,belongsToCategory,upperbody
9763.jpg,depicts,t-shirt
36559.jpg,hasMaterialType,cotton
36559.jpg,hasOpeningType,round neckline
36559.jpg,hasSleeveType,short-sleeve
36559.jpg,hasNeckline,crew neck
36559.jpg,hasCollarType,crew-neck
36559.jpg,hasLength,short
36559.jpg,hasSilhouette,crew neck
36559.jpg,belongsToCategory,upperbody
36559.jpg,depicts,t-shirt
11389.jpg,hasPattern,graphic print
11389.jpg,hasMaterialType,cotton
11389.jpg,hasOpeningType,crew neck opening
11389.jpg,hasSleeveType,short-sleeve
11389.jpg,hasNeckline,round neckline
11389.jpg,hasCollarType,crew-neck
11389.jpg,hasLength,short
11389.jpg,hasSilhouette,crew neck
11389.jpg,belongsToCategory,upperbody
11389.jpg,depicts,t-shirt
21456.jpg,hasPattern,striped
21456.jpg,hasMaterialType,cotton
21456.jpg,hasOpeningType,crew neck
21456.jpg,hasSleeveType,short-sleeve
21456.jpg,hasNeckline,round neckline
21456.jpg,hasCollarType,crew-neck
21456.jpg,hasLength,short
21456.jpg,hasWaistline,high-waisted
21456.jpg,hasSilhouette,a-line
21456.jpg,belongsToCategory,upperbody
21456.jpg,depicts,t-shirt
