relation1,attribute1,relation2,attribute2,frequency
hasMaterialType,cotton,hasPattern,floral,40
hasLength,knee-length,hasPattern,floral,40
belongsToCategory,upperbody,hasPattern,floral,40
depicts,dress,hasPattern,floral,40
hasPattern,floral,hasMaterialType,cotton,40
hasLength,knee-length,hasMaterialType,cotton,40
belongsToCategory,upperbody,hasMaterialType,cotton,40
depicts,dress,hasMaterialType,cotton,40
hasPattern,floral,hasLength,knee-length,40
hasMaterialType,cotton,hasLength,knee-length,40
belongsToCategory,upperbody,hasLength,knee-length,40
depicts,dress,hasLength,knee-length,40
hasPattern,floral,belongsToCategory,upperbody,40
hasMaterialType,cotton,belongsToCategory,upperbody,40
hasLength,knee-length,belongsToCategory,upperbody,40
depicts,dress,belongsToCategory,upperbody,40
hasPattern,floral,depicts,dress,40
hasMaterialType,cotton,depicts,dress,40
hasLength,knee-length,depicts,dress,40
belongsToCategory,upperbody,depicts,dress,40
hasSilhouette,a-line,hasPattern,floral,39
hasSilhouette,a-line,hasMaterialType,cotton,39
hasSilhouette,a-line,hasLength,knee-length,39
hasPattern,floral,hasSilhouette,a-line,39
hasMaterialType,cotton,hasSilhouette,a-line,39
hasLength,knee-length,hasSilhouette,a-line,39
belongsToCategory,upperbody,hasSilhouette,a-line,39
depicts,dress,hasSilhouette,a-line,39
hasSilhouette,a-line,belongsToCategory,upperbody,39
hasSilhouette,a-line,depicts,dress,39
hasNeckline,v-neck,hasPattern,floral,36
hasNeckline,v-neck,hasMaterialType,cotton,36
hasPattern,floral,hasNeckline,v-neck,36
hasMaterialType,cotton,hasNeckline,v-neck,36
hasLength,knee-length,hasNeckline,v-neck,36
belongsToCategory,upperbody,hasNeckline,v-neck,36
depicts,dress,hasNeckline,v-neck,36
hasNeckline,v-neck,hasLength,knee-length,36
hasNeckline,v-neck,belongsToCategory,upperbody,36
hasNeckline,v-neck,depicts,dress,36
hasSilhouette,a-line,hasNeckline,v-neck,35
hasNeckline,v-neck,hasSilhouette,a-line,35
hasWaistline,natural,hasPattern,floral,33
hasWaistline,natural,hasMaterialType,cotton,33
hasWaistline,natural,hasLength,knee-length,33
hasPattern,floral,hasWaistline,natural,33
hasMaterialType,cotton,hasWaistline,natural,33
hasLength,knee-length,hasWaistline,natural,33
belongsToCategory,upperbody,hasWaistline,natural,33
depicts,dress,hasWaistline,natural,33
hasWaistline,natural,belongsToCategory,upperbody,33
hasWaistline,natural,depicts,dress,33
hasSilhouette,a-line,hasWaistline,natural,32
hasWaistline,natural,hasSilhouette,a-line,32
hasCollarType,v-neck,hasPattern,floral,29
hasCollarType,v-neck,hasMaterialType,cotton,29
hasWaistline,natural,hasNeckline,v-neck,29
hasPattern,floral,hasCollarType,v-neck,29
hasMaterialType,cotton,hasCollarType,v-neck,29
hasLength,knee-length,hasCollarType,v-neck,29
belongsToCategory,upperbody,hasCollarType,v-neck,29
depicts,dress,hasCollarType,v-neck,29
hasCollarType,v-neck,hasLength,knee-length,29
hasNeckline,v-neck,hasWaistline,natural,29
hasCollarType,v-neck,belongsToCategory,upperbody,29
hasCollarType,v-neck,depicts,dress,29
hasSilhouette,a-line,hasCollarType,v-neck,28
hasCollarType,v-neck,hasSilhouette,a-line,28
hasSleeveType,short-sleeve,hasPattern,floral,25
hasSleeveType,short-sleeve,hasMaterialType,cotton,25
hasPattern,floral,hasSleeveType,short-sleeve,25
hasMaterialType,cotton,hasSleeveType,short-sleeve,25
hasLength,knee-length,hasSleeveType,short-sleeve,25
belongsToCategory,upperbody,hasSleeveType,short-sleeve,25
depicts,dress,hasSleeveType,short-sleeve,25
hasSleeveType,short-sleeve,hasLength,knee-length,25
hasSleeveType,short-sleeve,belongsToCategory,upperbody,25
hasSleeveType,short-sleeve,depicts,dress,25
hasNeckline,v-neck,hasSleeveType,short-sleeve,24
hasCollarType,v-neck,hasSleeveType,short-sleeve,24
hasSilhouette,a-line,hasSleeveType,short-sleeve,24
hasSleeveType,short-sleeve,hasNeckline,v-neck,24
hasSleeveType,short-sleeve,hasCollarType,v-neck,24
hasSleeveType,short-sleeve,hasSilhouette,a-line,24
hasWaistline,natural,hasCollarType,v-neck,23
hasCollarType,v-neck,hasWaistline,natural,23
hasWaistline,natural,hasSleeveType,short-sleeve,20
hasSleeveType,short-sleeve,hasWaistline,natural,20
hasOpeningType,zipper,hasPattern,floral,15
hasOpeningType,zipper,hasMaterialType,cotton,15
hasPattern,floral,hasOpeningType,zipper,15
hasMaterialType,cotton,hasOpeningType,zipper,15
hasLength,knee-length,hasOpeningType,zipper,15
hasSilhouette,a-line,hasOpeningType,zipper,15
belongsToCategory,upperbody,hasOpeningType,zipper,15
depicts,dress,hasOpeningType,zipper,15
hasOpeningType,zipper,hasLength,knee-length,15
hasOpeningType,zipper,hasSilhouette,a-line,15
hasOpeningType,zipper,belongsToCategory,upperbody,15
hasOpeningType,zipper,depicts,dress,15
