product,relationship,attribute
28324.jpg,hasAnimalPattern,no animal patterns
28324.jpg,hasFabricTreatment,unfinished
28324.jpg,hasLeatherType,full-grain
28324.jpg,hasMaterialType,leather
28324.jpg,hasOpeningType,slip-on
28324.jpg,hasSleeveType,sleeveless
28324.jpg,hasNeckline,no neckline
28324.jpg,hasLength,ankle-length
28324.jpg,hasSilhouette,slip-on
28324.jpg,belongsToCategory,lowerbody
28324.jpg,depicts,shoes
7039.jpg,hasSilhouette,slip-on
7039.jpg,hasSleeveType,slip-on
7039.jpg,depicts,shoes
7039.jpg,belongsToCategory,lowerbody
7039.jpg,hasLength,short
7039.jpg,hasOpeningType,shoes
7039.jpg,hasMaterialType,leather
7039.jpg,hasLeatherType,full-grain leather
47231.jpg,hasMaterialType,leather
47231.jpg,hasOpeningType,open toe
47231.jpg,hasSleeveType,sleeveless
47231.jpg,hasNeckline,no neckline
47231.jpg,hasLength,flat
47231.jpg,hasSilhouette,slipper
47231.jpg,belongsToCategory,lowerbody
47231.jpg,depicts,shoes
59764.jpg,hasPattern,solid color
59764.jpg,hasFabricTreatment,smooth
59764.jpg,hasMaterialType,fabric
59764.jpg,hasOpeningType,closed front
59764.jpg,hasSleeveType,sleeveless
59764.jpg,hasNeckline,round neckline
59764.jpg,hasLength,flat
59764.jpg,hasSilhouette,open toe
59764.jpg,belongsToCategory,lowerbody
59764.jpg,depicts,shoes
44520.jpg,hasPattern,solid color
44520.jpg,hasFabricTreatment,smooth
44520.jpg,hasMaterialType,fabric
44520.jpg,hasOpeningType,slip-on
44520.jpg,hasSleeveType,sleeveless
44520.jpg,hasNeckline,v-neck
44520.jpg,hasLength,flat
44520.jpg,hasSilhouette,open toe
44520.jpg,belongsToCategory,lowerbody
44520.jpg,depicts,shoes
14349.jpg,hasPattern,solid color
14349.jpg,hasMaterialType,synthetic
14349.jpg,hasOpeningType,open toe
14349.jpg,hasSleeveType,sleeveless
14349.jpg,hasNeckline,round
14349.jpg,hasLength,short
14349.jpg,hasSilhouette,flat
14349.jpg,belongsToCategory,lowerbody
14349.jpg,depicts,shoes
50176.jpg,hasFabricTreatment,textured fabric
50176.jpg,hasMaterialType,fabric
50176.jpg,hasOpeningType,open toe
50176.jpg,hasPocketType,no pocket
50176.jpg,hasSleeveType,sleeveless
50176.jpg,hasNeckline,no neckline
50176.jpg,hasLength,ankle length
50176.jpg,hasSilhouette,flat
50176.jpg,belongsToCategory,lowerbody
50176.jpg,depicts,shoes
6146.jpg,hasPattern,striped
6146.jpg,hasMaterialType,fabric
6146.jpg,hasOpeningType,slip-on
6146.jpg,hasPocketType,pockets
6146.jpg,hasSleeveType,sleeveless
6146.jpg,hasNeckline,round
6146.jpg,hasLength,short
6146.jpg,hasSilhouette,sandal
6146.jpg,belongsToCategory,lowerbody
6146.jpg,depicts,shoes
32176.jpg,hasPattern,striped
32176.jpg,hasMaterialType,synthetic
32176.jpg,hasOpeningType,open toe
32176.jpg,hasSleeveType,sleeveless
32176.jpg,hasLength,ankle-length
32176.jpg,hasSilhouette,flat
32176.jpg,belongsToCategory,lowerbody
32176.jpg,depicts,shoes
53143.jpg,hasPattern,print
53143.jpg,hasMaterialType,fabric
53143.jpg,hasOpeningType,slip-on
53143.jpg,hasSleeveType,sleeveless
53143.jpg,hasNeckline,v-neck
53143.jpg,hasLength,short
53143.jpg,hasSilhouette,sandal
53143.jpg,belongsToCategory,lowerbody
53143.jpg,depicts,shoes
5692.jpg,hasMaterialType,synthetic
5692.jpg,hasOpeningType,slip-on
5692.jpg,hasLength,flat
5692.jpg,hasSilhouette,slip-on
5692.jpg,belongsToCategory,lowerbody
5692.jpg,depicts,shoes
10083.jpg,hasPattern,solid color
10083.jpg,hasMaterialType,synthetic
10083.jpg,hasOpeningType,slip-on
10083.jpg,hasSleeveType,sleeveless
10083.jpg,hasLength,short
10083.jpg,hasSilhouette,flat
10083.jpg,belongsToCategory,lowerbody
10083.jpg,depicts,shoes
20762.jpg,hasPattern,striped
20762.jpg,hasFabricTreatment,suede
20762.jpg,hasLeatherType,full-grain
20762.jpg,hasMaterialType,leather
20762.jpg,hasOpeningType,slip-on
20762.jpg,hasSleeveType,short
20762.jpg,hasNeckline,round
20762.jpg,hasLength,flat
20762.jpg,hasSilhouette,sandal
20762.jpg,belongsToCategory,lowerbody
20762.jpg,depicts,shoes
6675.jpg,hasFabricTreatment,perforated
6675.jpg,hasMaterialType,synthetic
6675.jpg,hasOpeningType,slip-on
6675.jpg,hasSleeveType,short-sleeve
6675.jpg,hasNeckline,round neckline
6675.jpg,hasLength,ankle-high
6675.jpg,hasSilhouette,slip-on
6675.jpg,belongsToCategory,lowerbody
6675.jpg,depicts,shoes
27086.jpg,hasMaterialType,synthetic
27086.jpg,hasOpeningType,slip-on
27086.jpg,hasLength,closed-toe
27086.jpg,hasSilhouette,flat
27086.jpg,belongsToCategory,lowerbody
27086.jpg,depicts,sandal
22872.jpg,hasPattern,solid color
22872.jpg,hasMaterialType,fabric
22872.jpg,hasOpeningType,slip-on
22872.jpg,hasSleeveType,sleeveless
22872.jpg,hasNeckline,round neck
22872.jpg,hasLength,ankle-high
22872.jpg,hasSilhouette,slip-on
22872.jpg,belongsToCategory,lowerbody
22872.jpg,depicts,shoes
45323.jpg,hasPattern,floral
45323.jpg,hasFabricTreatment,embroidery
45323.jpg,hasMaterialType,fabric
45323.jpg,hasOpeningType,slip-on
45323.jpg,hasSleeveType,sleeveless
45323.jpg,hasNeckline,round neck
45323.jpg,hasLength,high heel
45323.jpg,hasSilhouette,open toe
45323.jpg,belongsToCategory,lowerbody
45323.jpg,depicts,shoes
35641.jpg,hasFabricTreatment,breathable mesh
35641.jpg,hasMaterialType,synthetic
35641.jpg,hasOpeningType,slip-on
35641.jpg,hasSleeveType,sleeveless
35641.jpg,hasLength,ankle-high
35641.jpg,hasSilhouette,slip-on
35641.jpg,belongsToCategory,lowerbody
35641.jpg,depicts,shoes
8527.jpg,hasMaterialType,fabric
8527.jpg,hasOpeningType,open toe
8527.jpg,hasSleeveType,sleeveless
8527.jpg,hasNeckline,round neckline
8527.jpg,hasLength,ankle-length
8527.jpg,hasSilhouette,open toe
8527.jpg,belongsToCategory,lowerbody
