product,relationship,attribute
34822.jpg,hasPattern,solid color
34822.jpg,hasFabricTreatment,breathable mesh
34822.jpg,hasMaterialType,synthetic materials
34822.jpg,hasOpeningType,lace-up or zipper
34822.jpg,hasSleeveType,sleeveless
34822.jpg,hasNeckline,round neckline
34822.jpg,hasLength,midi
34822.jpg,hasSilhouette,regular
34822.jpg,belongsToCategory,lowerbody
34822.jpg,depicts,shoes
57480.jpg,hasSilhouette,round
57480.jpg,hasSleeveType,slip-on
57480.jpg,depicts,shoes
57480.jpg,belongsToCategory,lowerbody
57480.jpg,hasLength,low-top
57480.jpg,hasNeckline,round
57480.jpg,hasOpeningType,lace-up
57480.jpg,hasMaterialType,leather
57480.jpg,hasLeatherType,full-grain
57480.jpg,hasFabricTreatment,suede
29258.jpg,hasPattern,striped
29258.jpg,hasFabricTreatment,perforations
29258.jpg,hasMaterialType,synthetic
29258.jpg,hasOpeningType,lace-up
29258.jpg,hasSleeveType,short
29258.jpg,hasLength,midi
29258.jpg,hasSilhouette,regular
29258.jpg,belongsToCategory,lowerbody
29258.jpg,depicts,shoes
3670.jpg,hasPattern,striped
3670.jpg,hasFabricTreatment,no treatment
3670.jpg,hasLeatherType,smooth leather
3670.jpg,hasMaterialType,leather
3670.jpg,hasOpeningType,lace-up
3670.jpg,hasSleeveType,short-sleeve
3670.jpg,hasLength,ankle-high
3670.jpg,hasSilhouette,regular
3670.jpg,belongsToCategory,lowerbody
3670.jpg,depicts,shoes
6134.jpg,hasPattern,stripe
6134.jpg,hasFabricTreatment,waterproof
6134.jpg,hasMaterialType,synthetic
6134.jpg,hasOpeningType,closed
6134.jpg,hasSleeveType,short
6134.jpg,hasNeckline,round
6134.jpg,hasLength,low-top
6134.jpg,hasSilhouette,athletic
6134.jpg,belongsToCategory,lowerbody
6134.jpg,depicts,shoes
10113.jpg,hasPattern,solid color
10113.jpg,hasMaterialType,fabric
10113.jpg,hasOpeningType,lace-up
10113.jpg,hasLength,regular
10113.jpg,hasSilhouette,round
10113.jpg,belongsToCategory,lowerbody
10113.jpg,depicts,shoes
59315.jpg,hasMaterialType,fabric
59315.jpg,hasOpeningType,slip-on
59315.jpg,hasSleeveType,sleeveless
59315.jpg,hasNeckline,round
59315.jpg,hasLapelType,no-lapel
59315.jpg,hasLength,low-top
59315.jpg,hasSilhouette,round
59315.jpg,belongsToCategory,lowerbody
59315.jpg,depicts,shoes
14570.jpg,hasFabricTreatment,brushed
14570.jpg,hasLeatherType,nubuck
14570.jpg,hasMaterialType,canvas
14570.jpg,hasOpeningType,lace-up
14570.jpg,hasSleeveType,short-sleeve
14570.jpg,hasNeckline,round
14570.jpg,hasLength,low-top
14570.jpg,hasSilhouette,sneaker
14570.jpg,belongsToCategory,lowerbody
14570.jpg,depicts,shoes
35675.jpg,hasPattern,striped
35675.jpg,hasFabricTreatment,suede
35675.jpg,hasMaterialType,fabric
35675.jpg,hasOpeningType,lace-up
35675.jpg,hasSleeveType,short
35675.jpg,hasNeckline,round
35675.jpg,hasLength,ankle-high
35675.jpg,hasSilhouette,regular
35675.jpg,belongsToCategory,lowerbody
35675.jpg,depicts,shoes
22952.jpg,hasAnimalPattern,no
22952.jpg,hasMaterialType,fabric
22952.jpg,hasLength,midi
22952.jpg,hasSilhouette,regular
22952.jpg,belongsToCategory,lowerbody
22952.jpg,depicts,shoes
15243.jpg,hasPattern,striped
15243.jpg,hasFabricTreatment,perforated
15243.jpg,hasMaterialType,synthetic
15243.jpg,hasOpeningType,lace-up
15243.jpg,hasSleeveType,closed
15243.jpg,hasNeckline,round
15243.jpg,hasLength,low-top
15243.jpg,hasSilhouette,round
15243.jpg,belongsToCategory,lowerbody
15243.jpg,depicts,shoes
4570.jpg,hasFabricTreatment,patent leather
4570.jpg,hasMaterialType,leather
4570.jpg,hasOpeningType,lace-up
4570.jpg,hasLength,low-top
4570.jpg,hasSilhouette,round
4570.jpg,belongsToCategory,lowerbody
4570.jpg,depicts,shoes
10183.jpg,hasPattern,solid-colored
10183.jpg,hasFabricTreatment,textured
10183.jpg,hasMaterialType,fabric
10183.jpg,hasOpeningType,lace-up
10183.jpg,hasSleeveType,sleeveless
10183.jpg,hasLength,ankle-high
10183.jpg,hasSilhouette,regular
10183.jpg,belongsToCategory,lowerbody
