product1,product2,shared_attributes
21020.jpg,16341.jpg,12
16341.jpg,21020.jpg,12
2163.jpg,16341.jpg,11
17553.jpg,16341.jpg,11
11059.jpg,16341.jpg,11
9878.jpg,16341.jpg,11
16341.jpg,2163.jpg,11
11059.jpg,2163.jpg,11
16341.jpg,17553.jpg,11
9878.jpg,17553.jpg,11
16341.jpg,11059.jpg,11
2163.jpg,11059.jpg,11
21020.jpg,11059.jpg,11
17576.jpg,11059.jpg,11
23198.jpg,11059.jpg,11
16341.jpg,9878.jpg,11
17553.jpg,9878.jpg,11
17576.jpg,33067.jpg,11
11059.jpg,21020.jpg,11
11059.jpg,17576.jpg,11
23198.jpg,17576.jpg,11
33067.jpg,17576.jpg,11
51430.jpg,14036.jpg,11
11059.jpg,23198.jpg,11
17576.jpg,23198.jpg,11
14036.jpg,51430.jpg,11
32395.jpg,16341.jpg,10
23198.jpg,16341.jpg,10
33067.jpg,19690.jpg,10
14036.jpg,19690.jpg,10
51430.jpg,19690.jpg,10
9422.jpg,19690.jpg,10
17553.jpg,2163.jpg,10
11166.jpg,2163.jpg,10
9878.jpg,2163.jpg,10
21020.jpg,2163.jpg,10
12041.jpg,2163.jpg,10
23198.jpg,2163.jpg,10
2163.jpg,17553.jpg,10
32395.jpg,17553.jpg,10
11059.jpg,17553.jpg,10
21020.jpg,17553.jpg,10
17576.jpg,17553.jpg,10
23198.jpg,17553.jpg,10
33067.jpg,17553.jpg,10
22472.jpg,17553.jpg,10
2163.jpg,11166.jpg,10
16341.jpg,32395.jpg,10
17553.jpg,32395.jpg,10
9878.jpg,32395.jpg,10
33067.jpg,43486.jpg,10
17576.jpg,43486.jpg,10
14036.jpg,43486.jpg,10
11059.jpg,43486.jpg,10
11059.jpg,9422.jpg,10
19690.jpg,9422.jpg,10
17553.jpg,11059.jpg,10
9422.jpg,11059.jpg,10
9878.jpg,11059.jpg,10
33067.jpg,11059.jpg,10
31302.jpg,11059.jpg,10
8780.jpg,11059.jpg,10
30798.jpg,11059.jpg,10
14036.jpg,11059.jpg,10
43486.jpg,11059.jpg,10
9878.jpg,12253.jpg,10
17576.jpg,7177.jpg,10
2163.jpg,9878.jpg,10
32395.jpg,9878.jpg,10
11059.jpg,9878.jpg,10
21020.jpg,9878.jpg,10
23198.jpg,9878.jpg,10
12253.jpg,9878.jpg,10
19690.jpg,33067.jpg,10
43486.jpg,33067.jpg,10
14036.jpg,33067.jpg,10
17553.jpg,33067.jpg,10
11059.jpg,33067.jpg,10
2163.jpg,21020.jpg,10
17553.jpg,21020.jpg,10
9878.jpg,21020.jpg,10
23198.jpg,21020.jpg,10
11059.jpg,31302.jpg,10
2163.jpg,12041.jpg,10
11059.jpg,8780.jpg,10
14036.jpg,8780.jpg,10
17553.jpg,17576.jpg,10
7177.jpg,17576.jpg,10
14036.jpg,17576.jpg,10
19709.jpg,17576.jpg,10
43486.jpg,17576.jpg,10
11059.jpg,30798.jpg,10
23198.jpg,30798.jpg,10
19690.jpg,14036.jpg,10
43486.jpg,14036.jpg,10
33067.jpg,14036.jpg,10
17576.jpg,14036.jpg,10
19709.jpg,14036.jpg,10
11059.jpg,14036.jpg,10
8780.jpg,14036.jpg,10
16341.jpg,23198.jpg,10
2163.jpg,23198.jpg,10
17553.jpg,23198.jpg,10
9878.jpg,23198.jpg,10
21020.jpg,23198.jpg,10
