1.  (45642.jpg, depicts, underwear)
2.  (45642.jpg, belongs_to_category, lowerbody)
3.  (45642.jpg, has_silhouette, bodycon)
4.  (45642.jpg, has_waistline, high-waisted)
5.  (45642.jpg, has_length, shorts)
6.  (45642.jpg, has_collar_type, no-collar)
7.  (45642.jpg, has_lapel_type, no-lapel)
8.  (45642.jpg, has_neckline, crew-neck)
9.  (45642.jpg, has_sleeve_type, short-sleeves)
10. (45642.jpg, has_pocket_type, no-pocket)
11. (45642.jpg, has_opening_type, no-opening)
12. (45642.jpg, has_material_type, cotton)
13. (45642.jpg, has_leather_type, none)
14. (45642.jpg, has_fabric_treatment, plain-weave)
15. (45642.jpg, has_pattern, stripes)
16. (45642.jpg, has_animal_pattern, no-animal-pattern)
