product_name,total_shared_attributes
" ""45015.jpg""",9
" ""56329.jpg""",8
" ""45045.jpg""",8
" ""25642.jpg""",8
" ""28576.jpg""",8
" ""19762.jpg""",8
" ""32338.jpg""",8
" ""45264.jpg""",8
" ""19767.jpg""",8
" ""5069.jpg""",8
" ""49323.jpg""",8
" ""5076.jpg""",8
" ""24487.jpg""",8
" ""17422.jpg""",8
" ""22919.jpg""",8
" ""22920.jpg""",8
" ""45155.jpg""",8
" ""29918.jpg""",8
" ""53570.jpg""",8
" ""23265.jpg""",8
" ""53615.jpg""",8
" ""40561.jpg""",7
" ""25640.jpg""",7
" ""32345.jpg""",7
" ""45185.jpg""",7
" ""19758.jpg""",7
" ""36762.jpg""",7
" ""11488.jpg""",7
" ""46529.jpg""",7
" ""36770.jpg""",7
" ""25616.jpg""",7
" ""49326.jpg""",7
" ""19285.jpg""",7
" ""32291.jpg""",7
" ""46740.jpg""",7
" ""22937.jpg""",7
" ""51558.jpg""",7
" ""30023.jpg""",7
" ""10327.jpg""",7
" ""54671.jpg""",7
" ""51656.jpg""",7
" ""30087.jpg""",7
" ""47994.jpg""",7
" ""32307.jpg""",7
" ""45027.jpg""",7
" ""29472.jpg""",7
" ""43219.jpg""",7
" ""45042.jpg""",7
" ""29450.jpg""",7
" ""59254.jpg""",7
" ""11215.jpg""",7
" ""29754.jpg""",7
" ""37490.jpg""",7
" ""41038.jpg""",7
" ""8140.jpg""",7
" ""49889.jpg""",7
" ""43163.jpg""",7
" ""46442.jpg""",7
" ""39365.jpg""",7
" ""59282.jpg""",7
" ""43199.jpg""",7
" ""43201.jpg""",7
" ""17462.jpg""",6
" ""30074.jpg""",6
" ""30038.jpg""",6
" ""54657.jpg""",6
" ""51625.jpg""",6
" ""54664.jpg""",6
" ""51631.jpg""",6
" ""46438.jpg""",6
" ""51632.jpg""",6
" ""30064.jpg""",6
" ""54676.jpg""",6
" ""31832.jpg""",6
" ""30075.jpg""",6
" ""37330.jpg""",6
" ""32349.jpg""",6
" ""30084.jpg""",6
" ""55969.jpg""",6
" ""45296.jpg""",6
" ""33872.jpg""",6
" ""32329.jpg""",6
" ""38042.jpg""",6
" ""32325.jpg""",6
" ""38028.jpg""",6
" ""54648.jpg""",6
" ""30029.jpg""",6
" ""31827.jpg""",6
" ""23258.jpg""",6
" ""46735.jpg""",6
" ""3256.jpg""",6
" ""29915.jpg""",6
" ""46493.jpg""",6
" ""29923.jpg""",6
" ""46494.jpg""",6
" ""29925.jpg""",6
" ""22931.jpg""",6
" ""21481.jpg""",6
" ""54620.jpg""",6
" ""54625.jpg""",6
" ""26343.jpg""",6
" ""54628.jpg""",6
" ""54633.jpg""",6
" ""51556.jpg""",6
" ""36902.jpg""",6
" ""51562.jpg""",6
" ""37324.jpg""",6
" ""32320.jpg""",6
" ""51563.jpg""",6
" ""30020.jpg""",6
" ""29759.jpg""",6
" ""32321.jpg""",6
" ""25679.jpg""",6
" ""30166.jpg""",6
" ""43184.jpg""",6
" ""25617.jpg""",6
" ""45160.jpg""",6
" ""45164.jpg""",6
" ""45170.jpg""",6
" ""32281.jpg""",6
" ""21683.jpg""",6
" ""21684.jpg""",6
" ""21685.jpg""",6
" ""45175.jpg""",6
" ""25652.jpg""",6
" ""25653.jpg""",6
" ""45191.jpg""",6
" ""45151.jpg""",6
" ""45192.jpg""",6
" ""45194.jpg""",6
" ""21699.jpg""",6
" ""21704.jpg""",6
" ""21711.jpg""",6
" ""43193.jpg""",6
" ""45220.jpg""",6
" ""11487.jpg""",6
" ""36790.jpg""",6
" ""45227.jpg""",6
" ""46527.jpg""",6
" ""21682.jpg""",6
" ""17447.jpg""",6
" ""32311.jpg""",6
" ""46578.jpg""",6
" ""52684.jpg""",6
" ""25680.jpg""",6
" ""32308.jpg""",6
" ""45293.jpg""",6
" ""43175.jpg""",6
" ""52816.jpg""",6
" ""45018.jpg""",6
" ""32297.jpg""",6
" ""21666.jpg""",6
" ""43176.jpg""",6
" ""8144.jpg""",6
" ""8133.jpg""",6
" ""11213.jpg""",6
" ""46519.jpg""",6
" ""46563.jpg""",6
" ""19248.jpg""",6
" ""19252.jpg""",6
" ""21679.jpg""",6
" ""21680.jpg""",6
" ""19262.jpg""",6
" ""19273.jpg""",6
" ""19277.jpg""",6
" ""21681.jpg""",6
" ""19287.jpg""",6
" ""45010.jpg""",6
" ""49870.jpg""",6
" ""46463.jpg""",6
" ""17425.jpg""",6
" ""10139.jpg""",6
" ""29507.jpg""",6
" ""45920.jpg""",6
" ""53572.jpg""",6
" ""47991.jpg""",6
" ""29525.jpg""",6
" ""39018.jpg""",6
" ""29529.jpg""",6
" ""39028.jpg""",6
" ""53579.jpg""",6
" ""10319.jpg""",6
" ""16121.jpg""",6
" ""33915.jpg""",6
" ""45900.jpg""",6
" ""17417.jpg""",6
" ""17418.jpg""",6
" ""Portia_Adults-Women_Women_Brown_Fashion_Winter_2012_Casual_Open_Toe_Synthetic_Slip-On_Casual_Flats_F_4""",6
" ""59278.jpg""",6
" ""29501.jpg""",6
" ""59252.jpg""",6
" ""58935.jpg""",6
" ""50404.jpg""",6
" ""28435.jpg""",6
" ""50401.jpg""",6
" ""50390.jpg""",6
" ""16774.jpg""",6
" ""29451.jpg""",6
" ""28577.jpg""",6
" ""29461.jpg""",6
" ""45926.jpg""",6
" ""29468.jpg""",6
" ""28582.jpg""",6
" ""29489.jpg""",6
" ""29490.jpg""",6
" ""45931.jpg""",6
" ""59220.jpg""",6
" ""45927.jpg""",6
" ""48030.jpg""",6
" ""33919.jpg""",6
" ""49869.jpg""",6
" ""49877.jpg""",6
" ""53600.jpg""",6
" ""49880.jpg""",6
" ""29744.jpg""",6
" ""49881.jpg""",6
" ""10398.jpg""",6
" ""29749.jpg""",6
" ""17434.jpg""",6
" ""19882.jpg""",5
" ""59221.jpg""",5
" ""43149.jpg""",5
" ""40758.jpg""",5
" ""56151.jpg""",5
" ""59217.jpg""",5
" ""46530.jpg""",5
" ""49879.jpg""",5
" ""46532.jpg""",5
" ""20715.jpg""",5
" ""6134.jpg""",5
" ""45219.jpg""",5
" ""45212.jpg""",5
" ""46540.jpg""",5
" ""19766.jpg""",5
" ""52145.jpg""",5
" ""45225.jpg""",5
" ""45224.jpg""",5
" ""28581.jpg""",5
" ""56678.jpg""",5
" ""59274.jpg""",5
" ""59271.jpg""",5
" ""56681.jpg""",5
" ""45250.jpg""",5
" ""43204.jpg""",5
" ""45240.jpg""",5
" ""45236.jpg""",5
" ""45298.jpg""",5
" ""43216.jpg""",5
" ""43217.jpg""",5
" ""45228.jpg""",5
" ""59267.jpg""",5
" ""15396.jpg""",5
" ""59261.jpg""",5
" ""59259.jpg""",5
" ""37294.jpg""",5
" ""46502.jpg""",5
" ""59223.jpg""",5
" ""26348.jpg""",5
" ""49890.jpg""",5
" ""19765.jpg""",5
" ""13077.jpg""",5
" ""50394.jpg""",5
" ""15243.jpg""",5
" ""50395.jpg""",5
" ""13058.jpg""",5
" ""46554.jpg""",5
" ""13062.jpg""",5
" ""46556.jpg""",5
" ""46557.jpg""",5
" ""40557.jpg""",5
" ""26345.jpg""",5
" ""40556.jpg""",5
" ""33923.jpg""",5
" ""46478.jpg""",5
" ""40551.jpg""",5
" ""59036.jpg""",5
" ""45163.jpg""",5
" ""49872.jpg""",5
" ""45159.jpg""",5
" ""46482.jpg""",5
" ""45177.jpg""",5
" ""16786.jpg""",5
" ""16783.jpg""",5
" ""43154.jpg""",5
" ""19764.jpg""",5
" ""35282.jpg""",5
" ""19759.jpg""",5
" ""50387.jpg""",5
" ""19756.jpg""",5
" ""45198.jpg""",5
" ""45197.jpg""",5
" ""46543.jpg""",5
" ""45196.jpg""",5
" ""20949.jpg""",5
" ""16778.jpg""",5
" ""46545.jpg""",5
" ""16779.jpg""",5
" ""45189.jpg""",5
" ""46546.jpg""",5
" ""33928.jpg""",5
" ""56676.jpg""",5
" ""56668.jpg""",5
" ""56674.jpg""",5
" ""49979.jpg""",5
" ""43172.jpg""",5
" ""43173.jpg""",5
" ""49895.jpg""",5
" ""45297.jpg""",5
" ""43174.jpg""",5
" ""49857.jpg""",5
" ""49899.jpg""",5
" ""49907.jpg""",5
" ""45290.jpg""",5
" ""37312.jpg""",5
" ""16119.jpg""",5
" ""8139.jpg""",5
" ""8136.jpg""",5
" ""49883.jpg""",5
" ""37319.jpg""",5
" ""45287.jpg""",5
" ""46517.jpg""",5
" ""39353.jpg""",5
" ""33528.jpg""",5
" ""45295.jpg""",5
" ""37320.jpg""",5
" ""49886.jpg""",5
" ""41050.jpg""",5
" ""41049.jpg""",5
" ""56319.jpg""",5
" ""37328.jpg""",5
" ""56327.jpg""",5
" ""49892.jpg""",5
" ""37326.jpg""",5
" ""56331.jpg""",5
" ""8227.jpg""",5
" ""56340.jpg""",5
" ""56346.jpg""",5
" ""49862.jpg""",5
" ""41036.jpg""",5
" ""41035.jpg""",5
" ""37334.jpg""",5
" ""49861.jpg""",5
" ""49894.jpg""",5
" ""43179.jpg""",5
" ""45272.jpg""",5
" ""56672.jpg""",5
" ""37483.jpg""",5
" ""20591.jpg""",5
" ""39376.jpg""",5
" ""37473.jpg""",5
" ""43189.jpg""",5
" ""43157.jpg""",5
" ""46526.jpg""",5
" ""37477.jpg""",5
" ""37482.jpg""",5
" ""12712.jpg""",5
" ""39360.jpg""",5
" ""39377.jpg""",5
" ""37494.jpg""",5
" ""43192.jpg""",5
" ""37299.jpg""",5
" ""46505.jpg""",5
" ""37495.jpg""",5
" ""43195.jpg""",5
" ""49891.jpg""",5
" ""43187.jpg""",5
" ""44447.jpg""",5
" ""37472.jpg""",5
" ""46523.jpg""",5
" ""8115.jpg""",5
" ""5931.jpg""",5
" ""8110.jpg""",5
" ""39023.jpg""",5
" ""8107.jpg""",5
" ""39368.jpg""",5
" ""37307.jpg""",5
" ""39017.jpg""",5
" ""8106.jpg""",5
" ""33484.jpg""",5
" ""8102.jpg""",5
" ""8101.jpg""",5
" ""8099.jpg""",5
" ""8095.jpg""",5
" ""46521.jpg""",5
" ""39375.jpg""",5
" ""59284.jpg""",5
" ""43186.jpg""",5
" ""17445.jpg""",5
" ""28436.jpg""",5
" ""29994.jpg""",5
" ""33914.jpg""",5
" ""30035.jpg""",5
" ""5070.jpg""",5
" ""30025.jpg""",5
" ""51573.jpg""",5
" ""34619.jpg""",5
" ""38696.jpg""",5
" ""33907.jpg""",5
" ""51566.jpg""",5
" ""5079.jpg""",5
" ""34624.jpg""",5
" ""53588.jpg""",5
" ""29982.jpg""",5
" ""29975.jpg""",5
" ""51551.jpg""",5
" ""51550.jpg""",5
" ""29948.jpg""",5
" ""51537.jpg""",5
" ""14349.jpg""",5
" ""17419.jpg""",5
" ""51581.jpg""",5
" ""34625.jpg""",5
" ""51535.jpg""",5
" ""30055.jpg""",5
" ""30067.jpg""",5
" ""44963.jpg""",5
" ""58831.jpg""",5
" ""30063.jpg""",5
" ""51647.jpg""",5
" ""51634.jpg""",5
" ""58830.jpg""",5
" ""29526.jpg""",5
" ""30057.jpg""",5
" ""30054.jpg""",5
" ""57815.jpg""",5
" ""7047.jpg""",5
" ""58821.jpg""",5
" ""30048.jpg""",5
" ""51624.jpg""",5
" ""30047.jpg""",5
" ""51623.jpg""",5
" ""30043.jpg""",5
" ""30041.jpg""",5
" ""51621.jpg""",5
" ""51536.jpg""",5
" ""33898.jpg""",5
" ""40537.jpg""",5
" ""58453.jpg""",5
" ""17431.jpg""",5
" ""17432.jpg""",5
" ""33884.jpg""",5
" ""6620.jpg""",5
" ""46738.jpg""",5
" ""58447.jpg""",5
" ""58448.jpg""",5
" ""58449.jpg""",5
" ""58450.jpg""",5
" ""29747.jpg""",5
" ""29906.jpg""",5
" ""33887.jpg""",5
" ""33889.jpg""",5
" ""17433.jpg""",5
" ""17457.jpg""",5
" ""17456.jpg""",5
" ""17455.jpg""",5
" ""29760.jpg""",5
" ""17449.jpg""",5
" ""17439.jpg""",5
" ""33878.jpg""",5
" ""44766.jpg""",5
" ""29944.jpg""",5
" ""17426.jpg""",5
" ""51522.jpg""",5
" ""51519.jpg""",5
" ""17424.jpg""",5
" ""39713.jpg""",5
" ""51516.jpg""",5
" ""6745.jpg""",5
" ""51513.jpg""",5
" ""51512.jpg""",5
" ""29928.jpg""",5
" ""17427.jpg""",5
" ""51271.jpg""",5
" ""34581.jpg""",5
" ""17428.jpg""",5
" ""29922.jpg""",5
" ""29921.jpg""",5
" ""17430.jpg""",5
" ""29916.jpg""",5
" ""58194.jpg""",5
" ""29914.jpg""",5
" ""51272.jpg""",5
" ""30070.jpg""",5
" ""58832.jpg""",5
" ""44969.jpg""",5
" ""45118.jpg""",5
" ""19266.jpg""",5
" ""19263.jpg""",5
" ""29440.jpg""",5
" ""58941.jpg""",5
" ""19255.jpg""",5
" ""19249.jpg""",5
" ""15091.jpg""",5
" ""58939.jpg""",5
" ""46570.jpg""",5
" ""45108.jpg""",5
" ""29422.jpg""",5
" ""46577.jpg""",5
" ""45043.jpg""",5
" ""58934.jpg""",5
" ""29470.jpg""",5
" ""45033.jpg""",5
" ""40300.jpg""",5
" ""45032.jpg""",5
" ""45028.jpg""",5
" ""29491.jpg""",5
" ""19271.jpg""",5
" ""40499.jpg""",5
" ""44971.jpg""",5
" ""29756.jpg""",5
" ""45154.jpg""",5
" ""40535.jpg""",5
" ""46559.jpg""",5
" ""46560.jpg""",5
" ""45146.jpg""",5
" ""40523.jpg""",5
" ""45139.jpg""",5
" ""57042.jpg""",5
" ""29407.jpg""",5
" ""29409.jpg""",5
" ""40501.jpg""",5
" ""19299.jpg""",5
" ""19298.jpg""",5
" ""49141.jpg""",5
" ""29410.jpg""",5
" ""40512.jpg""",5
" ""29411.jpg""",5
" ""19284.jpg""",5
" ""19281.jpg""",5
" ""29413.jpg""",5
" ""29492.jpg""",5
" ""13481.jpg""",5
" ""45016.jpg""",5
" ""30086.jpg""",5
" ""38050.jpg""",5
" ""3464.jpg""",5
" ""45003.jpg""",5
" ""45002.jpg""",5
" ""44996.jpg""",5
" ""29506.jpg""",5
" ""44990.jpg""",5
" ""13840.jpg""",5
" ""13841.jpg""",5
" ""46460.jpg""",5
" ""29494.jpg""",5
" ""44984.jpg""",5
" ""4705.jpg""",5
" ""29519.jpg""",5
" ""44979.jpg""",5
" ""29523.jpg""",5
" ""30080.jpg""",5
" ""51655.jpg""",5
" ""18534.jpg""",5
" ""29524.jpg""",5
" ""29505.jpg""",5
" ""38047.jpg""",5
" ""38046.jpg""",5
" ""47109.jpg""",5
" ""29497.jpg""",5
" ""30251.jpg""",5
" ""45009.jpg""",5
" ""45008.jpg""",5
" ""45006.jpg""",5
" ""27041.jpg""",5
" ""38007.jpg""",5
" ""38018.jpg""",5
" ""30172.jpg""",5
" ""38022.jpg""",5
" ""29499.jpg""",5
" ""38024.jpg""",5
" ""38025.jpg""",5
" ""49513.jpg""",5
" ""29502.jpg""",5
" ""17046.jpg""",5
" ""49517.jpg""",5
" ""29503.jpg""",5
" ""38032.jpg""",5
" ""57045.jpg""",5
" ""45239.jpg""",5
" ""54662.jpg""",5
" ""46422.jpg""",5
" ""21707.jpg""",5
" ""36308.jpg""",5
" ""36804.jpg""",5
" ""21752.jpg""",5
" ""48015.jpg""",5
" ""52693.jpg""",5
" ""Enroute_Women_Adults-Women_Women_Navy_Blue_Fashion_Summer_2012_Casual_Driving_Shoes_Casual_Shoes_Foo_3""",5
" ""46420.jpg""",5
" ""36798.jpg""",5
" ""10241.jpg""",5
" ""36792.jpg""",5
" ""36784.jpg""",5
" ""36783.jpg""",5
" ""36779.jpg""",5
" ""46309.jpg""",5
" ""22533.jpg""",5
" ""48014.jpg""",5
" ""46310.jpg""",5
" ""DKNY_Adults-Women_Women_Black_Fashion_Winter_2016_Casual_Synthetic_Hybrid_Mechanical_Non-Resistant_R_0""",5
" ""32295.jpg""",5
" ""36771.jpg""",5
" ""25678.jpg""",5
" ""46311.jpg""",5
" ""48005.jpg""",5
" ""45940.jpg""",5
" ""36767.jpg""",5
" ""45937.jpg""",5
" ""36765.jpg""",5
" ""11485.jpg""",5
" ""25675.jpg""",5
" ""25040.jpg""",5
" ""32306.jpg""",5
" ""45929.jpg""",5
" ""31856.jpg""",5
