product_name,total_shared_attributes
" ""59254.jpg""",2
" ""59220.jpg""",2
" ""10105.jpg""",1
" ""45912.jpg""",1
" ""45911.jpg""",1
" ""45910.jpg""",1
" ""45909.jpg""",1
" ""45907.jpg""",1
" ""45906.jpg""",1
" ""45904.jpg""",1
" ""45903.jpg""",1
" ""45902.jpg""",1
" ""45901.jpg""",1
" ""45900.jpg""",1
" ""45899.jpg""",1
" ""45898.jpg""",1
" ""45897.jpg""",1
" ""45896.jpg""",1
" ""45895.jpg""",1
" ""45894.jpg""",1
" ""45892.jpg""",1
" ""45891.jpg""",1
" ""45890.jpg""",1
" ""45889.jpg""",1
" ""45888.jpg""",1
" ""45887.jpg""",1
" ""45886.jpg""",1
" ""45885.jpg""",1
" ""45884.jpg""",1
" ""45913.jpg""",1
" ""45914.jpg""",1
" ""45915.jpg""",1
" ""45936.jpg""",1
" ""46316.jpg""",1
" ""46315.jpg""",1
" ""46313.jpg""",1
" ""46312.jpg""",1
" ""46311.jpg""",1
" ""46310.jpg""",1
" ""46309.jpg""",1
" ""46308.jpg""",1
" ""45940.jpg""",1
" ""45939.jpg""",1
" ""45938.jpg""",1
" ""45937.jpg""",1
" ""45932.jpg""",1
" ""45916.jpg""",1
" ""45931.jpg""",1
" ""45929.jpg""",1
" ""45928.jpg""",1
" ""45927.jpg""",1
" ""45926.jpg""",1
" ""45925.jpg""",1
" ""45924.jpg""",1
" ""45923.jpg""",1
" ""45921.jpg""",1
" ""45920.jpg""",1
" ""45919.jpg""",1
" ""45917.jpg""",1
" ""45882.jpg""",1
" ""45881.jpg""",1
" ""46318.jpg""",1
" ""45880.jpg""",1
" ""45254.jpg""",1
" ""45253.jpg""",1
" ""45250.jpg""",1
" ""45249.jpg""",1
" ""45248.jpg""",1
" ""45247.jpg""",1
" ""45246.jpg""",1
" ""45245.jpg""",1
" ""45244.jpg""",1
" ""45242.jpg""",1
" ""45240.jpg""",1
" ""45239.jpg""",1
" ""45238.jpg""",1
" ""45236.jpg""",1
" ""45235.jpg""",1
" ""45234.jpg""",1
" ""45231.jpg""",1
" ""45229.jpg""",1
" ""45228.jpg""",1
" ""45227.jpg""",1
" ""45226.jpg""",1
" ""45225.jpg""",1
" ""45224.jpg""",1
" ""45222.jpg""",1
" ""45221.jpg""",1
" ""45220.jpg""",1
" ""45219.jpg""",1
" ""45257.jpg""",1
" ""45259.jpg""",1
" ""45260.jpg""",1
" ""45293.jpg""",1
" ""45878.jpg""",1
" ""45875.jpg""",1
" ""45874.jpg""",1
" ""45873.jpg""",1
" ""45872.jpg""",1
" ""45870.jpg""",1
" ""45869.jpg""",1
" ""45298.jpg""",1
" ""45297.jpg""",1
" ""45296.jpg""",1
" ""45295.jpg""",1
" ""45294.jpg""",1
" ""45292.jpg""",1
" ""45261.jpg""",1
" ""45291.jpg""",1
" ""45290.jpg""",1
" ""45289.jpg""",1
" ""45288.jpg""",1
" ""45287.jpg""",1
" ""45286.jpg""",1
" ""45273.jpg""",1
" ""45272.jpg""",1
" ""45269.jpg""",1
" ""45268.jpg""",1
" ""45266.jpg""",1
" ""45264.jpg""",1
" ""46317.jpg""",1
" ""46419.jpg""",1
" ""46418.jpg""",1
" ""46515.jpg""",1
" ""46530.jpg""",1
" ""46529.jpg""",1
" ""46528.jpg""",1
" ""46527.jpg""",1
" ""46526.jpg""",1
" ""46525.jpg""",1
" ""46524.jpg""",1
" ""46523.jpg""",1
" ""46521.jpg""",1
" ""46519.jpg""",1
" ""46517.jpg""",1
" ""46516.jpg""",1
" ""46513.jpg""",1
" ""46534.jpg""",1
" ""46512.jpg""",1
" ""46511.jpg""",1
" ""46510.jpg""",1
" ""46509.jpg""",1
" ""46508.jpg""",1
" ""46505.jpg""",1
" ""46503.jpg""",1
" ""46502.jpg""",1
" ""46501.jpg""",1
" ""46500.jpg""",1
" ""46499.jpg""",1
" ""46498.jpg""",1
" ""46532.jpg""",1
" ""46538.jpg""",1
" ""46494.jpg""",1
" ""46559.jpg""",1
" ""46579.jpg""",1
" ""46578.jpg""",1
" ""46577.jpg""",1
" ""46575.jpg""",1
" ""46572.jpg""",1
" ""46570.jpg""",1
" ""46569.jpg""",1
" ""46565.jpg""",1
" ""46563.jpg""",1
" ""46562.jpg""",1
" ""46561.jpg""",1
" ""46560.jpg""",1
" ""46558.jpg""",1
" ""46540.jpg""",1
" ""46557.jpg""",1
" ""46556.jpg""",1
" ""46554.jpg""",1
" ""46553.jpg""",1
" ""46552.jpg""",1
" ""46549.jpg""",1
" ""46546.jpg""",1
" ""46545.jpg""",1
" ""46544.jpg""",1
" ""46543.jpg""",1
" ""46542.jpg""",1
" ""46541.jpg""",1
" ""46495.jpg""",1
" ""46493.jpg""",1
" ""45217.jpg""",1
" ""46438.jpg""",1
" ""46454.jpg""",1
" ""46452.jpg""",1
" ""46451.jpg""",1
" ""46450.jpg""",1
" ""46449.jpg""",1
" ""46448.jpg""",1
" ""46447.jpg""",1
" ""46444.jpg""",1
" ""46443.jpg""",1
" ""46442.jpg""",1
" ""46440.jpg""",1
" ""46439.jpg""",1
" ""46437.jpg""",1
" ""46459.jpg""",1
" ""46434.jpg""",1
" ""46433.jpg""",1
" ""46432.jpg""",1
" ""46431.jpg""",1
" ""46428.jpg""",1
" ""46427.jpg""",1
" ""46426.jpg""",1
" ""46425.jpg""",1
" ""46424.jpg""",1
" ""46423.jpg""",1
" ""46422.jpg""",1
" ""46420.jpg""",1
" ""46458.jpg""",1
" ""46460.jpg""",1
" ""46492.jpg""",1
" ""46478.jpg""",1
" ""46491.jpg""",1
" ""46490.jpg""",1
" ""46489.jpg""",1
" ""46488.jpg""",1
" ""46487.jpg""",1
" ""46486.jpg""",1
" ""46485.jpg""",1
" ""46483.jpg""",1
" ""46482.jpg""",1
" ""46481.jpg""",1
" ""46480.jpg""",1
" ""46479.jpg""",1
" ""46477.jpg""",1
" ""46461.jpg""",1
" ""46476.jpg""",1
" ""46475.jpg""",1
" ""46474.jpg""",1
" ""46472.jpg""",1
" ""46471.jpg""",1
" ""46470.jpg""",1
" ""46468.jpg""",1
" ""46467.jpg""",1
" ""46466.jpg""",1
" ""46465.jpg""",1
" ""46464.jpg""",1
" ""46463.jpg""",1
" ""45218.jpg""",1
