product_name,total_shared_attributes
" ""15525.jpg""",15
" ""34844.jpg""",15
" ""22255.jpg""",15
" ""53632.jpg""",14
" ""58231.jpg""",14
" ""41213.jpg""",14
" ""5628.jpg""",14
" ""25493.jpg""",14
" ""32830.jpg""",14
" ""59017.jpg""",14
" ""44716.jpg""",14
" ""49824.jpg""",13
" ""24704.jpg""",13
" ""43375.jpg""",13
" ""47453.jpg""",13
" ""18477.jpg""",13
" ""23819.jpg""",13
" ""20946.jpg""",13
" ""32816.jpg""",13
" ""43370.jpg""",13
" ""32832.jpg""",13
" ""32809.jpg""",13
" ""20945.jpg""",13
" ""43009.jpg""",13
" ""33645.jpg""",13
" ""44724.jpg""",13
" ""20940.jpg""",13
" ""40756.jpg""",13
" ""19119.jpg""",13
" ""20798.jpg""",13
" ""17651.jpg""",13
" ""54069.jpg""",13
" ""5411.jpg""",13
" ""43381.jpg""",13
" ""2248.jpg""",13
" ""3629.jpg""",13
" ""32852.jpg""",13
" ""13003.jpg""",13
" ""47448.jpg""",13
" ""11858.jpg""",13
" ""44516.jpg""",13
" ""57940.jpg""",13
" ""6184.jpg""",13
" ""47450.jpg""",13
" ""3822.jpg""",13
" ""32803.jpg""",13
" ""39951.jpg""",13
" ""41877.jpg""",13
" ""36693.jpg""",13
" ""20954.jpg""",13
" ""42691.jpg""",13
" ""46881.jpg""",13
" ""57001.jpg""",13
" ""42694.jpg""",13
" ""19868.jpg""",13
" ""17734.jpg""",13
" ""43300.jpg""",13
" ""19866.jpg""",13
" ""24630.jpg""",13
" ""21184.jpg""",13
" ""2552.jpg""",13
" ""29121.jpg""",13
" ""24632.jpg""",13
" ""33860.jpg""",13
" ""47087.jpg""",13
" ""18910.jpg""",13
" ""41215.jpg""",13
" ""19123.jpg""",13
" ""20950.jpg""",13
" ""32185.jpg""",13
" ""15384.jpg""",13
" ""46846.jpg""",13
" ""21187.jpg""",13
" ""5603.jpg""",13
" ""33861.jpg""",13
" ""40286.jpg""",13
" ""15710.jpg""",13
" ""3509.jpg""",13
" ""49622.jpg""",13
" ""20951.jpg""",13
" ""40287.jpg""",13
" ""46861.jpg""",13
" ""49830.jpg""",13
" ""17648.jpg""",13
" ""21186.jpg""",13
" ""3620.jpg""",13
" ""2215.jpg""",13
" ""17030.jpg""",13
" ""10753.jpg""",13
" ""17031.jpg""",13
" ""10757.jpg""",13
" ""35798.jpg""",13
" ""40753.jpg""",13
" ""42011.jpg""",13
" ""15849.jpg""",13
" ""49810.jpg""",13
" ""15252.jpg""",13
" ""5273.jpg""",13
" ""41940.jpg""",13
" ""39822.jpg""",13
" ""40777.jpg""",13
" ""23890.jpg""",13
" ""44202.jpg""",13
" ""2634.jpg""",13
" ""56856.jpg""",13
" ""10748.jpg""",13
" ""46103.jpg""",13
" ""47570.jpg""",13
" ""28316.jpg""",13
" ""44188.jpg""",13
" ""15902.jpg""",13
" ""41945.jpg""",13
" ""44193.jpg""",13
" ""4630.jpg""",13
" ""6457.jpg""",13
" ""46111.jpg""",13
" ""2545.jpg""",13
" ""40758.jpg""",13
" ""17024.jpg""",13
" ""44618.jpg""",13
" ""46109.jpg""",13
" ""6464.jpg""",13
" ""56724.jpg""",13
" ""25449.jpg""",13
" ""13536.jpg""",13
" ""44200.jpg""",13
" ""49812.jpg""",13
" ""42037.jpg""",13
" ""13480.jpg""",13
" ""24106.jpg""",13
" ""44215.jpg""",13
" ""10157.jpg""",13
" ""23867.jpg""",13
" ""17646.jpg""",13
" ""49815.jpg""",13
" ""53445.jpg""",13
" ""44210.jpg""",13
" ""24112.jpg""",13
" ""2546.jpg""",13
" ""22254.jpg""",13
" ""18495.jpg""",13
" ""44239.jpg""",13
" ""19126.jpg""",13
" ""12820.jpg""",13
" ""47613.jpg""",13
" ""35521.jpg""",13
" ""6143.jpg""",12
" ""29234.jpg""",12
" ""56924.jpg""",12
" ""29225.jpg""",12
" ""16734.jpg""",12
" ""5709.jpg""",12
" ""13474.jpg""",12
" ""44619.jpg""",12
" ""6318.jpg""",12
" ""24481.jpg""",12
" ""23850.jpg""",12
" ""44517.jpg""",12
" ""6145.jpg""",12
" ""46958.jpg""",12
" ""16733.jpg""",12
" ""10743.jpg""",12
" ""44824.jpg""",12
" ""5296.jpg""",12
" ""14377.jpg""",12
" ""39281.jpg""",12
" ""47576.jpg""",12
" ""16983.jpg""",12
" ""16978.jpg""",12
" ""35635.jpg""",12
" ""53439.jpg""",12
" ""47616.jpg""",12
" ""47614.jpg""",12
" ""22275.jpg""",12
" ""56930.jpg""",12
" ""6167.jpg""",12
" ""15074.jpg""",12
" ""23832.jpg""",12
" ""35661.jpg""",12
" ""6187.jpg""",12
" ""49826.jpg""",12
" ""10740.jpg""",12
" ""13481.jpg""",12
" ""33858.jpg""",12
" ""53878.jpg""",12
" ""15311.jpg""",12
" ""56905.jpg""",12
" ""16118.jpg""",12
" ""14305.jpg""",12
" ""5665.jpg""",12
" ""44205.jpg""",12
" ""44209.jpg""",12
" ""44212.jpg""",12
" ""44213.jpg""",12
" ""26673.jpg""",12
" ""35703.jpg""",12
" ""44216.jpg""",12
" ""54136.jpg""",12
" ""56414.jpg""",12
" ""35537.jpg""",12
" ""16174.jpg""",12
" ""30246.jpg""",12
" ""35162.jpg""",12
" ""39871.jpg""",12
" ""19129.jpg""",12
" ""23298.jpg""",12
" ""57857.jpg""",12
" ""16119.jpg""",12
" ""44201.jpg""",12
" ""47594.jpg""",12
" ""15253.jpg""",12
" ""53132.jpg""",12
" ""54119.jpg""",12
" ""40751.jpg""",12
" ""49833.jpg""",12
" ""39546.jpg""",12
" ""21470.jpg""",12
" ""2213.jpg""",12
" ""35471.jpg""",12
" ""8245.jpg""",12
" ""15861.jpg""",12
" ""56857.jpg""",12
" ""12488.jpg""",12
" ""45404.jpg""",12
" ""25454.jpg""",12
" ""33107.jpg""",12
" ""47546.jpg""",12
" ""23127.jpg""",12
" ""35422.jpg""",12
" ""17837.jpg""",12
" ""19122.jpg""",12
" ""34860.jpg""",12
" ""21185.jpg""",12
" ""33650.jpg""",12
" ""33655.jpg""",12
" ""46859.jpg""",12
" ""33661.jpg""",12
" ""45386.jpg""",12
" ""59052.jpg""",12
" ""22882.jpg""",12
" ""41735.jpg""",12
" ""45382.jpg""",12
" ""45816.jpg""",12
" ""11506.jpg""",12
" ""11504.jpg""",12
" ""3636.jpg""",12
" ""35405.jpg""",12
" ""20953.jpg""",12
" ""56889.jpg""",12
" ""47626.jpg""",12
" ""43298.jpg""",12
" ""45378.jpg""",12
" ""7812.jpg""",12
" ""19035.jpg""",12
" ""53724.jpg""",12
" ""43382.jpg""",12
" ""59147.jpg""",12
" ""32857.jpg""",12
" ""47447.jpg""",12
" ""32854.jpg""",12
" ""22537.jpg""",12
" ""11856.jpg""",12
" ""11854.jpg""",12
" ""6414.jpg""",12
