product_name,total_shared_attributes
" ""26882.jpg""",29
" ""35441.jpg""",29
" ""57816.jpg""",29
" ""34012.jpg""",29
" ""16534.jpg""",29
" ""12838.jpg""",28
" ""37600.jpg""",28
" ""32981.jpg""",28
" ""53432.jpg""",28
" ""4804.jpg""",28
" ""35879.jpg""",28
" ""3703.jpg""",28
" ""50715.jpg""",28
" ""3208.jpg""",28
" ""5156.jpg""",28
" ""21410.jpg""",28
" ""36311.jpg""",28
" ""3867.jpg""",28
" ""1912.jpg""",28
" ""11654.jpg""",28
" ""38282.jpg""",28
" ""13291.jpg""",28
" ""44693.jpg""",28
" ""36733.jpg""",28
" ""3054.jpg""",28
" ""8199.jpg""",28
" ""7647.jpg""",28
" ""15527.jpg""",27
" ""3937.jpg""",27
" ""35874.jpg""",27
" ""55274.jpg""",27
" ""6485.jpg""",27
" ""33266.jpg""",27
" ""12653.jpg""",27
" ""2701.jpg""",27
" ""2280.jpg""",27
" ""16212.jpg""",27
" ""26904.jpg""",27
" ""43683.jpg""",27
" ""22613.jpg""",27
" ""8382.jpg""",27
" ""22339.jpg""",27
" ""28672.jpg""",27
" ""22217.jpg""",27
" ""3936.jpg""",27
" ""45969.jpg""",27
" ""4898.jpg""",27
" ""50703.jpg""",27
" ""44834.jpg""",27
" ""28563.jpg""",27
" ""7152.jpg""",27
" ""34595.jpg""",27
" ""52117.jpg""",27
" ""3416.jpg""",27
" ""9790.jpg""",27
" ""29170.jpg""",27
" ""37590.jpg""",27
" ""35892.jpg""",27
" ""16135.jpg""",27
" ""14585.jpg""",27
" ""3885.jpg""",27
" ""57703.jpg""",27
" ""38946.jpg""",27
" ""12577.jpg""",27
" ""36312.jpg""",27
" ""33761.jpg""",27
" ""3015.jpg""",27
" ""26948.jpg""",27
" ""12579.jpg""",26
" ""4210.jpg""",26
" ""43063.jpg""",26
" ""10678.jpg""",26
" ""Fabindia_Adults-Women_Women_Maroon_Fashion_Summer_2012_Ethnic_To-Fit_Denotes_Body_Measurements_in_Le_2""",26
" ""17808.jpg""",26
" ""16139.jpg""",26
" ""46392.jpg""",26
" ""36321.jpg""",26
" ""13338.jpg""",26
" ""9333.jpg""",26
