product_name,total_shared_attributes
" ""29039.jpg""",33
" ""18843.jpg""",33
" ""36559.jpg""",33
" ""10670.jpg""",33
" ""3098.jpg""",33
" ""42164.jpg""",33
" ""46410.jpg""",33
" ""9935.jpg""",33
" ""42107.jpg""",33
" ""3874.jpg""",33
" ""16427.jpg""",33
" ""12556.jpg""",33
" ""1890.jpg""",32
" ""2012.jpg""",32
" ""6181.jpg""",31
" ""44225.jpg""",31
" ""20250.jpg""",31
" ""3060.jpg""",30
" ""31255.jpg""",30
" ""3884.jpg""",30
" ""38808.jpg""",30
" ""52072.jpg""",30
" ""3751.jpg""",30
" ""3517.jpg""",30
" ""10455.jpg""",29
" ""22318.jpg""",29
" ""16428.jpg""",29
" ""10410.jpg""",29
" ""12560.jpg""",29
" ""28997.jpg""",29
" ""4260.jpg""",29
" ""2788.jpg""",29
" ""16629.jpg""",29
" ""11765.jpg""",29
" ""27356.jpg""",29
" ""19803.jpg""",29
" ""3722.jpg""",29
" ""2700.jpg""",29
" ""6225.jpg""",29
" ""5157.jpg""",29
" ""5556.jpg""",29
" ""6757.jpg""",29
" ""20297.jpg""",29
" ""5664.jpg""",29
" ""5850.jpg""",29
" ""25546.jpg""",29
" ""25366.jpg""",29
" ""23175.jpg""",29
" ""48430.jpg""",29
" ""3873.jpg""",29
" ""10472.jpg""",29
" ""Puma_Adults-Men_Men_Blue_Fashion_Fall_2011_Sports_Regular_Fit_Printed_Garment_Measurements_in_Short__2""",29
" ""44636.jpg""",29
" ""14910.jpg""",29
" ""34365.jpg""",29
" ""8557.jpg""",29
" ""4375.jpg""",29
" ""31281.jpg""",29
" ""31272.jpg""",29
" ""7934.jpg""",29
" ""7888.jpg""",29
" ""15577.jpg""",29
" ""40383.jpg""",29
" ""3055.jpg""",29
" ""7763.jpg""",29
" ""16288.jpg""",29
" ""7285.jpg""",29
" ""30355.jpg""",29
" ""11269.jpg""",29
" ""30319.jpg""",29
" ""24016.jpg""",27
" ""22368.jpg""",27
" ""35271.jpg""",27
" ""44903.jpg""",27
" ""3356.jpg""",27
" ""45531.jpg""",27
" ""3350.jpg""",27
" ""11254.jpg""",27
" ""37632.jpg""",27
" ""56236.jpg""",27
