product_name,total_shared_attributes
" ""56395.jpg""",7
" ""37907.jpg""",7
" ""44133.jpg""",7
" ""37902.jpg""",7
" ""46792.jpg""",7
" ""43962.jpg""",7
" ""25978.jpg""",7
" ""46938.jpg""",7
" ""23605.jpg""",6
" ""43972.jpg""",6
" ""45762.jpg""",6
" ""45710.jpg""",6
" ""55338.jpg""",6
" ""32539.jpg""",6
" ""44031.jpg""",6
" ""45698.jpg""",6
" ""22652.jpg""",6
" ""45692.jpg""",6
" ""41901.jpg""",6
" ""18813.jpg""",6
" ""52316.jpg""",6
" ""54488.jpg""",6
" ""23529.jpg""",6
" ""23537.jpg""",6
" ""44073.jpg""",6
" ""52635.jpg""",6
" ""44075.jpg""",6
" ""8879.jpg""",6
" ""23559.jpg""",6
" ""43107.jpg""",6
" ""44081.jpg""",6
" ""28591.jpg""",6
" ""23564.jpg""",6
" ""54064.jpg""",6
" ""44107.jpg""",6
" ""44083.jpg""",6
" ""43996.jpg""",6
" ""43994.jpg""",6
" ""44100.jpg""",6
" ""45765.jpg""",6
" ""44051.jpg""",6
" ""25799.jpg""",6
" ""25991.jpg""",6
" ""38447.jpg""",6
" ""36926.jpg""",6
" ""46690.jpg""",6
" ""26212.jpg""",6
" ""46681.jpg""",6
" ""46680.jpg""",6
" ""58944.jpg""",6
" ""46674.jpg""",6
" ""46671.jpg""",6
" ""37228.jpg""",6
" ""47868.jpg""",6
" ""46292.jpg""",6
" ""25987.jpg""",5
" ""4972.jpg""",5
" ""4973.jpg""",5
" ""52582.jpg""",5
" ""52575.jpg""",5
" ""25995.jpg""",5
" ""52574.jpg""",5
" ""49326.jpg""",5
" ""49144.jpg""",5
" ""49143.jpg""",5
" ""49141.jpg""",5
" ""49786.jpg""",5
" ""14865.jpg""",5
" ""14856.jpg""",5
" ""51911.jpg""",5
" ""25125.jpg""",5
" ""50432.jpg""",5
" ""25376.jpg""",5
" ""14905.jpg""",5
" ""50334.jpg""",5
" ""25112.jpg""",5
" ""52210.jpg""",5
" ""25882.jpg""",5
" ""24501.jpg""",5
" ""50315.jpg""",5
" ""52570.jpg""",5
" ""50221.jpg""",5
" ""25156.jpg""",5
" ""49914.jpg""",5
" ""51079.jpg""",5
" ""23567.jpg""",5
" ""24359.jpg""",5
" ""58276.jpg""",5
" ""56691.jpg""",5
" ""56820.jpg""",5
" ""21543.jpg""",5
" ""57034.jpg""",5
" ""21538.jpg""",5
" ""57549.jpg""",5
" ""57608.jpg""",5
" ""58115.jpg""",5
" ""58169.jpg""",5
" ""58195.jpg""",5
" ""58259.jpg""",5
" ""58275.jpg""",5
" ""20590.jpg""",5
" ""21997.jpg""",5
" ""58453.jpg""",5
" ""58622.jpg""",5
" ""58643.jpg""",5
" ""20462.jpg""",5
" ""58945.jpg""",5
" ""58982.jpg""",5
" ""20169.jpg""",5
" ""10716.jpg""",5
" ""20135.jpg""",5
" ""59374.jpg""",5
" ""59565.jpg""",5
" ""59826.jpg""",5
" ""21971.jpg""",5
" ""56390.jpg""",5
" ""24356.jpg""",5
" ""5505.jpg""",5
" ""52692.jpg""",5
" ""52813.jpg""",5
" ""53071.jpg""",5
" ""53669.jpg""",5
" ""23574.jpg""",5
" ""2658.jpg""",5
" ""15141.jpg""",5
" ""23542.jpg""",5
" ""54402.jpg""",5
" ""23114.jpg""",5
" ""23100.jpg""",5
" ""55037.jpg""",5
" ""55097.jpg""",5
" ""11055.jpg""",5
" ""55263.jpg""",5
" ""22655.jpg""",5
" ""55292.jpg""",5
" ""55443.jpg""",5
" ""55450.jpg""",5
" ""55458.jpg""",5
" ""55504.jpg""",5
" ""55509.jpg""",5
" ""2229.jpg""",5
" ""56063.jpg""",5
" ""56078.jpg""",5
" ""56105.jpg""",5
" ""2650.jpg""",5
" ""46770.jpg""",5
" ""4843.jpg""",5
" ""40198.jpg""",5
" ""33463.jpg""",5
" ""3934.jpg""",5
" ""33414.jpg""",5
" ""33408.jpg""",5
" ""39448.jpg""",5
" ""33371.jpg""",5
" ""39481.jpg""",5
" ""39927.jpg""",5
" ""40037.jpg""",5
" ""33082.jpg""",5
" ""40143.jpg""",5
" ""32685.jpg""",5
" ""48138.jpg""",5
" ""32544.jpg""",5
" ""32541.jpg""",5
" ""41023.jpg""",5
" ""32368.jpg""",5
" ""41252.jpg""",5
" ""42049.jpg""",5
" ""12498.jpg""",5
" ""31196.jpg""",5
" ""31142.jpg""",5
" ""31049.jpg""",5
" ""42852.jpg""",5
" ""33940.jpg""",5
" ""12840.jpg""",5
" ""34042.jpg""",5
" ""3406.jpg""",5
" ""36696.jpg""",5
" ""36705.jpg""",5
" ""36706.jpg""",5
" ""36707.jpg""",5
" ""36710.jpg""",5
" ""36272.jpg""",5
" ""36931.jpg""",5
" ""36059.jpg""",5
" ""36053.jpg""",5
" ""35989.jpg""",5
" ""37221.jpg""",5
" ""37230.jpg""",5
" ""35913.jpg""",5
" ""13177.jpg""",5
" ""13414.jpg""",5
" ""37715.jpg""",5
" ""34463.jpg""",5
" ""37800.jpg""",5
" ""37808.jpg""",5
" ""37904.jpg""",5
" ""37909.jpg""",5
" ""38086.jpg""",5
" ""38376.jpg""",5
" ""42865.jpg""",5
" ""30992.jpg""",5
" ""30983.jpg""",5
" ""45771.jpg""",5
" ""12017.jpg""",5
" ""46239.jpg""",5
" ""46301.jpg""",5
" ""46653.jpg""",5
" ""46676.jpg""",5
" ""46705.jpg""",5
" ""28218.jpg""",5
" ""6016.jpg""",5
" ""46775.jpg""",5
" ""46777.jpg""",5
" ""46783.jpg""",5
" ""46789.jpg""",5
" ""46940.jpg""",5
" ""46945.jpg""",5
" ""27741.jpg""",5
" ""47332.jpg""",5
" ""47368.jpg""",5
" ""47377.jpg""",5
" ""47420.jpg""",5
" ""27331.jpg""",5
" ""27330.jpg""",5
" ""47689.jpg""",5
" ""47956.jpg""",5
" ""45774.jpg""",5
" ""44907.jpg""",5
" ""30976.jpg""",5
" ""29193.jpg""",5
" ""12367.jpg""",5
" ""42963.jpg""",5
" ""43116.jpg""",5
" ""30793.jpg""",5
" ""30212.jpg""",5
" ""43960.jpg""",5
" ""43971.jpg""",5
" ""43990.jpg""",5
" ""29740.jpg""",5
" ""29727.jpg""",5
" ""44024.jpg""",5
" ""44025.jpg""",5
" ""44026.jpg""",5
" ""44030.jpg""",5
" ""44054.jpg""",5
" ""44055.jpg""",5
" ""44093.jpg""",5
" ""44132.jpg""",5
" ""44143.jpg""",5
" ""44144.jpg""",5
" ""44158.jpg""",5
" ""44173.jpg""",5
" ""44251.jpg""",5
" ""59838.jpg""",5
" ""49067.jpg""",5
" ""7284.jpg""",5
" ""8811.jpg""",5
" ""9805.jpg""",5
" ""16121.jpg""",5
" ""17774.jpg""",5
" ""18276.jpg""",5
" ""19732.jpg""",5
" ""19390.jpg""",5
" ""16458.jpg""",5
" ""7146.jpg""",5
" ""9536.jpg""",5
" ""17779.jpg""",5
" ""18443.jpg""",5
" ""19663.jpg""",5
" ""10440.jpg""",5
" ""16459.jpg""",5
" ""18804.jpg""",5
" ""18030.jpg""",5
" ""15981.jpg""",5
" ""18568.jpg""",5
" ""9094.jpg""",5
" ""18036.jpg""",5
" ""17088.jpg""",5
" ""9709.jpg""",5
" ""8147.jpg""",5
" ""17184.jpg""",5
" ""17072.jpg""",4
" ""30787.jpg""",4
" ""17123.jpg""",4
" ""17136.jpg""",4
" ""30794.jpg""",4
" ""3077.jpg""",4
" ""17132.jpg""",4
" ""30769.jpg""",4
" ""30795.jpg""",4
" ""30768.jpg""",4
" ""30895.jpg""",4
" ""30797.jpg""",4
