product_name,total_shared_attributes
" ""33047.jpg""",33
" ""22072.jpg""",32
" ""22036.jpg""",31
" ""24388.jpg""",31
" ""59918.jpg""",31
" ""59920.jpg""",31
" ""59060.jpg""",31
" ""23226.jpg""",31
" ""24506.jpg""",31
" ""46281.jpg""",31
" ""42518.jpg""",30
" ""59372.jpg""",30
" ""45723.jpg""",30
" ""20096.jpg""",30
" ""53841.jpg""",30
" ""28877.jpg""",30
" ""28938.jpg""",30
" ""24153.jpg""",30
" ""11557.jpg""",30
" ""26935.jpg""",30
" ""59926.jpg""",30
" ""22071.jpg""",30
" ""22766.jpg""",30
" ""21896.jpg""",30
" ""20118.jpg""",30
" ""42642.jpg""",29
" ""36503.jpg""",29
" ""24159.jpg""",29
" ""28750.jpg""",29
" ""18172.jpg""",29
" ""45837.jpg""",29
" ""20105.jpg""",29
" ""53842.jpg""",29
" ""45856.jpg""",29
" ""19088.jpg""",29
" ""28937.jpg""",29
" ""28957.jpg""",29
" ""11564.jpg""",29
" ""14535.jpg""",29
" ""53388.jpg""",29
" ""54571.jpg""",29
" ""59059.jpg""",29
" ""22778.jpg""",29
" ""19078.jpg""",28
" ""40616.jpg""",28
" ""45845.jpg""",28
" ""46018.jpg""",28
" ""22068.jpg""",28
" ""12061.jpg""",28
" ""20323.jpg""",28
" ""42428.jpg""",28
" ""11814.jpg""",28
" ""28723.jpg""",28
" ""52350.jpg""",28
" ""12099.jpg""",28
" ""59964.jpg""",28
" ""33210.jpg""",28
" ""30847.jpg""",28
" ""39474.jpg""",28
" ""56713.jpg""",28
" ""42534.jpg""",28
" ""28754.jpg""",28
" ""31322.jpg""",28
" ""52110.jpg""",28
" ""50723.jpg""",28
" ""22775.jpg""",28
" ""28871.jpg""",28
" ""53835.jpg""",28
" ""28939.jpg""",28
" ""42648.jpg""",28
" ""20112.jpg""",28
" ""21931.jpg""",28
" ""14542.jpg""",28
" ""45735.jpg""",27
" ""36827.jpg""",27
" ""24369.jpg""",27
" ""22057.jpg""",27
" ""15830.jpg""",27
" ""27279.jpg""",27
" ""19070.jpg""",27
" ""48482.jpg""",27
" ""11595.jpg""",27
" ""28704.jpg""",27
" ""52107.jpg""",27
" ""36828.jpg""",27
" ""33036.jpg""",27
" ""53836.jpg""",27
" ""28716.jpg""",27
" ""42550.jpg""",27
" ""11538.jpg""",27
" ""52397.jpg""",27
" ""31423.jpg""",27
" ""53411.jpg""",27
" ""24557.jpg""",27
" ""52421.jpg""",27
" ""20111.jpg""",27
" ""18278.jpg""",27
" ""12066.jpg""",27
" ""28986.jpg""",27
" ""39460.jpg""",27
" ""24373.jpg""",27
" ""43664.jpg""",27
" ""40578.jpg""",27
" ""59923.jpg""",27
" ""57044.jpg""",27
" ""28688.jpg""",27
" ""18276.jpg""",27
" ""28747.jpg""",26
" ""55814.jpg""",26
" ""28751.jpg""",26
" ""25823.jpg""",26
" ""22752.jpg""",26
" ""22080.jpg""",26
" ""11586.jpg""",26
" ""28737.jpg""",26
" ""40605.jpg""",26
" ""31320.jpg""",26
" ""42544.jpg""",26
" ""47005.jpg""",26
" ""11575.jpg""",26
" ""42211.jpg""",26
" ""53843.jpg""",26
" ""28964.jpg""",26
" ""22020.jpg""",26
" ""11579.jpg""",26
" ""24400.jpg""",26
" ""31318.jpg""",26
" ""19106.jpg""",26
" ""52108.jpg""",26
" ""11583.jpg""",26
" ""12065.jpg""",26
" ""28941.jpg""",26
" ""32269.jpg""",26
" ""58012.jpg""",26
" ""34901.jpg""",26
" ""11786.jpg""",26
" ""24497.jpg""",26
" ""11536.jpg""",26
" ""11802.jpg""",26
" ""52475.jpg""",26
" ""46015.jpg""",26
" ""12779.jpg""",26
" ""59912.jpg""",26
" ""59354.jpg""",26
" ""33222.jpg""",26
" ""11630.jpg""",26
" ""53418.jpg""",26
" ""7413.jpg""",26
" ""33040.jpg""",26
" ""42653.jpg""",26
" ""54685.jpg""",26
" ""11616.jpg""",26
" ""57203.jpg""",26
" ""58678.jpg""",26
" ""49767.jpg""",26
" ""52502.jpg""",26
" ""12778.jpg""",26
" ""36296.jpg""",26
" ""14550.jpg""",26
" ""27225.jpg""",26
" ""19076.jpg""",26
" ""42686.jpg""",26
" ""21917.jpg""",26
" ""40655.jpg""",26
" ""45751.jpg""",26
" ""32233.jpg""",26
" ""24395.jpg""",26
" ""45832.jpg""",26
" ""22776.jpg""",26
" ""19079.jpg""",26
" ""31697.jpg""",26
" ""15077.jpg""",26
" ""22021.jpg""",25
" ""59949.jpg""",25
" ""39140.jpg""",25
" ""56709.jpg""",25
" ""12610.jpg""",25
" ""39462.jpg""",25
" ""24389.jpg""",25
" ""36500.jpg""",25
" ""11813.jpg""",25
" ""30853.jpg""",25
" ""39457.jpg""",25
" ""54716.jpg""",25
" ""18735.jpg""",25
" ""40648.jpg""",25
" ""7423.jpg""",25
" ""24384.jpg""",25
" ""11790.jpg""",25
" ""22024.jpg""",25
" ""12093.jpg""",25
" ""56711.jpg""",25
" ""40662.jpg""",25
" ""24537.jpg""",25
" ""49776.jpg""",25
" ""53815.jpg""",25
" ""14200.jpg""",25
" ""45725.jpg""",25
" ""27196.jpg""",25
" ""28705.jpg""",25
" ""28703.jpg""",25
" ""52402.jpg""",25
" ""28700.jpg""",25
" ""37929.jpg""",25
" ""49770.jpg""",25
" ""12734.jpg""",25
" ""46216.jpg""",25
