product_name,total_shared_attributes
" ""13380.jpg""",25
" ""30808.jpg""",25
" ""16516.jpg""",24
" ""16615.jpg""",24
" ""50672.jpg""",24
" ""44629.jpg""",24
" ""11128.jpg""",24
" ""8760.jpg""",24
" ""15686.jpg""",24
" ""48495.jpg""",23
" ""43917.jpg""",23
" ""48393.jpg""",22
" ""10261.jpg""",22
" ""44586.jpg""",22
" ""29849.jpg""",22
" ""29402.jpg""",21
" ""36993.jpg""",21
" ""9166.jpg""",21
" ""27181.jpg""",21
" ""46894.jpg""",21
" ""31668.jpg""",21
" ""27903.jpg""",21
" ""33958.jpg""",21
" ""50954.jpg""",21
" ""51986.jpg""",21
" ""53745.jpg""",21
" ""24773.jpg""",21
" ""15338.jpg""",21
" ""27012.jpg""",21
" ""28461.jpg""",21
" ""11312.jpg""",21
" ""4826.jpg""",21
" ""14714.jpg""",21
" ""44932.jpg""",21
" ""58562.jpg""",21
" ""34205.jpg""",21
" ""11245.jpg""",20
" ""12753.jpg""",20
" ""29780.jpg""",20
" ""27904.jpg""",20
" ""37202.jpg""",20
" ""46414.jpg""",20
" ""7137.jpg""",20
" ""16382.jpg""",20
" ""26809.jpg""",20
" ""13245.jpg""",20
" ""12223.jpg""",20
" ""51978.jpg""",20
" ""13247.jpg""",20
" ""7179.jpg""",20
" ""39381.jpg""",20
" ""39337.jpg""",20
" ""19419.jpg""",20
" ""42265.jpg""",20
" ""23302.jpg""",20
" ""7133.jpg""",20
" ""39809.jpg""",20
" ""23453.jpg""",20
" ""42348.jpg""",20
" ""18198.jpg""",20
" ""44288.jpg""",20
" ""32427.jpg""",20
" ""22409.jpg""",20
" ""11247.jpg""",20
" ""29779.jpg""",20
" ""13228.jpg""",20
" ""8903.jpg""",20
" ""44290.jpg""",20
" ""23303.jpg""",20
" ""4774.jpg""",20
" ""16226.jpg""",20
" ""26818.jpg""",20
" ""49758.jpg""",20
" ""11244.jpg""",20
" ""11099.jpg""",20
" ""44663.jpg""",20
" ""39327.jpg""",20
" ""57218.jpg""",20
" ""50021.jpg""",20
" ""9083.jpg""",20
" ""9077.jpg""",20
" ""39103.jpg""",20
" ""3909.jpg""",20
" ""28640.jpg""",20
" ""10714.jpg""",20
" ""26157.jpg""",20
" ""10719.jpg""",20
" ""51502.jpg""",20
" ""26159.jpg""",20
" ""28626.jpg""",20
" ""28522.jpg""",20
" ""15684.jpg""",20
" ""51582.jpg""",20
" ""57140.jpg""",20
" ""33147.jpg""",20
" ""54923.jpg""",20
" ""58210.jpg""",20
" ""51616.jpg""",20
" ""54050.jpg""",20
" ""43082.jpg""",20
" ""33283.jpg""",20
" ""16801.jpg""",20
" ""26255.jpg""",20
" ""51606.jpg""",20
" ""51475.jpg""",20
" ""16611.jpg""",20
" ""46745.jpg""",20
" ""32561.jpg""",20
" ""53740.jpg""",20
" ""37406.jpg""",20
" ""46746.jpg""",20
" ""46747.jpg""",20
" ""40074.jpg""",20
" ""27921.jpg""",20
" ""2590.jpg""",20
" ""8949.jpg""",20
