product_name,total_shared_attributes
" ""29238.jpg""",17
" ""3300.jpg""",17
" ""6620.jpg""",17
" ""36438.jpg""",17
" ""12692.jpg""",17
" ""41208.jpg""",17
" ""3466.jpg""",16
" ""30233.jpg""",16
" ""5569.jpg""",16
" ""25585.jpg""",16
" ""38656.jpg""",16
" ""8215.jpg""",16
" ""25569.jpg""",16
" ""17834.jpg""",16
" ""5366.jpg""",16
" ""4546.jpg""",16
" ""23863.jpg""",16
" ""41232.jpg""",16
" ""23852.jpg""",16
" ""28661.jpg""",16
" ""3458.jpg""",16
" ""13906.jpg""",16
" ""28655.jpg""",16
" ""5532.jpg""",16
" ""5397.jpg""",16
" ""13681.jpg""",16
" ""5374.jpg""",15
" ""32939.jpg""",15
" ""2965.jpg""",15
" ""4108.jpg""",15
" ""39341.jpg""",15
" ""10122.jpg""",15
" ""5730.jpg""",15
" ""11981.jpg""",15
" ""36447.jpg""",15
" ""32178.jpg""",15
" ""28605.jpg""",15
" ""12954.jpg""",15
" ""26620.jpg""",15
" ""29244.jpg""",15
" ""15867.jpg""",15
" ""13676.jpg""",15
" ""44228.jpg""",15
" ""35641.jpg""",15
" ""42145.jpg""",15
" ""3299.jpg""",15
" ""38525.jpg""",15
" ""40472.jpg""",15
" ""54072.jpg""",15
" ""28659.jpg""",15
" ""5534.jpg""",15
" ""9497.jpg""",15
" ""43335.jpg""",15
" ""43240.jpg""",15
" ""3367.jpg""",15
" ""18665.jpg""",15
" ""6675.jpg""",15
" ""36219.jpg""",15
" ""43349.jpg""",15
" ""33838.jpg""",15
" ""43350.jpg""",15
" ""12712.jpg""",15
" ""36136.jpg""",15
" ""36141.jpg""",15
" ""5737.jpg""",15
" ""3182.jpg""",14
" ""35423.jpg""",14
" ""13703.jpg""",14
" ""23941.jpg""",14
" ""43372.jpg""",14
" ""5620.jpg""",14
" ""40321.jpg""",14
" ""31956.jpg""",14
" ""15719.jpg""",14
" ""6639.jpg""",14
" ""34850.jpg""",14
