product_name,total_shared_attributes
" ""18415.jpg""",6
" ""5698.jpg""",5
" ""22825.jpg""",5
" ""42034.jpg""",5
" ""3570.jpg""",5
" ""54733.jpg""",5
" ""22190.jpg""",5
" ""19030.jpg""",5
" ""44473.jpg""",5
" ""23917.jpg""",5
" ""44738.jpg""",5
" ""22865.jpg""",4
" ""2825.jpg""",4
" ""13359.jpg""",4
" ""35653.jpg""",4
" ""22122.jpg""",4
" ""2505.jpg""",4
" ""23878.jpg""",4
" ""30260.jpg""",4
" ""31970.jpg""",4
" ""22855.jpg""",4
" ""33685.jpg""",4
" ""22853.jpg""",4
" ""33848.jpg""",4
" ""2474.jpg""",4
" ""12516.jpg""",4
" ""47194.jpg""",4
" ""19349.jpg""",4
" ""2541.jpg""",4
" ""34080.jpg""",4
" ""22847.jpg""",4
" ""26538.jpg""",4
" ""2394.jpg""",4
" ""12513.jpg""",4
" ""26633.jpg""",4
" ""13186.jpg""",4
" ""1730.jpg""",4
" ""9704.jpg""",4
" ""2869.jpg""",4
" ""13123.jpg""",4
" ""12724.jpg""",4
" ""39637.jpg""",4
" ""35407.jpg""",4
" ""47123.jpg""",4
" ""7221.jpg""",4
" ""6499.jpg""",4
" ""24637.jpg""",4
" ""44756.jpg""",4
" ""3647.jpg""",4
" ""9392.jpg""",4
" ""9010.jpg""",4
" ""57516.jpg""",4
" ""45591.jpg""",4
" ""10104.jpg""",4
" ""34736.jpg""",4
" ""4266.jpg""",4
" ""47214.jpg""",4
" ""33354.jpg""",4
" ""2822.jpg""",4
" ""17833.jpg""",4
" ""23338.jpg""",4
" ""7244.jpg""",4
" ""9702.jpg""",4
" ""20683.jpg""",4
" ""20714.jpg""",4
" ""3635.jpg""",4
" ""3802.jpg""",4
" ""32938.jpg""",4
" ""12427.jpg""",4
" ""26612.jpg""",3
" ""1806.jpg""",3
" ""3670.jpg""",3
" ""25652.jpg""",3
" ""24691.jpg""",3
" ""12854.jpg""",3
" ""24680.jpg""",3
" ""5712.jpg""",3
" ""17977.jpg""",3
" ""12706.jpg""",3
" ""12692.jpg""",3
" ""47180.jpg""",3
" ""44418.jpg""",3
" ""40321.jpg""",3
" ""26620.jpg""",3
" ""13136.jpg""",3
" ""42994.jpg""",3
" ""3182.jpg""",3
" ""8307.jpg""",3
" ""5726.jpg""",3
" ""5727.jpg""",3
" ""20709.jpg""",3
" ""31686.jpg""",3
" ""28604.jpg""",3
" ""35419.jpg""",3
" ""24805.jpg""",3
" ""20675.jpg""",3
" ""11967.jpg""",3
" ""20815.jpg""",3
" ""36477.jpg""",3
" ""11949.jpg""",3
" ""47110.jpg""",3
" ""57491.jpg""",3
" ""57496.jpg""",3
" ""20682.jpg""",3
" ""8236.jpg""",3
" ""42989.jpg""",3
" ""3367.jpg""",3
" ""23682.jpg""",3
" ""35248.jpg""",3
" ""33709.jpg""",3
