product_name,total_shared_attributes
" ""44636.jpg""",21
" ""9962.jpg""",20
" ""4388.jpg""",20
" ""38282.jpg""",20
" ""10341.jpg""",19
" ""26362.jpg""",19
" ""2012.jpg""",19
" ""6538.jpg""",19
" ""20250.jpg""",19
" ""9952.jpg""",19
" ""15473.jpg""",19
" ""34185.jpg""",19
" ""37569.jpg""",19
" ""2048.jpg""",19
" ""17251.jpg""",19
" ""56227.jpg""",19
" ""48401.jpg""",19
" ""8012.jpg""",19
" ""7957.jpg""",19
" ""12225.jpg""",19
" ""22368.jpg""",19
" ""49940.jpg""",19
" ""44311.jpg""",18
" ""31298.jpg""",18
" ""17627.jpg""",18
" ""14072.jpg""",18
" ""16430.jpg""",18
" ""8588.jpg""",18
" ""31574.jpg""",18
" ""3433.jpg""",18
" ""43102.jpg""",18
" ""16135.jpg""",18
" ""36247.jpg""",18
" ""29039.jpg""",18
" ""7647.jpg""",18
" ""10845.jpg""",18
" ""24343.jpg""",18
" ""53432.jpg""",18
" ""9480.jpg""",18
" ""19629.jpg""",18
" ""3703.jpg""",18
" ""36733.jpg""",18
" ""5145.jpg""",18
" ""57163.jpg""",18
" ""3110.jpg""",18
" ""51616.jpg""",18
" ""34016.jpg""",18
" ""13399.jpg""",18
" ""8382.jpg""",18
" ""36321.jpg""",18
" ""44693.jpg""",18
" ""36312.jpg""",18
" ""19170.jpg""",18
" ""39315.jpg""",18
" ""36311.jpg""",18
" ""50194.jpg""",18
" ""5662.jpg""",18
" ""3728.jpg""",18
" ""1912.jpg""",18
" ""18634.jpg""",18
" ""8879.jpg""",18
" ""9929.jpg""",18
" ""37731.jpg""",18
" ""4232.jpg""",18
" ""8199.jpg""",18
" ""32569.jpg""",18
" ""35879.jpg""",18
" ""46392.jpg""",18
" ""41598.jpg""",18
" ""40975.jpg""",18
" ""50715.jpg""",18
" ""27370.jpg""",18
" ""11533.jpg""",18
" ""4881.jpg""",18
" ""27356.jpg""",18
" ""32981.jpg""",18
" ""37588.jpg""",18
" ""12838.jpg""",18
" ""35997.jpg""",18
" ""4979.jpg""",18
" ""27971.jpg""",18
" ""48403.jpg""",18
" ""46684.jpg""",18
" ""40383.jpg""",18
" ""4091.jpg""",18
" ""10833.jpg""",17
" ""22380.jpg""",17
" ""12195.jpg""",17
" ""56688.jpg""",17
" ""22351.jpg""",17
" ""7171.jpg""",17
" ""17268.jpg""",17
" ""53803.jpg""",17
" ""13752.jpg""",17
" ""13774.jpg""",17
" ""31023.jpg""",17
" ""44586.jpg""",17
" ""6918.jpg""",17
" ""17233.jpg""",17
" ""31020.jpg""",17
" ""30803.jpg""",17
" ""10817.jpg""",17
" ""14296.jpg""",17
" ""22200.jpg""",17
" ""56240.jpg""",17
" ""56704.jpg""",17
" ""12172.jpg""",17
" ""21404.jpg""",17
" ""45531.jpg""",17
" ""44879.jpg""",17
" ""12175.jpg""",17
" ""2132.jpg""",17
" ""10857.jpg""",17
" ""3779.jpg""",17
" ""9644.jpg""",17
" ""31159.jpg""",17
" ""32424.jpg""",17
" ""21226.jpg""",17
" ""32475.jpg""",17
" ""14064.jpg""",17
" ""45969.jpg""",17
" ""17269.jpg""",17
" ""51369.jpg""",17
" ""6939.jpg""",17
" ""12174.jpg""",17
" ""14584.jpg""",17
" ""24950.jpg""",17
" ""27559.jpg""",17
" ""58950.jpg""",17
" ""58394.jpg""",17
" ""58385.jpg""",17
" ""2780.jpg""",17
" ""15973.jpg""",17
" ""27873.jpg""",17
" ""2493.jpg""",17
" ""4226.jpg""",17
" ""16037.jpg""",17
" ""15166.jpg""",17
" ""40270.jpg""",17
" ""24594.jpg""",17
" ""9289.jpg""",17
" ""59797.jpg""",17
" ""28565.jpg""",17
" ""42392.jpg""",17
" ""11383.jpg""",17
" ""6253.jpg""",17
" ""58796.jpg""",17
" ""26949.jpg""",17
" ""26472.jpg""",17
" ""11432.jpg""",17
" ""58794.jpg""",17
" ""11424.jpg""",17
" ""41602.jpg""",17
" ""11413.jpg""",17
" ""42171.jpg""",17
" ""2750.jpg""",17
" ""26297.jpg""",17
" ""41597.jpg""",17
" ""41595.jpg""",17
" ""58808.jpg""",17
" ""58511.jpg""",17
" ""2747.jpg""",17
" ""41552.jpg""",17
" ""11711.jpg""",17
" ""28849.jpg""",17
" ""53115.jpg""",17
" ""29838.jpg""",17
" ""14783.jpg""",17
" ""23054.jpg""",17
" ""2305.jpg""",17
" ""43960.jpg""",17
" ""14755.jpg""",17
" ""14745.jpg""",17
" ""16534.jpg""",17
" ""2284.jpg""",17
" ""16234.jpg""",17
" ""22801.jpg""",17
" ""6181.jpg""",17
" ""16628.jpg""",17
" ""16637.jpg""",17
" ""6203.jpg""",17
" ""3867.jpg""",17
" ""30346.jpg""",17
" ""5164.jpg""",17
" ""11996.jpg""",17
" ""16485.jpg""",17
" ""5170.jpg""",17
" ""8825.jpg""",17
" ""16292.jpg""",17
" ""23544.jpg""",17
" ""59962.jpg""",17
" ""57431.jpg""",17
" ""57423.jpg""",17
" ""29288.jpg""",17
" ""16425.jpg""",17
" ""3957.jpg""",17
" ""51860.jpg""",17
" ""16439.jpg""",17
" ""43685.jpg""",17
" ""ADIDAS_Adults-Men_Men_Blue_Fashion_Summer_2012_Casual_Regular_Fit_Printed_Garment_Measurements_in_Sh_3""",17
" ""3939.jpg""",17
" ""4383.jpg""",17
" ""3280.jpg""",17
" ""41979.jpg""",17
" ""32923.jpg""",17
" ""8349.jpg""",17
" ""34220.jpg""",17
" ""4761.jpg""",17
" ""13291.jpg""",17
" ""10369.jpg""",17
" ""4756.jpg""",17
" ""9738.jpg""",17
" ""19804.jpg""",17
" ""34051.jpg""",17
" ""34049.jpg""",17
" ""3686.jpg""",17
" ""13330.jpg""",17
" ""10423.jpg""",17
" ""17936.jpg""",17
" ""46957.jpg""",17
" ""8381.jpg""",17
" ""13404.jpg""",17
" ""55810.jpg""",17
" ""20135.jpg""",17
" ""20139.jpg""",17
" ""37154.jpg""",17
" ""20152.jpg""",17
" ""10486.jpg""",17
" ""37224.jpg""",17
" ""12496.jpg""",17
" ""Provogue_Adults-Men_Men_White_Fashion_Fall_2011_Casual_Regular_Fit_Printed_Garment_Measurements_in_S_4""",17
" ""7550.jpg""",17
" ""46655.jpg""",17
" ""48430.jpg""",17
" ""12846.jpg""",17
" ""4883.jpg""",17
" ""8002.jpg""",17
" ""35271.jpg""",17
" ""12935.jpg""",17
" ""8196.jpg""",17
" ""18756.jpg""",17
" ""12936.jpg""",17
" ""18878.jpg""",17
" ""13051.jpg""",17
" ""1890.jpg""",17
" ""18941.jpg""",17
" ""13227.jpg""",17
" ""34410.jpg""",17
" ""9793.jpg""",17
" ""34338.jpg""",17
" ""48400.jpg""",17
" ""9868.jpg""",17
" ""US_Polo_Assn_Adults-Men_Men_Navy_Blue_Fashion_Fall_2011_Casual_Regular_Fit_Striped_Garment_Measur_2""",17
" ""7629.jpg""",17
" ""34320.jpg""",17
" ""13219.jpg""",17
" ""8290.jpg""",17
" ""7561.jpg""",17
" ""20178.jpg""",17
" ""34213.jpg""",17
" ""33237.jpg""",17
" ""20187.jpg""",17
" ""5426.jpg""",17
" ""3755.jpg""",17
" ""33288.jpg""",17
" ""50559.jpg""",17
" ""9692.jpg""",17
" ""33081.jpg""",17
" ""46647.jpg""",17
" ""28672.jpg""",16
" ""36173.jpg""",16
" ""28557.jpg""",16
" ""40136.jpg""",16
" ""9944.jpg""",16
" ""28629.jpg""",16
" ""28807.jpg""",16
" ""13154.jpg""",16
" ""11704.jpg""",16
" ""11706.jpg""",16
" ""57622.jpg""",16
" ""11684.jpg""",16
" ""40152.jpg""",16
" ""2865.jpg""",16
" ""37785.jpg""",16
" ""32499.jpg""",16
" ""15141.jpg""",16
" ""5494.jpg""",16
" ""40382.jpg""",16
" ""40373.jpg""",16
" ""15168.jpg""",16
" ""34373.jpg""",16
" ""9643.jpg""",16
" ""36090.jpg""",16
" ""57796.jpg""",16
" ""40099.jpg""",16
" ""2846.jpg""",16
" ""3322.jpg""",16
" ""28518.jpg""",16
" ""9953.jpg""",16
" ""11672.jpg""",16
" ""32505.jpg""",16
" ""40153.jpg""",16
" ""11678.jpg""",16
" ""11726.jpg""",16
" ""5490.jpg""",16
" ""11773.jpg""",16
" ""5431.jpg""",16
" ""5558.jpg""",16
" ""29170.jpg""",16
" ""11765.jpg""",16
" ""56228.jpg""",16
" ""39860.jpg""",16
" ""57426.jpg""",16
" ""11774.jpg""",16
" ""53278.jpg""",16
" ""34244.jpg""",16
" ""9420.jpg""",16
" ""39841.jpg""",16
" ""9424.jpg""",16
" ""2928.jpg""",16
" ""29283.jpg""",16
" ""34234.jpg""",16
" ""36253.jpg""",16
" ""57441.jpg""",16
" ""11721.jpg""",16
" ""40024.jpg""",16
" ""27972.jpg""",16
" ""28854.jpg""",16
" ""28857.jpg""",16
" ""57616.jpg""",16
" ""28932.jpg""",16
" ""28997.jpg""",16
" ""28999.jpg""",16
" ""29022.jpg""",16
" ""29150.jpg""",16
" ""13218.jpg""",16
" ""13856.jpg""",16
" ""37724.jpg""",16
" ""29051.jpg""",16
" ""53119.jpg""",16
" ""29061.jpg""",16
" ""36252.jpg""",16
" ""34377.jpg""",16
" ""33213.jpg""",16
" ""34406.jpg""",16
" ""41603.jpg""",16
" ""15477.jpg""",16
" ""55274.jpg""",16
" ""3544.jpg""",16
" ""12913.jpg""",16
" ""35459.jpg""",16
" ""3762.jpg""",16
" ""35874.jpg""",16
" ""12797.jpg""",16
" ""37622.jpg""",16
" ""35883.jpg""",16
" ""35885.jpg""",16
" ""3276.jpg""",16
" ""35887.jpg""",16
" ""13768.jpg""",16
" ""34595.jpg""",16
" ""9828.jpg""",16
" ""12847.jpg""",16
" ""41398.jpg""",16
" ""55087.jpg""",16
" ""2687.jpg""",16
" ""26888.jpg""",16
" ""26904.jpg""",16
" ""26948.jpg""",16
" ""4191.jpg""",16
" ""3517.jpg""",16
" ""12841.jpg""",16
" ""15588.jpg""",16
" ""41751.jpg""",16
" ""15558.jpg""",16
" ""27210.jpg""",16
" ""13738.jpg""",16
" ""27300.jpg""",16
" ""33058.jpg""",16
" ""9180.jpg""",16
" ""27527.jpg""",16
" ""12952.jpg""",16
" ""15194.jpg""",16
" ""5823.jpg""",16
" ""27866.jpg""",16
" ""3267.jpg""",16
" ""27870.jpg""",16
" ""54953.jpg""",16
" ""34434.jpg""",16
" ""5812.jpg""",16
" ""9264.jpg""",16
" ""9265.jpg""",16
" ""9266.jpg""",16
" ""9267.jpg""",16
" ""4057.jpg""",16
" ""4055.jpg""",16
" ""29290.jpg""",16
" ""15199.jpg""",16
" ""40404.jpg""",16
" ""27850.jpg""",16
" ""5825.jpg""",16
" ""55524.jpg""",16
" ""40956.jpg""",16
" ""27529.jpg""",16
" ""3599.jpg""",16
" ""41393.jpg""",16
" ""9805.jpg""",16
" ""41392.jpg""",16
" ""27539.jpg""",16
" ""41310.jpg""",16
" ""41305.jpg""",16
" ""13771.jpg""",16
" ""3447.jpg""",16
" ""41301.jpg""",16
" ""27560.jpg""",16
" ""37626.jpg""",16
" ""34435.jpg""",16
" ""3601.jpg""",16
" ""29289.jpg""",16
" ""13864.jpg""",16
" ""29294.jpg""",16
" ""31144.jpg""",16
" ""37097.jpg""",16
" ""12586.jpg""",16
" ""53834.jpg""",16
" ""37119.jpg""",16
" ""31100.jpg""",16
" ""12581.jpg""",16
" ""14289.jpg""",16
" ""38345.jpg""",16
" ""38249.jpg""",16
" ""31149.jpg""",16
" ""38336.jpg""",16
" ""37766.jpg""",16
" ""38330.jpg""",16
" ""34004.jpg""",16
" ""9589.jpg""",16
" ""56770.jpg""",16
" ""9729.jpg""",16
" ""34030.jpg""",16
" ""13336.jpg""",16
" ""14325.jpg""",16
" ""3065.jpg""",16
" ""34044.jpg""",16
" ""3077.jpg""",16
" ""33252.jpg""",16
" ""30787.jpg""",16
" ""30795.jpg""",16
" ""38491.jpg""",16
" ""30800.jpg""",16
" ""36861.jpg""",16
" ""3098.jpg""",16
" ""37750.jpg""",16
" ""13929.jpg""",16
" ""31024.jpg""",16
" ""53793.jpg""",16
" ""34039.jpg""",16
" ""13403.jpg""",16
" ""14132.jpg""",16
" ""37780.jpg""",16
" ""31781.jpg""",16
" ""56702.jpg""",16
" ""31619.jpg""",16
" ""9614.jpg""",16
" ""37808.jpg""",16
" ""12193.jpg""",16
" ""13451.jpg""",16
" ""56695.jpg""",16
" ""12202.jpg""",16
" ""31248.jpg""",16
" ""56425.jpg""",16
" ""14010.jpg""",16
" ""33590.jpg""",16
" ""33542.jpg""",16
" ""56548.jpg""",16
" ""33544.jpg""",16
" ""3208.jpg""",16
" ""32204.jpg""",16
" ""8182.jpg""",16
" ""3350.jpg""",16
" ""37776.jpg""",16
" ""31255.jpg""",16
" ""9998.jpg""",16
" ""37949.jpg""",16
" ""37139.jpg""",16
" ""56725.jpg""",16
" ""9690.jpg""",16
" ""3788.jpg""",16
" ""37768.jpg""",16
" ""12556.jpg""",16
" ""12542.jpg""",16
" ""26812.jpg""",16
" ""37144.jpg""",16
" ""3715.jpg""",16
" ""56258.jpg""",16
" ""13429.jpg""",16
" ""ADIDAS_Adults-Men_Men_Black_Fashion_Summer_2011_Sports_Regular_Fit_Printed_Garment_Measurements_in_S_4""",16
" ""3060.jpg""",16
" ""13327.jpg""",16
" ""12656.jpg""",16
" ""39334.jpg""",16
" ""9983.jpg""",16
" ""11990.jpg""",16
" ""36288.jpg""",16
" ""9506.jpg""",16
" ""39332.jpg""",16
" ""36310.jpg""",16
" ""13732.jpg""",16
" ""30355.jpg""",16
" ""34193.jpg""",16
" ""9507.jpg""",16
" ""9756.jpg""",16
" ""34172.jpg""",16
" ""12636.jpg""",16
" ""3928.jpg""",16
" ""13269.jpg""",16
" ""37730.jpg""",16
" ""34221.jpg""",16
" ""29616.jpg""",16
" ""3936.jpg""",16
" ""29299.jpg""",16
" ""9445.jpg""",16
" ""34230.jpg""",16
" ""12669.jpg""",16
" ""29322.jpg""",16
" ""57297.jpg""",16
" ""39399.jpg""",16
" ""34226.jpg""",16
" ""39397.jpg""",16
" ""34223.jpg""",16
" ""12665.jpg""",16
" ""39396.jpg""",16
" ""12664.jpg""",16
" ""3751.jpg""",16
" ""3937.jpg""",16
" ""39242.jpg""",16
" ""33247.jpg""",16
" ""39224.jpg""",16
" ""3885.jpg""",16
" ""3015.jpg""",16
" ""38808.jpg""",16
" ""32414.jpg""",16
" ""14674.jpg""",16
" ""36721.jpg""",16
" ""38769.jpg""",16
" ""12613.jpg""",16
" ""37744.jpg""",16
" ""14660.jpg""",16
" ""3874.jpg""",16
" ""14650.jpg""",16
" ""13891.jpg""",16
" ""30328.jpg""",16
" ""30342.jpg""",16
" ""37749.jpg""",16
" ""3884.jpg""",16
" ""30141.jpg""",16
" ""54713.jpg""",16
" ""38952.jpg""",16
" ""29813.jpg""",16
" ""39144.jpg""",16
" ""3416.jpg""",16
" ""39074.jpg""",16
" ""9935.jpg""",16
" ""36559.jpg""",16
" ""39063.jpg""",16
" ""36605.jpg""",16
" ""5436.jpg""",16
" ""29841.jpg""",16
" ""37734.jpg""",16
" ""3899.jpg""",16
" ""3411.jpg""",16
" ""3009.jpg""",16
" ""3011.jpg""",16
" ""28492.jpg""",16
" ""27357.jpg""",16
" ""26787.jpg""",16
" ""6327.jpg""",16
" ""10806.jpg""",16
" ""6618.jpg""",16
" ""10813.jpg""",16
" ""6616.jpg""",16
" ""8585.jpg""",16
" ""8586.jpg""",16
" ""10825.jpg""",16
" ""8590.jpg""",16
" ""2203.jpg""",16
" ""22206.jpg""",16
" ""22207.jpg""",16
" ""22210.jpg""",16
" ""22215.jpg""",16
" ""22225.jpg""",16
" ""8718.jpg""",16
" ""8725.jpg""",16
" ""6485.jpg""",16
" ""22320.jpg""",16
" ""44834.jpg""",16
" ""8734.jpg""",16
" ""51422.jpg""",16
" ""6706.jpg""",16
" ""6757.jpg""",16
" ""6793.jpg""",16
" ""45761.jpg""",16
" ""45970.jpg""",16
" ""20664.jpg""",16
" ""10683.jpg""",16
" ""7028.jpg""",16
" ""6962.jpg""",16
" ""6956.jpg""",16
" ""5092.jpg""",16
" ""6943.jpg""",16
" ""8549.jpg""",16
" ""6937.jpg""",16
" ""10799.jpg""",16
" ""45512.jpg""",16
" ""45441.jpg""",16
" ""21410.jpg""",16
" ""21451.jpg""",16
" ""51411.jpg""",16
" ""17245.jpg""",16
" ""Femella_Adults-Women_Women_Blue_Fashion_Summer_2017_Casual_Garment_Measurements_in_Nightdress_Appare_0""",16
" ""17243.jpg""",16
" ""21574.jpg""",16
" ""8739.jpg""",16
" ""8743.jpg""",16
