product_name,total_shared_attributes
" ""32143.jpg""",17
" ""54478.jpg""",17
" ""27484.jpg""",16
" ""57383.jpg""",15
" ""57382.jpg""",15
" ""15782.jpg""",15
" ""57016.jpg""",14
" ""49966.jpg""",14
" ""42806.jpg""",14
" ""28086.jpg""",14
" ""19357.jpg""",14
" ""28832.jpg""",14
" ""47269.jpg""",14
" ""28021.jpg""",14
" ""20084.jpg""",14
" ""54610.jpg""",13
" ""54603.jpg""",13
" ""57415.jpg""",13
" ""15773.jpg""",13
" ""31926.jpg""",13
" ""57411.jpg""",13
" ""49933.jpg""",13
" ""28785.jpg""",13
" ""57388.jpg""",13
" ""56305.jpg""",13
" ""28093.jpg""",13
" ""28053.jpg""",13
" ""28045.jpg""",13
" ""50483.jpg""",13
" ""28024.jpg""",13
" ""28023.jpg""",13
" ""28003.jpg""",13
" ""50921.jpg""",13
" ""15800.jpg""",13
" ""53546.jpg""",13
" ""19355.jpg""",13
" ""34618.jpg""",13
" ""43023.jpg""",13
" ""42973.jpg""",13
" ""47516.jpg""",13
" ""51616.jpg""",13
" ""4468.jpg""",12
" ""51986.jpg""",12
" ""45628.jpg""",12
" ""28084.jpg""",12
" ""28079.jpg""",12
" ""45635.jpg""",12
" ""45642.jpg""",12
" ""49982.jpg""",12
" ""51846.jpg""",12
" ""15216.jpg""",12
" ""28043.jpg""",12
" ""28099.jpg""",12
" ""47292.jpg""",12
" ""28016.jpg""",12
" ""28013.jpg""",12
" ""47510.jpg""",12
" ""27487.jpg""",12
" ""47508.jpg""",12
" ""27468.jpg""",12
" ""50691.jpg""",12
" ""25350.jpg""",12
" ""44586.jpg""",12
" ""Jockey_Adults-Women_Women_Burgundy_Core_Winter_2015_Casual_Floral_NA_Briefs_Apparel_Innerwear_1""",12
" ""28125.jpg""",12
" ""54602.jpg""",12
" ""32066.jpg""",12
" ""31905.jpg""",12
" ""31411.jpg""",12
" ""31244.jpg""",12
" ""34988.jpg""",12
