product_name,total_shared_attributes
" ""9405.jpg""",14
" ""35591.jpg""",13
" ""3256.jpg""",13
" ""3300.jpg""",12
" ""35582.jpg""",12
" ""5714.jpg""",12
" ""18413.jpg""",12
" ""58231.jpg""",12
" ""16119.jpg""",12
" ""15243.jpg""",12
" ""36438.jpg""",12
" ""44447.jpg""",12
" ""12712.jpg""",12
" ""32277.jpg""",12
" ""39269.jpg""",11
" ""54538.jpg""",11
" ""22869.jpg""",11
" ""6620.jpg""",11
" ""39627.jpg""",11
" ""40758.jpg""",11
" ""2966.jpg""",11
" ""7713.jpg""",11
" ""49494.jpg""",11
" ""35675.jpg""",11
" ""38042.jpg""",11
" ""9796.jpg""",11
" ""13179.jpg""",11
" ""49354.jpg""",11
" ""33528.jpg""",11
" ""15894.jpg""",11
" ""9719.jpg""",11
" ""5686.jpg""",11
" ""47109.jpg""",11
" ""35535.jpg""",11
" ""40300.jpg""",11
" ""7047.jpg""",11
" ""36308.jpg""",11
" ""42694.jpg""",11
" ""20949.jpg""",11
" ""22242.jpg""",11
" ""34632.jpg""",11
" ""22533.jpg""",11
" ""18541.jpg""",11
" ""12872.jpg""",11
" ""31196.jpg""",11
" ""13027.jpg""",11
" ""18477.jpg""",11
" ""36428.jpg""",11
" ""5931.jpg""",11
" ""34819.jpg""",11
" ""55653.jpg""",11
" ""20715.jpg""",11
" ""6134.jpg""",11
" ""44456.jpg""",11
" ""Enroute_Women_Adults-Women_Women_Navy_Blue_Fashion_Summer_2012_Casual_Driving_Shoes_Casual_Shoes_Foo_3""",11
" ""3834.jpg""",11
" ""13085.jpg""",11
" ""31955.jpg""",11
" ""FILA_Adults-Men_Men_Black_Fashion_Fall_2011_Casual_Casual_Shoes_Footwear_Shoes_5""",11
" ""19123.jpg""",11
" ""6146.jpg""",11
" ""6626.jpg""",11
" ""23890.jpg""",11
" ""14454.jpg""",11
" ""15352.jpg""",11
" ""9137.jpg""",11
" ""10112.jpg""",11
" ""59047.jpg""",11
" ""19882.jpg""",11
" ""9105.jpg""",11
" ""17679.jpg""",11
" ""44766.jpg""",11
" ""9125.jpg""",11
" ""59036.jpg""",11
" ""14349.jpg""",11
" ""3547.jpg""",11
" ""41875.jpg""",11
" ""17046.jpg""",11
" ""23877.jpg""",11
" ""13481.jpg""",11
" ""28638.jpg""",11
" ""42023.jpg""",11
" ""46883.jpg""",11
" ""18400.jpg""",11
" ""17688.jpg""",11
" ""10631.jpg""",10
" ""15409.jpg""",10
" ""49826.jpg""",10
" ""20762.jpg""",10
" ""17675.jpg""",10
" ""10620.jpg""",10
" ""15399.jpg""",10
" ""19872.jpg""",10
" ""38783.jpg""",10
" ""34453.jpg""",10
" ""6397.jpg""",10
" ""51757.jpg""",10
" ""49820.jpg""",10
" ""24111.jpg""",10
" ""17026.jpg""",10
" ""22504.jpg""",10
" ""49829.jpg""",10
" ""39957.jpg""",10
" ""32856.jpg""",10
