product_name,total_shared_attributes
" ""44268.jpg""",9
" ""37232.jpg""",8
" ""58159.jpg""",8
" ""17079.jpg""",8
" ""33617.jpg""",8
" ""41269.jpg""",8
" ""38293.jpg""",7
" ""44271.jpg""",7
" ""36909.jpg""",7
" ""42067.jpg""",7
" ""24619.jpg""",6
" ""17097.jpg""",6
" ""27049.jpg""",6
" ""58162.jpg""",6
" ""44601.jpg""",6
" ""58164.jpg""",6
" ""17089.jpg""",6
" ""17096.jpg""",6
" ""52814.jpg""",6
" ""17102.jpg""",6
" ""17104.jpg""",6
" ""37468.jpg""",6
" ""48127.jpg""",6
" ""50827.jpg""",6
" ""50826.jpg""",6
" ""32607.jpg""",6
" ""50822.jpg""",6
" ""50821.jpg""",6
" ""50819.jpg""",6
" ""50817.jpg""",6
" ""37871.jpg""",6
" ""37870.jpg""",6
" ""37866.jpg""",6
" ""48156.jpg""",6
" ""26224.jpg""",6
" ""52810.jpg""",6
" ""52813.jpg""",6
" ""52791.jpg""",6
" ""36104.jpg""",6
" ""20503.jpg""",6
" ""36101.jpg""",6
" ""20495.jpg""",6
" ""36098.jpg""",6
" ""36094.jpg""",6
" ""20475.jpg""",6
" ""48164.jpg""",6
" ""20467.jpg""",6
" ""52784.jpg""",6
" ""52775.jpg""",6
" ""16739.jpg""",6
" ""42966.jpg""",6
" ""36113.jpg""",6
" ""52798.jpg""",6
" ""36123.jpg""",6
" ""20563.jpg""",6
" ""36127.jpg""",6
" ""58248.jpg""",6
" ""58243.jpg""",6
" ""58240.jpg""",6
" ""52799.jpg""",6
" ""52800.jpg""",6
" ""58236.jpg""",6
" ""52801.jpg""",6
" ""20593.jpg""",6
" ""52806.jpg""",6
" ""52807.jpg""",6
" ""58201.jpg""",6
" ""52809.jpg""",6
" ""37863.jpg""",6
" ""18825.jpg""",6
" ""37848.jpg""",6
" ""43388.jpg""",6
" ""12443.jpg""",6
" ""12444.jpg""",6
" ""12445.jpg""",6
" ""43397.jpg""",6
" ""43392.jpg""",6
" ""43391.jpg""",6
" ""27756.jpg""",6
" ""12419.jpg""",6
" ""8141.jpg""",6
" ""33608.jpg""",6
" ""37638.jpg""",6
" ""8068.jpg""",6
" ""8067.jpg""",6
" ""37646.jpg""",6
" ""12441.jpg""",6
" ""12412.jpg""",6
" ""18828.jpg""",6
" ""18054.jpg""",6
" ""33401.jpg""",6
" ""21806.jpg""",6
" ""21819.jpg""",6
" ""53374.jpg""",6
" ""53360.jpg""",6
" ""18053.jpg""",6
" ""18055.jpg""",6
" ""37233.jpg""",6
" ""25307.jpg""",6
" ""39551.jpg""",6
" ""18056.jpg""",6
" ""25304.jpg""",6
" ""37236.jpg""",6
" ""37235.jpg""",6
" ""8064.jpg""",6
" ""27768.jpg""",6
" ""33625.jpg""",6
" ""18815.jpg""",6
" ""21018.jpg""",6
" ""27789.jpg""",6
" ""27792.jpg""",6
" ""27793.jpg""",6
" ""21013.jpg""",6
" ""25097.jpg""",6
" ""18817.jpg""",6
" ""33626.jpg""",6
" ""18818.jpg""",6
" ""18821.jpg""",6
" ""25089.jpg""",6
" ""18824.jpg""",6
" ""58472.jpg""",6
" ""25085.jpg""",6
" ""18791.jpg""",6
" ""18787.jpg""",6
" ""36918.jpg""",6
" ""44274.jpg""",6
" ""36919.jpg""",6
" ""44273.jpg""",6
" ""36920.jpg""",6
" ""27786.jpg""",6
" ""25740.jpg""",6
" ""25736.jpg""",6
" ""44265.jpg""",6
" ""44258.jpg""",6
" ""44254.jpg""",6
" ""42079.jpg""",6
" ""27778.jpg""",6
" ""27777.jpg""",6
" ""27776.jpg""",6
" ""58471.jpg""",6
" ""37463.jpg""",6
" ""15942.jpg""",6
" ""14844.jpg""",6
" ""14845.jpg""",6
" ""41279.jpg""",6
" ""58474.jpg""",6
" ""19514.jpg""",6
" ""19513.jpg""",6
" ""14847.jpg""",6
" ""51843.jpg""",6
" ""Fastrack_Adults-Men_Men_Brown_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets_4""",6
" ""41277.jpg""",6
" ""38362.jpg""",6
" ""Fastrack_Adults-Men_Men_Brown_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets_3""",6
" ""Fastrack_Adults-Men_Men_Brown_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets_2""",6
" ""31189.jpg""",6
" ""28587.jpg""",6
" ""41272.jpg""",6
" ""41271.jpg""",6
" ""47287.jpg""",6
" ""38317.jpg""",6
" ""42084.jpg""",6
" ""29102.jpg""",6
" ""14843.jpg""",6
" ""41266.jpg""",6
" ""14842.jpg""",6
" ""23684.jpg""",6
" ""23691.jpg""",6
" ""47387.jpg""",6
" ""52332.jpg""",6
" ""51900.jpg""",6
" ""47405.jpg""",6
" ""38440.jpg""",6
" ""35115.jpg""",6
" ""52559.jpg""",6
" ""35114.jpg""",6
" ""47156.jpg""",6
" ""14970.jpg""",6
" ""Fossil_Adults-Women_Women_Black_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets_2""",6
" ""Fossil_Adults-Women_Women_Black_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets_1""",6
" ""14968.jpg""",6
" ""35107.jpg""",6
" ""14841.jpg""",6
" ""14963.jpg""",6
" ""29084.jpg""",6
" ""38463.jpg""",6
" ""41274.jpg""",6
" ""34133.jpg""",6
" ""42072.jpg""",6
" ""14904.jpg""",6
" ""14857.jpg""",6
" ""38291.jpg""",6
" ""34140.jpg""",6
" ""34134.jpg""",6
" ""42068.jpg""",6
" ""14903.jpg""",6
" ""14900.jpg""",6
" ""35905.jpg""",6
" ""58482.jpg""",6
" ""42081.jpg""",6
" ""58478.jpg""",6
" ""15944.jpg""",6
" ""58476.jpg""",6
" ""58475.jpg""",6
" ""42926.jpg""",6
" ""23689.jpg""",6
" ""38302.jpg""",6
" ""14906.jpg""",6
" ""38297.jpg""",6
" ""41265.jpg""",6
" ""41262.jpg""",6
" ""38363.jpg""",6
" ""42070.jpg""",6
" ""38296.jpg""",6
" ""31196.jpg""",6
" ""42071.jpg""",6
" ""38365.jpg""",6
" ""14852.jpg""",6
" ""38303.jpg""",6
" ""15068.jpg""",5
" ""36922.jpg""",5
" ""51888.jpg""",5
" ""51884.jpg""",5
" ""59149.jpg""",5
" ""34539.jpg""",5
" ""36921.jpg""",5
" ""27767.jpg""",5
" ""33618.jpg""",5
" ""51887.jpg""",5
" ""23517.jpg""",5
" ""43387.jpg""",5
" ""36924.jpg""",5
" ""25114.jpg""",5
" ""47315.jpg""",5
" ""33621.jpg""",5
" ""27781.jpg""",5
" ""33623.jpg""",5
" ""14898.jpg""",5
" ""25136.jpg""",5
" ""27774.jpg""",5
" ""14902.jpg""",5
" ""33627.jpg""",5
" ""27785.jpg""",5
" ""14962.jpg""",5
" ""43386.jpg""",5
" ""27780.jpg""",5
" ""35923.jpg""",5
" ""27766.jpg""",5
" ""21813.jpg""",5
" ""37234.jpg""",5
" ""25306.jpg""",5
" ""42083.jpg""",5
" ""42082.jpg""",5
" ""4342.jpg""",5
" ""21822.jpg""",5
" ""21820.jpg""",5
" ""21818.jpg""",5
" ""21816.jpg""",5
" ""21814.jpg""",5
" ""21812.jpg""",5
" ""28592.jpg""",5
" ""21809.jpg""",5
" ""21808.jpg""",5
" ""42074.jpg""",5
" ""33439.jpg""",5
