product_name,total_shared_attributes
" ""17657.jpg""",21
" ""44546.jpg""",21
" ""7039.jpg""",21
" ""19354.jpg""",21
" ""13969.jpg""",21
" ""10172.jpg""",21
" ""4741.jpg""",21
" ""1832.jpg""",20
" ""4560.jpg""",20
" ""22891.jpg""",20
" ""56868.jpg""",20
" ""23242.jpg""",20
" ""15865.jpg""",20
" ""20875.jpg""",20
" ""3802.jpg""",20
" ""28604.jpg""",20
" ""58819.jpg""",20
" ""3556.jpg""",20
" ""5683.jpg""",20
" ""45584.jpg""",20
" ""4278.jpg""",20
" ""37251.jpg""",20
" ""37247.jpg""",20
" ""44501.jpg""",20
" ""39828.jpg""",20
" ""16157.jpg""",20
" ""13373.jpg""",20
" ""34634.jpg""",20
" ""23914.jpg""",20
" ""2821.jpg""",20
" ""4548.jpg""",20
" ""42705.jpg""",20
" ""11844.jpg""",20
" ""22818.jpg""",20
" ""7599.jpg""",20
" ""15365.jpg""",20
" ""31219.jpg""",20
" ""46116.jpg""",20
" ""39293.jpg""",20
" ""39285.jpg""",20
" ""6854.jpg""",20
" ""15354.jpg""",20
" ""39277.jpg""",20
" ""39275.jpg""",20
" ""33111.jpg""",20
" ""39273.jpg""",20
" ""39211.jpg""",20
" ""30260.jpg""",20
" ""9817.jpg""",20
" ""9720.jpg""",20
" ""15566.jpg""",20
" ""39588.jpg""",20
" ""47097.jpg""",20
" ""47123.jpg""",20
" ""29260.jpg""",20
" ""32940.jpg""",20
" ""38546.jpg""",20
" ""38535.jpg""",20
" ""18550.jpg""",20
" ""41822.jpg""",20
" ""5676.jpg""",20
" ""41836.jpg""",20
" ""13362.jpg""",20
" ""15239.jpg""",20
" ""5578.jpg""",20
" ""35483.jpg""",20
" ""1728.jpg""",20
" ""35475.jpg""",20
" ""5704.jpg""",20
" ""10154.jpg""",20
" ""24690.jpg""",20
" ""12867.jpg""",20
" ""4536.jpg""",20
" ""49481.jpg""",20
" ""12511.jpg""",20
" ""2490.jpg""",20
" ""49596.jpg""",20
" ""5043.jpg""",20
" ""6317.jpg""",20
" ""53727.jpg""",20
" ""53640.jpg""",20
" ""35694.jpg""",20
" ""35231.jpg""",20
" ""7387.jpg""",20
" ""5928.jpg""",20
" ""8979.jpg""",20
" ""13082.jpg""",20
" ""53127.jpg""",20
" ""50421.jpg""",20
" ""49371.jpg""",20
" ""25489.jpg""",20
" ""35493.jpg""",20
" ""34746.jpg""",20
" ""34753.jpg""",20
" ""26637.jpg""",20
" ""17833.jpg""",20
" ""26642.jpg""",20
" ""26645.jpg""",20
" ""45392.jpg""",20
" ""26658.jpg""",20
" ""3554.jpg""",20
" ""24190.jpg""",20
" ""35525.jpg""",20
" ""20684.jpg""",20
" ""47647.jpg""",20
" ""26538.jpg""",20
" ""34743.jpg""",20
" ""6746.jpg""",19
" ""34828.jpg""",18
" ""33646.jpg""",18
" ""12966.jpg""",17
" ""15713.jpg""",17
" ""7987.jpg""",17
" ""15401.jpg""",17
" ""26639.jpg""",17
" ""46963.jpg""",17
" ""31215.jpg""",17
" ""2994.jpg""",17
" ""4499.jpg""",17
" ""21720.jpg""",17
" ""17021.jpg""",17
" ""4491.jpg""",17
" ""12993.jpg""",17
" ""15729.jpg""",17
" ""10770.jpg""",17
" ""5537.jpg""",17
" ""36481.jpg""",17
" ""29229.jpg""",17
" ""8343.jpg""",17
" ""24427.jpg""",17
" ""13551.jpg""",17
" ""54066.jpg""",17
" ""41436.jpg""",17
" ""11960.jpg""",17
" ""16246.jpg""",17
" ""59031.jpg""",17
" ""13213.jpg""",17
" ""42994.jpg""",17
" ""34820.jpg""",17
" ""17967.jpg""",17
" ""36422.jpg""",17
" ""34639.jpg""",17
" ""34747.jpg""",17
" ""28598.jpg""",17
" ""28661.jpg""",17
" ""2220.jpg""",17
" ""54535.jpg""",17
" ""11517.jpg""",17
" ""25480.jpg""",17
" ""5468.jpg""",17
" ""49811.jpg""",17
" ""36467.jpg""",17
" ""18475.jpg""",17
" ""15854.jpg""",17
" ""42130.jpg""",17
" ""13654.jpg""",17
" ""22953.jpg""",17
" ""24703.jpg""",17
" ""42124.jpg""",17
" ""15886.jpg""",17
" ""15890.jpg""",17
" ""11831.jpg""",17
" ""35714.jpg""",17
" ""22691.jpg""",17
" ""39684.jpg""",17
" ""39990.jpg""",17
" ""32948.jpg""",17
" ""20956.jpg""",17
" ""39993.jpg""",17
" ""15260.jpg""",17
" ""1916.jpg""",17
" ""5620.jpg""",17
" ""5629.jpg""",17
" ""15231.jpg""",17
" ""15227.jpg""",17
" ""55289.jpg""",16
" ""12509.jpg""",16
" ""24720.jpg""",16
" ""57491.jpg""",16
" ""22198.jpg""",16
" ""49501.jpg""",16
" ""11508.jpg""",16
" ""22169.jpg""",16
" ""7383.jpg""",16
" ""9904.jpg""",16
" ""38772.jpg""",16
" ""35248.jpg""",16
" ""38785.jpg""",16
" ""17415.jpg""",16
" ""47090.jpg""",16
" ""41686.jpg""",16
" ""32937.jpg""",16
" ""56660.jpg""",16
" ""7845.jpg""",16
" ""8976.jpg""",16
" ""3590.jpg""",16
" ""13182.jpg""",16
" ""4184.jpg""",16
" ""33701.jpg""",16
" ""13677.jpg""",16
