product_name,total_shared_attributes
" ""51924.jpg""",15
" ""10223.jpg""",14
" ""50962.jpg""",14
" ""48179.jpg""",14
" ""47361.jpg""",14
" ""8227.jpg""",13
" ""10228.jpg""",13
" ""10321.jpg""",13
" ""27677.jpg""",13
" ""37432.jpg""",13
" ""46972.jpg""",13
" ""49556.jpg""",13
" ""2666.jpg""",13
" ""25254.jpg""",12
" ""10727.jpg""",12
" ""47927.jpg""",12
" ""10225.jpg""",12
" ""58274.jpg""",12
" ""37694.jpg""",12
" ""54014.jpg""",12
" ""17133.jpg""",12
" ""54018.jpg""",12
" ""54489.jpg""",12
" ""54491.jpg""",12
" ""53678.jpg""",12
" ""25146.jpg""",12
" ""10216.jpg""",12
" ""39930.jpg""",12
" ""47692.jpg""",12
" ""47410.jpg""",12
" ""14805.jpg""",12
" ""50187.jpg""",11
" ""25870.jpg""",11
" ""52652.jpg""",11
" ""42878.jpg""",11
" ""58255.jpg""",11
" ""34465.jpg""",11
" ""48182.jpg""",11
" ""42866.jpg""",11
" ""5559.jpg""",11
" ""53985.jpg""",11
" ""42852.jpg""",11
" ""33716.jpg""",11
" ""42847.jpg""",11
" ""48131.jpg""",11
" ""42835.jpg""",11
" ""53892.jpg""",11
" ""27734.jpg""",11
" ""33435.jpg""",11
" ""1939.jpg""",11
" ""27724.jpg""",11
" ""48119.jpg""",11
" ""47418.jpg""",11
" ""48328.jpg""",11
" ""48184.jpg""",11
" ""41527.jpg""",11
" ""42886.jpg""",11
" ""3738.jpg""",11
" ""24698.jpg""",11
" ""42937.jpg""",11
" ""24738.jpg""",11
" ""36050.jpg""",11
" ""7518.jpg""",11
" ""3387.jpg""",11
" ""51325.jpg""",11
" ""21975.jpg""",11
" ""21967.jpg""",11
" ""29727.jpg""",11
" ""50185.jpg""",11
" ""35898.jpg""",11
" ""51915.jpg""",11
" ""25156.jpg""",11
" ""25173.jpg""",11
" ""38441.jpg""",11
" ""21752.jpg""",11
" ""25200.jpg""",11
" ""51941.jpg""",11
" ""25208.jpg""",11
" ""18799.jpg""",11
" ""54511.jpg""",11
" ""8260.jpg""",11
" ""48169.jpg""",11
" ""54500.jpg""",11
" ""49552.jpg""",11
" ""47310.jpg""",11
" ""42938.jpg""",11
" ""54381.jpg""",11
" ""47430.jpg""",11
" ""43294.jpg""",11
" ""20490.jpg""",11
" ""53710.jpg""",11
" ""26273.jpg""",11
" ""39504.jpg""",11
" ""10198.jpg""",11
" ""27702.jpg""",11
" ""38458.jpg""",11
" ""27674.jpg""",11
" ""53684.jpg""",11
" ""27672.jpg""",11
" ""10221.jpg""",10
" ""21944.jpg""",10
" ""27053.jpg""",10
" ""53667.jpg""",10
" ""25149.jpg""",10
" ""21941.jpg""",10
" ""25151.jpg""",10
" ""5894.jpg""",10
" ""51920.jpg""",10
" ""27041.jpg""",10
" ""21937.jpg""",10
" ""36509.jpg""",10
" ""25170.jpg""",10
" ""25144.jpg""",10
" ""21956.jpg""",10
" ""21951.jpg""",10
" ""54823.jpg""",10
" ""51911.jpg""",10
" ""51910.jpg""",10
" ""21963.jpg""",10
" ""29725.jpg""",10
" ""53661.jpg""",10
" ""51882.jpg""",10
" ""29740.jpg""",10
" ""51878.jpg""",10
" ""21977.jpg""",10
" ""21986.jpg""",10
" ""9442.jpg""",10
" ""21990.jpg""",10
" ""18047.jpg""",10
" ""27060.jpg""",10
" ""18428.jpg""",10
" ""18332.jpg""",10
" ""54506.jpg""",10
" ""57838.jpg""",10
" ""25217.jpg""",10
" ""25220.jpg""",10
" ""25223.jpg""",10
" ""7085.jpg""",10
" ""20510.jpg""",10
" ""54510.jpg""",10
" ""25242.jpg""",10
" ""25179.jpg""",10
" ""25244.jpg""",10
" ""43290.jpg""",10
" ""25249.jpg""",10
" ""43285.jpg""",10
" ""20516.jpg""",10
" ""43280.jpg""",10
" ""37081.jpg""",10
" ""20505.jpg""",10
" ""18797.jpg""",10
" ""29598.jpg""",10
" ""58932.jpg""",10
" ""15654.jpg""",10
" ""25181.jpg""",10
" ""53669.jpg""",10
" ""18429.jpg""",10
" ""51926.jpg""",10
" ""9585.jpg""",10
" ""25186.jpg""",10
" ""44249.jpg""",10
" ""44245.jpg""",10
" ""27067.jpg""",10
" ""44244.jpg""",10
" ""53670.jpg""",10
" ""18793.jpg""",10
" ""25205.jpg""",10
" ""Park_Avenue_Adults-Men_Men_White_Fashion_Summer_2016_Casual_Round_Neck_NA_Cotton_Innerwear_Vests_App_3""",10
" ""21999.jpg""",10
" ""22014.jpg""",10
" ""22000.jpg""",10
" ""39914.jpg""",10
" ""22665.jpg""",10
" ""16758.jpg""",10
" ""5582.jpg""",10
" ""16747.jpg""",10
" ""2265.jpg""",10
" ""38688.jpg""",10
" ""16643.jpg""",10
" ""4880.jpg""",10
" ""39931.jpg""",10
" ""31929.jpg""",10
" ""47346.jpg""",10
" ""34555.jpg""",10
" ""31917.jpg""",10
" ""31832.jpg""",10
" ""22561.jpg""",10
" ""22670.jpg""",10
" ""47421.jpg""",10
" ""49533.jpg""",10
" ""48191.jpg""",10
" ""47896.jpg""",10
" ""17124.jpg""",10
" ""33448.jpg""",10
" ""33441.jpg""",10
" ""33429.jpg""",10
" ""33723.jpg""",10
" ""48138.jpg""",10
" ""48141.jpg""",10
" ""47734.jpg""",10
" ""33369.jpg""",10
" ""47433.jpg""",10
" ""48183.jpg""",10
" ""2650.jpg""",10
" ""2648.jpg""",10
" ""34121.jpg""",10
" ""47306.jpg""",10
" ""17422.jpg""",10
" ""18033.jpg""",10
" ""35918.jpg""",10
" ""57243.jpg""",10
" ""57244.jpg""",10
" ""57247.jpg""",10
" ""26426.jpg""",10
" ""20489.jpg""",10
" ""36053.jpg""",10
" ""36056.jpg""",10
" ""30322.jpg""",10
" ""36067.jpg""",10
" ""7523.jpg""",10
" ""30203.jpg""",10
" ""53656.jpg""",10
" ""36075.jpg""",10
" ""27037.jpg""",10
" ""58173.jpg""",10
" ""57238.jpg""",10
" ""35916.jpg""",10
" ""49537.jpg""",10
" ""26434.jpg""",10
" ""49539.jpg""",10
" ""49544.jpg""",10
" ""47126.jpg""",10
" ""14814.jpg""",10
" ""26435.jpg""",10
" ""20450.jpg""",10
" ""49562.jpg""",10
" ""35143.jpg""",10
" ""13224.jpg""",10
" ""35899.jpg""",10
" ""35900.jpg""",10
" ""24622.jpg""",10
" ""57230.jpg""",10
" ""35908.jpg""",10
" ""35912.jpg""",10
" ""43219.jpg""",10
" ""21938.jpg""",10
" ""47921.jpg""",10
" ""27719.jpg""",10
" ""25707.jpg""",10
" ""42061.jpg""",10
" ""53058.jpg""",10
" ""38451.jpg""",10
" ""14879.jpg""",10
" ""25640.jpg""",10
" ""Gini_and_Jony_Kids-Boys_Boys_Black_Fashion_Summer_2012_Casual_Regular_Fit_Solid_Garment_Measurements_5""",10
" ""27675.jpg""",10
" ""52651.jpg""",10
" ""42005.jpg""",10
" ""28912.jpg""",10
" ""52642.jpg""",10
" ""42887.jpg""",10
" ""10252.jpg""",10
" ""52638.jpg""",10
" ""53685.jpg""",10
" ""58245.jpg""",10
" ""37430.jpg""",10
" ""37428.jpg""",10
" ""9920.jpg""",10
" ""9919.jpg""",10
" ""9918.jpg""",10
" ""37423.jpg""",10
" ""54178.jpg""",10
" ""52616.jpg""",10
" ""6080.jpg""",10
" ""54008.jpg""",10
" ""25717.jpg""",10
" ""58278.jpg""",10
" ""37858.jpg""",10
" ""20933.jpg""",10
" ""53887.jpg""",10
" ""53914.jpg""",10
" ""10323.jpg""",10
" ""52767.jpg""",10
" ""53927.jpg""",10
" ""42845.jpg""",10
" ""37951.jpg""",10
" ""20604.jpg""",10
" ""20603.jpg""",10
" ""40947.jpg""",10
" ""27680.jpg""",10
" ""28446.jpg""",10
" ""58275.jpg""",10
" ""53702.jpg""",10
" ""19285.jpg""",10
" "":  Fastrack_Adults-Men_Men_Brown_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets_5""",10
" ""9998.jpg""",10
" ""38130.jpg""",10
" ""27747.jpg""",10
" ""27745.jpg""",10
" ""42865.jpg""",10
" ""58266.jpg""",10
" ""6572.jpg""",10
" ""53059.jpg""",10
" ""Arrow_Adults-Men_Men_Grey_Fashion_Summer_2012_Formal_Regular_Fit_Checked_Garment_Measurements_in_Sho_3""",10
" ""10246.jpg""",10
" ""25285.jpg""",10
" ""21507.jpg""",10
" ""21509.jpg""",10
" ""43147.jpg""",10
" ""25288.jpg""",10
" ""54488.jpg""",10
" ""53061.jpg""",10
" ""21546.jpg""",10
" ""53069.jpg""",10
" ""20521.jpg""",10
" ""21528.jpg""",10
" ""10242.jpg""",10
" ""54391.jpg""",10
" ""54384.jpg""",10
" ""21551.jpg""",10
" ""58176.jpg""",10
" ""29087.jpg""",10
" ""53756.jpg""",10
" ""21556.jpg""",10
" ""38436.jpg""",10
" ""54476.jpg""",10
" ""21541.jpg""",10
" ""20580.jpg""",10
" ""53068.jpg""",10
" ""37295.jpg""",10
" ""53682.jpg""",10
" ""17131.jpg""",9
" ""38967.jpg""",9
" ""12296.jpg""",9
