product_name,total_shared_attributes
" ""13380.jpg""",26
" ""11247.jpg""",25
" ""46746.jpg""",25
" ""30714.jpg""",25
" ""27422.jpg""",24
" ""12160.jpg""",24
" ""27421.jpg""",24
" ""7782.jpg""",24
" ""28626.jpg""",24
" ""24754.jpg""",24
" ""27405.jpg""",24
" ""11308.jpg""",24
" ""10714.jpg""",23
" ""40364.jpg""",23
" ""47051.jpg""",23
" ""42002.jpg""",23
" ""35037.jpg""",23
" ""35034.jpg""",23
" ""17621.jpg""",23
" ""11099.jpg""",23
" ""30902.jpg""",23
" ""57824.jpg""",23
" ""27904.jpg""",23
" ""51986.jpg""",23
" ""48494.jpg""",23
" ""47062.jpg""",23
" ""16516.jpg""",23
" ""47061.jpg""",23
" ""30892.jpg""",23
" ""47066.jpg""",23
" ""48066.jpg""",23
" ""40931.jpg""",23
" ""47074.jpg""",23
" ""28901.jpg""",23
" ""50944.jpg""",23
" ""7179.jpg""",23
" ""50954.jpg""",23
" ""41312.jpg""",23
" ""23302.jpg""",23
" ""39128.jpg""",23
" ""17994.jpg""",23
" ""58210.jpg""",23
" ""27907.jpg""",23
" ""49758.jpg""",23
" ""30808.jpg""",23
" ""15110.jpg""",23
" ""13108.jpg""",23
" ""35049.jpg""",22
" ""38994.jpg""",22
" ""41163.jpg""",22
" ""33272.jpg""",22
" ""17924.jpg""",22
" ""47077.jpg""",22
" ""30827.jpg""",22
" ""49759.jpg""",22
" ""54984.jpg""",22
" ""33538.jpg""",22
" ""11245.jpg""",22
" ""26817.jpg""",22
" ""54051.jpg""",22
" ""39011.jpg""",22
" ""40926.jpg""",22
" ""51590.jpg""",22
" ""51594.jpg""",22
" ""51601.jpg""",22
" ""51606.jpg""",22
" ""58214.jpg""",22
" ""14285.jpg""",22
" ""30809.jpg""",22
" ""41993.jpg""",22
" ""10261.jpg""",22
" ""50942.jpg""",22
" ""42348.jpg""",22
" ""12212.jpg""",22
" ""43917.jpg""",22
" ""52524.jpg""",22
" ""33958.jpg""",22
" ""27411.jpg""",22
" ""47264.jpg""",22
" ""14029.jpg""",22
" ""7178.jpg""",22
" ""50963.jpg""",22
" ""30831.jpg""",22
" ""22454.jpg""",22
" ""30832.jpg""",22
" ""49761.jpg""",22
" ""12760.jpg""",22
" ""26992.jpg""",22
" ""28461.jpg""",21
" ""1607.jpg""",21
" ""51609.jpg""",21
" ""31668.jpg""",21
