product_name,total_shared_attributes
" ""ADIDAS_Adults-Men_Men_Black_Fashion_Summer_2011_Sports_Regular_Fit_Printed_Garment_Measurements_in_S_0""",29
" ""48430.jpg""",29
" ""27356.jpg""",29
" ""4402.jpg""",28
" ""38808.jpg""",28
" ""6181.jpg""",28
" ""2012.jpg""",28
" ""29039.jpg""",28
" ""43102.jpg""",28
" ""3060.jpg""",28
" ""9935.jpg""",28
" ""46410.jpg""",28
" ""42164.jpg""",27
" ""42107.jpg""",27
" ""18843.jpg""",27
" ""31255.jpg""",27
" ""3874.jpg""",27
" ""31574.jpg""",27
" ""3098.jpg""",27
" ""3751.jpg""",27
" ""3517.jpg""",27
" ""10670.jpg""",27
" ""3884.jpg""",27
" ""52072.jpg""",27
" ""12556.jpg""",27
" ""44636.jpg""",27
" ""18230.jpg""",27
" ""36559.jpg""",27
" ""Gini_and_Jony_Kids-Boys_Boys_White_Fashion_Summer_2012_Casual_Printed_Garment_Measurements_in_Short__1""",27
" ""16427.jpg""",27
" ""57796.jpg""",26
" ""32435.jpg""",26
" ""30355.jpg""",26
" ""20297.jpg""",26
" ""28997.jpg""",26
" ""35887.jpg""",26
" ""6225.jpg""",26
" ""17936.jpg""",26
" ""6757.jpg""",26
" ""11765.jpg""",26
" ""35271.jpg""",26
" ""4406.jpg""",26
" ""22318.jpg""",26
" ""12560.jpg""",26
" ""Provogue_Adults-Men_Men_White_Fashion_Fall_2011_Casual_Regular_Fit_Printed_Garment_Measurements_in_S_5""",26
" ""5669.jpg""",26
" ""6155.jpg""",26
" ""20250.jpg""",25
" ""10410.jpg""",25
" ""16629.jpg""",25
" ""30319.jpg""",25
" ""30322.jpg""",25
" ""16288.jpg""",25
" ""3722.jpg""",25
" ""53800.jpg""",25
" ""16428.jpg""",25
" ""14910.jpg""",25
" ""6538.jpg""",25
" ""5664.jpg""",25
" ""7285.jpg""",25
" ""19803.jpg""",25
" ""3055.jpg""",25
" ""25366.jpg""",25
" ""5556.jpg""",25
" ""8557.jpg""",25
" ""2700.jpg""",25
" ""16534.jpg""",25
" ""31272.jpg""",25
" ""25546.jpg""",25
" ""11269.jpg""",25
" ""3847.jpg""",25
" ""23175.jpg""",25
" ""31281.jpg""",25
" ""38521.jpg""",25
" ""34406.jpg""",25
" ""3410.jpg""",25
" ""16425.jpg""",25
" ""10472.jpg""",25
" ""4375.jpg""",25
" ""10455.jpg""",25
" ""Provogue_Adults-Men_Men_White_Fashion_Fall_2011_Casual_Regular_Fit_Printed_Garment_Measurements_in_S_1""",25
" ""26472.jpg""",25
" ""15577.jpg""",25
" ""7763.jpg""",25
" ""5157.jpg""",25
" ""7903.jpg""",25
" ""9828.jpg""",25
" ""34365.jpg""",25
" ""45969.jpg""",25
" ""34370.jpg""",25
" ""13291.jpg""",25
" ""56227.jpg""",25
" ""2788.jpg""",25
" ""US_Polo_Assn_Adults-Men_Men_Navy_Blue_Fashion_Fall_2011_Casual_Regular_Fit_Striped_Garment_Measur_2""",25
" ""7888.jpg""",25
" ""5016.jpg""",25
" ""3867.jpg""",25
" ""3873.jpg""",25
" ""4260.jpg""",25
" ""7934.jpg""",25
" ""6932.jpg""",24
" ""37569.jpg""",24
" ""24950.jpg""",24
" ""6693.jpg""",24
" ""3280.jpg""",24
" ""38949.jpg""",24
" ""8371.jpg""",24
" ""46684.jpg""",24
" ""27370.jpg""",24
" ""34410.jpg""",24
" ""Femella_Adults-Women_Women_Blue_Fashion_Summer_2012_Casual_Solid_To-Fit_Denotes_Body_Measurements_in_5""",24
" ""53115.jpg""",24
" ""56236.jpg""",24
" ""26362.jpg""",24
" ""7028.jpg""",24
" ""45531.jpg""",24
" ""12846.jpg""",24
" ""32970.jpg""",24
" ""48401.jpg""",24
" ""51616.jpg""",24
" ""22368.jpg""",24
" ""14584.jpg""",24
" ""49940.jpg""",24
" ""17251.jpg""",24
" ""7938.jpg""",24
" ""14296.jpg""",24
" ""58385.jpg""",24
" ""Provogue_Adults-Men_Men_White_Fashion_Fall_2011_Casual_Regular_Fit_Printed_Garment_Measurements_in_S_4""",24
" ""6918.jpg""",24
" ""24016.jpg""",24
" ""8012.jpg""",24
" ""16234.jpg""",24
" ""3869.jpg""",24
" ""32424.jpg""",24
" ""24343.jpg""",24
" ""10341.jpg""",24
" ""1924.jpg""",24
" ""34320.jpg""",24
" ""16824.jpg""",24
" ""9952.jpg""",24
" ""3054.jpg""",24
" ""Little_Miss_Adults-Women_Women_Blue_Fashion_Fall_2011_Casual_Regular_Fit_Printed_Garment_Measurement_4""",24
" ""3211.jpg""",24
" ""3957.jpg""",24
" ""5165.jpg""",24
" ""11008.jpg""",24
" ""4226.jpg""",24
" ""37632.jpg""",24
" ""7957.jpg""",24
" ""12225.jpg""",24
" ""7150.jpg""",24
" ""8414.jpg""",24
" ""27357.jpg""",24
" ""5097.jpg""",23
" ""31274.jpg""",23
" ""17280.jpg""",23
" ""Puma_Adults-Men_Men_Blue_Fashion_Fall_2011_Sports_Regular_Fit_Printed_Garment_Measurements_in_Short__3""",23
" ""5213.jpg""",23
" ""44225.jpg""",23
" ""31290.jpg""",23
" ""2969.jpg""",23
" ""47527.jpg""",23
" ""37610.jpg""",23
" ""2345.jpg""",23
" ""Puma_Adults-Men_Men_Blue_Fashion_Fall_2011_Sports_Regular_Fit_Printed_Garment_Measurements_in_Short__1""",23
" ""15470.jpg""",23
" ""24594.jpg""",23
" ""40383.jpg""",23
" ""13336.jpg""",23
" ""15195.jpg""",23
" ""3356.jpg""",23
" ""13501.jpg""",23
" ""34193.jpg""",23
" ""11254.jpg""",23
" ""38958.jpg""",23
" ""46381.jpg""",23
" ""57423.jpg""",23
" ""26478.jpg""",23
" ""5850.jpg""",23
" ""44899.jpg""",23
" ""44831.jpg""",23
" ""44903.jpg""",23
" ""2865.jpg""",23
