product_name,total_shared_attributes
" ""34856.jpg""",18
" ""3835.jpg""",18
" ""57941.jpg""",18
" ""26666.jpg""",18
" ""44520.jpg""",17
" ""15352.jpg""",17
" ""11948.jpg""",17
" ""5386.jpg""",17
" ""35633.jpg""",17
" ""28324.jpg""",17
" ""35669.jpg""",16
" ""59040.jpg""",16
" ""3560.jpg""",16
" ""44212.jpg""",16
" ""10278.jpg""",16
" ""11869.jpg""",16
" ""20762.jpg""",16
" ""39213.jpg""",16
" ""46885.jpg""",16
" ""55653.jpg""",16
" ""7039.jpg""",16
" ""12520.jpg""",16
" ""47560.jpg""",16
" ""22872.jpg""",16
" ""35936.jpg""",16
" ""38547.jpg""",15
" ""45800.jpg""",15
" ""17837.jpg""",15
" ""10083.jpg""",15
" ""43005.jpg""",15
" ""30246.jpg""",15
" ""39193.jpg""",15
" ""39571.jpg""",15
" ""44196.jpg""",15
" ""19875.jpg""",15
" ""46081.jpg""",15
" ""20279.jpg""",15
" ""41878.jpg""",15
" ""8982.jpg""",15
" ""33091.jpg""",15
" ""12927.jpg""",15
" ""24691.jpg""",15
" ""59944.jpg""",15
" ""49369.jpg""",15
" ""53143.jpg""",15
" ""50752.jpg""",15
" ""57303.jpg""",15
" ""8546.jpg""",15
" ""15264.jpg""",15
" ""51376.jpg""",15
" ""47604.jpg""",15
" ""26618.jpg""",15
" ""44817.jpg""",15
" ""35541.jpg""",15
" ""7396.jpg""",15
" ""5896.jpg""",15
" ""44756.jpg""",15
" ""33107.jpg""",15
" ""53877.jpg""",15
" ""35492.jpg""",15
" ""57487.jpg""",15
" ""2899.jpg""",14
" ""26696.jpg""",14
" ""56938.jpg""",14
" ""39741.jpg""",14
" ""57308.jpg""",14
" ""35818.jpg""",14
" ""3563.jpg""",14
" ""16164.jpg""",14
" ""43882.jpg""",14
" ""44577.jpg""",14
" ""54742.jpg""",14
" ""18555.jpg""",14
" ""22499.jpg""",14
" ""2901.jpg""",14
" ""46582.jpg""",14
" ""35797.jpg""",14
" ""33858.jpg""",14
" ""50164.jpg""",14
" ""33838.jpg""",14
" ""17003.jpg""",14
" ""22129.jpg""",14
" ""37968.jpg""",14
" ""24768.jpg""",14
" ""44941.jpg""",14
" ""28316.jpg""",14
" ""23338.jpg""",14
" ""11506.jpg""",14
" ""35571.jpg""",14
" ""34855.jpg""",14
" ""56904.jpg""",14
" ""5677.jpg""",14
" ""32856.jpg""",14
" ""7373.jpg""",14
" ""15734.jpg""",14
" ""11986.jpg""",14
" ""3549.jpg""",14
" ""Franco_Leone_Adults-Men_Men_Black_Fashion_Summer_2012_Casual_Velcro_Leather_Sandals_Footwear_Sandal_2""",14
" ""19123.jpg""",14
" ""12980.jpg""",14
" ""6146.jpg""",14
" ""51375.jpg""",14
" ""21744.jpg""",14
" ""17051.jpg""",14
" ""42271.jpg""",14
" ""26179.jpg""",14
" ""14349.jpg""",14
" ""47229.jpg""",14
" ""57525.jpg""",14
" ""44460.jpg""",14
" ""10170.jpg""",14
" ""45618.jpg""",14
" ""41691.jpg""",14
" ""45371.jpg""",14
" ""56965.jpg""",14
" ""45789.jpg""",14
" ""45425.jpg""",14
" ""53453.jpg""",14
" ""Clarks_Adults-Men_Men_Black_Fashion_Fall_2012_Casual_Synthetic_Leather_Slip-On_Sandals_Footwear_Sand_1""",14
" ""23825.jpg""",14
" ""41921.jpg""",14
" ""49830.jpg""",13
" ""15071.jpg""",13
" ""12893.jpg""",13
" ""57506.jpg""",13
" ""8527.jpg""",13
" ""19370.jpg""",13
" ""39576.jpg""",13
" ""35554.jpg""",13
" ""44942.jpg""",13
" ""12858.jpg""",13
" ""59763.jpg""",13
" ""1728.jpg""",13
" ""43480.jpg""",13
" ""2874.jpg""",13
" ""55628.jpg""",13
" ""17052.jpg""",13
" ""12970.jpg""",13
" ""35796.jpg""",13
" ""18875.jpg""",13
" ""57009.jpg""",13
" ""33848.jpg""",13
" ""26633.jpg""",13
" ""4650.jpg""",13
" ""39961.jpg""",13
" ""17743.jpg""",13
" ""49588.jpg""",13
" ""26622.jpg""",13
" ""29262.jpg""",13
" ""54105.jpg""",13
" ""4653.jpg""",13
" ""42750.jpg""",13
" ""55651.jpg""",13
" ""43875.jpg""",13
" ""50177.jpg""",13
" ""49435.jpg""",13
" ""5692.jpg""",13
" ""56899.jpg""",13
" ""33117.jpg""",13
" ""12424.jpg""",13
" ""2894.jpg""",13
" ""45589.jpg""",13
" ""57948.jpg""",13
" ""35641.jpg""",13
" ""12479.jpg""",13
" ""2639.jpg""",13
" ""35643.jpg""",13
" ""22179.jpg""",13
" ""12854.jpg""",13
" ""49502.jpg""",13
" ""12477.jpg""",13
" ""43229.jpg""",13
" ""47644.jpg""",13
" ""47645.jpg""",13
" ""33656.jpg""",13
" ""4275.jpg""",13
" ""33511.jpg""",13
" ""41222.jpg""",13
" ""38657.jpg""",13
" ""2399.jpg""",13
" ""33531.jpg""",13
" ""20923.jpg""",13
" ""22231.jpg""",13
" ""17648.jpg""",13
" ""24820.jpg""",13
" ""36432.jpg""",13
" ""10156.jpg""",13
" ""36428.jpg""",13
" ""45357.jpg""",13
" ""26532.jpg""",13
" ""24190.jpg""",12
" ""57466.jpg""",12
" ""58231.jpg""",12
" ""11966.jpg""",12
" ""25478.jpg""",12
" ""54136.jpg""",12
" ""13213.jpg""",12
" ""24417.jpg""",12
" ""59022.jpg""",12
" ""2494.jpg""",12
" ""33137.jpg""",12
" ""57935.jpg""",12
" ""56962.jpg""",12
" ""29554.jpg""",12
" ""17679.jpg""",12
" ""19928.jpg""",12
" ""11967.jpg""",12
" ""7036.jpg""",12
" ""ADIDAS_Adults-Men_Men_Black_Fashion_Summer_2012_Sports_Training_or_Gym_Sports_Shoes_Footwear_Shoes_0""",12
" ""20813.jpg""",12
" ""23095.jpg""",12
" ""39560.jpg""",12
" ""24084.jpg""",12
" ""5620.jpg""",12
" ""35488.jpg""",12
" ""13365.jpg""",12
" ""22182.jpg""",12
" ""41232.jpg""",12
" ""2821.jpg""",12
" ""20714.jpg""",12
" ""54131.jpg""",12
" ""57854.jpg""",12
" ""14341.jpg""",12
" ""30233.jpg""",12
" ""39583.jpg""",12
" ""39275.jpg""",12
" ""57484.jpg""",12
" ""6637.jpg""",12
" ""56887.jpg""",12
" ""35428.jpg""",12
" ""27080.jpg""",12
" ""9274.jpg""",12
" ""38525.jpg""",12
" ""9323.jpg""",12
" ""45419.jpg""",12
" ""22230.jpg""",12
" ""10742.jpg""",12
" ""20794.jpg""",12
" ""27079.jpg""",12
" ""3652.jpg""",12
" ""17050.jpg""",12
" ""17701.jpg""",12
" ""56897.jpg""",12
" ""13171.jpg""",12
" ""45323.jpg""",12
" ""43364.jpg""",12
" ""5290.jpg""",12
" ""24250.jpg""",12
" ""54117.jpg""",12
" ""44549.jpg""",12
" ""15457.jpg""",12
" ""44240.jpg""",12
" ""35687.jpg""",12
" ""42698.jpg""",12
" ""37250.jpg""",12
" ""35635.jpg""",12
" ""21087.jpg""",12
" ""43956.jpg""",12
" ""16117.jpg""",12
" ""13079.jpg""",12
" ""15877.jpg""",12
" ""55646.jpg""",12
" ""19129.jpg""",12
" ""34119.jpg""",12
" ""47212.jpg""",12
" ""59764.jpg""",12
" ""17833.jpg""",12
" ""2474.jpg""",12
" ""47211.jpg""",12
" ""12878.jpg""",12
" ""6114.jpg""",12
" ""6122.jpg""",12
" ""49577.jpg""",12
" ""26667.jpg""",12
" ""32845.jpg""",12
" ""41829.jpg""",12
" ""54072.jpg""",12
" ""18536.jpg""",12
" ""6138.jpg""",12
" ""50736.jpg""",12
" ""24705.jpg""",12
" ""34640.jpg""",12
" ""3228.jpg""",12
" ""24717.jpg""",12
" ""10271.jpg""",12
" ""56931.jpg""",12
" ""2888.jpg""",12
" ""26620.jpg""",12
" ""56402.jpg""",12
" ""3633.jpg""",12
" ""35558.jpg""",12
" ""33094.jpg""",12
" ""15886.jpg""",12
" ""13481.jpg""",12
" ""23899.jpg""",12
" ""15357.jpg""",12
" ""21724.jpg""",12
" ""33108.jpg""",12
" ""35664.jpg""",12
" ""33110.jpg""",12
" ""58229.jpg""",12
" ""28638.jpg""",12
" ""58335.jpg""",12
" ""43889.jpg""",12
" ""44562.jpg""",12
" ""6675.jpg""",12
" ""34848.jpg""",12
" ""35783.jpg""",12
" ""9030.jpg""",12
" ""34736.jpg""",12
" ""47168.jpg""",12
" ""32181.jpg""",12
" ""47172.jpg""",12
" ""18478.jpg""",12
" ""11895.jpg""",12
" ""29239.jpg""",12
" ""2389.jpg""",12
" ""32179.jpg""",12
" ""35382.jpg""",12
" ""3619.jpg""",12
" ""24076.jpg""",11
" ""45390.jpg""",11
" ""20698.jpg""",11
" ""34538.jpg""",11
" ""33705.jpg""",11
" ""44216.jpg""",11
" ""34541.jpg""",11
" ""44537.jpg""",11
" ""20900.jpg""",11
" ""44218.jpg""",11
" ""34744.jpg""",11
" ""45600.jpg""",11
" ""44428.jpg""",11
" ""14374.jpg""",11
" ""44415.jpg""",11
" ""44405.jpg""",11
" ""33662.jpg""",11
" ""41724.jpg""",11
" ""16118.jpg""",11
" ""3367.jpg""",11
" ""4180.jpg""",11
" ""41667.jpg""",11
" ""45426.jpg""",11
" ""44447.jpg""",11
" ""33689.jpg""",11
" ""13025.jpg""",11
" ""2218.jpg""",11
" ""34642.jpg""",11
" ""45416.jpg""",11
" ""23819.jpg""",11
" ""7221.jpg""",11
" ""45421.jpg""",11
" ""15308.jpg""",11
" ""33710.jpg""",11
" ""34068.jpg""",11
" ""22161.jpg""",11
" ""13537.jpg""",11
" ""21055.jpg""",11
" ""44744.jpg""",11
" ""2825.jpg""",11
" ""36295.jpg""",11
" ""4528.jpg""",11
" ""29571.jpg""",11
" ""41861.jpg""",11
" ""29569.jpg""",11
" ""15899.jpg""",11
" ""34073.jpg""",11
" ""28329.jpg""",11
" ""44552.jpg""",11
" ""20797.jpg""",11
" ""9024.jpg""",11
" ""23300.jpg""",11
" ""3636.jpg""",11
" ""51757.jpg""",11
" ""28322.jpg""",11
" ""3634.jpg""",11
" ""20877.jpg""",11
" ""27086.jpg""",11
" ""43928.jpg""",11
" ""6827.jpg""",11
" ""43927.jpg""",11
" ""56974.jpg""",11
" ""15312.jpg""",11
" ""56983.jpg""",11
" ""35223.jpg""",11
" ""2887.jpg""",11
" ""20733.jpg""",11
" ""34850.jpg""",11
" ""34471.jpg""",11
" ""13981.jpg""",11
" ""17765.jpg""",11
" ""13976.jpg""",11
" ""15894.jpg""",11
" ""11951.jpg""",11
" ""6914.jpg""",11
" ""4470.jpg""",11
" ""21185.jpg""",11
" ""44714.jpg""",11
" ""13027.jpg""",11
" ""56990.jpg""",11
" ""57530.jpg""",11
" ""Franco_Leone_Adults-Men_Men_Black_Fashion_Summer_2012_Casual_Velcro_Leather_Sandals_Footwear_Sandal_4**""",11
" ""Franco_Leone_Adults-Men_Men_Black_Fashion_Summer_2012_Casual_Velcro_Leather_Sandals_Footwear_Sandal_3""",11
" ""56868.jpg""",11
" ""39742.jpg""",11
" ""41912.jpg""",11
" ""57531.jpg""",11
" ""21103.jpg""",11
" ""16165.jpg""",11
" ""57507.jpg""",11
" ""23934.jpg""",11
" ""44420.jpg""",11
" ""14377.jpg""",11
" ""5104.jpg""",11
" ""35568.jpg""",11
" ""26628.jpg""",11
" ""42723.jpg""",11
" ""47452.jpg""",11
" ""56933.jpg""",11
" ""32937.jpg""",11
" ""49619.jpg""",11
" ""4272.jpg""",11
" ""56927.jpg""",11
" ""19363.jpg""",11
" ""32857.jpg""",11
" ""42699.jpg""",11
" ""46604.jpg""",11
" ""10272.jpg""",11
" ""35590.jpg""",11
" ""24714.jpg""",11
" ""15070.jpg""",11
" ""15069.jpg""",11
" ""18552.jpg""",11
" ""56902.jpg""",11
" ""50168.jpg""",11
" ""53137.jpg""",11
" ""4628.jpg""",11
" ""26679.jpg""",11
" ""3665.jpg""",11
" ""24412.jpg""",11
" ""26673.jpg""",11
" ""39190.jpg""",11
" ""47569.jpg""",11
" ""47564.jpg""",11
" ""47557.jpg""",11
" ""47551.jpg""",11
" ""39599.jpg""",11
" ""46289.jpg""",11
" ""54125.jpg""",11
" ""19894.jpg""",11
" ""8307.jpg""",11
" ""11898.jpg""",11
" ""4283.jpg""",11
" ""54119.jpg""",11
" ""Red_Tape_Adults-Men_Men_Blue_Core_Winter_2018_Casual_Loafers_Leather_Slip-On_Regular_Casual_Shoes_Fo_3""",11
" ""32839.jpg""",11
" ""9037.jpg""",11
" ""5405.jpg""",11
" ""31947.jpg""",11
" ""39622.jpg""",11
" ""47101.jpg""",11
" ""42269.jpg""",11
" ""47109.jpg""",11
" ""39901.jpg""",11
" ""50761.jpg""",11
" ""5355.jpg""",11
" ""7332.jpg""",11
" ""32188.jpg""",11
" ""11826.jpg""",11
" ""22859.jpg""",11
" ""11858.jpg""",11
" ""11856.jpg""",11
