product_name,total_shared_attributes
" ""9929.jpg""",26
" ""5850.jpg""",25
" ""10348.jpg""",25
" ""38282.jpg""",25
" ""24594.jpg""",25
" ""51616.jpg""",25
" ""34434.jpg""",25
" ""7197.jpg""",25
" ""28563.jpg""",25
" ""26937.jpg""",24
" ""26947.jpg""",24
" ""29299.jpg""",24
" ""26949.jpg""",24
" ""38331.jpg""",24
" ""59090.jpg""",24
" ""4207.jpg""",24
" ""6538.jpg""",24
" ""19674.jpg""",24
" ""21456.jpg""",24
" ""57441.jpg""",24
" ""34015.jpg""",24
" ""4902.jpg""",24
" ""4210.jpg""",24
" ""16234.jpg""",24
" ""41098.jpg""",24
" ""39847.jpg""",24
" ""33558.jpg""",24
" ""35892.jpg""",24
" ""35873.jpg""",24
" ""28528.jpg""",24
" ""56227.jpg""",24
" ""58458.jpg""",24
" ""59580.jpg""",24
" ""12544.jpg""",24
" ""53793.jpg""",24
" ""32592.jpg""",24
" ""29170.jpg""",23
" ""51437.jpg""",23
" ""29297.jpg""",23
" ""26888.jpg""",23
" ""26910.jpg""",23
" ""20250.jpg""",23
" ""37279.jpg""",23
" ""12496.jpg""",23
" ""37636.jpg""",23
" ""48247.jpg""",23
" ""9998.jpg""",23
" ""28999.jpg""",23
" ""33030.jpg""",23
" ""7496.jpg""",23
" ""30141.jpg""",23
" ""12577.jpg""",23
" ""4388.jpg""",23
" ""31574.jpg""",23
" ""17812.jpg""",23
" ""32451.jpg""",23
" ""35441.jpg""",23
" ""33758.jpg""",23
" ""34595.jpg""",23
" ""10988.jpg""",23
" ""32458.jpg""",23
" ""57816.jpg""",23
" ""43102.jpg""",23
" ""6937.jpg""",23
" ""53126.jpg""",23
" ""53803.jpg""",23
" ""57423.jpg""",23
" ""3703.jpg""",23
" ""30328.jpg""",23
" ""57152.jpg""",23
" ""24985.jpg""",23
" ""40373.jpg""",23
" ""55810.jpg""",23
" ""4918.jpg""",23
" ""4200.jpg""",23
" ""3937.jpg""",23
" ""41979.jpg""",22
" ""5823.jpg""",22
" ""Gini_and_Jony_Kids-Boys_Red_Fashion_Summer_2012_Casual_Regular_Fit_Printed_Garment_Measurements_in_S_5""",22
" ""26281.jpg""",22
" ""8465.jpg""",22
" ""12653.jpg""",22
" ""24948.jpg""",22
" ""11774.jpg""",22
" ""17251.jpg""",22
" ""8453.jpg""",22
" ""58732.jpg""",22
" ""10026.jpg""",22
" ""9953.jpg""",22
" ""10646.jpg""",22
" ""34187.jpg""",22
" ""10683.jpg""",22
" ""30138.jpg""",22
" ""5825.jpg""",22
" ""5148.jpg""",22
" ""7157.jpg""",22
" ""19396.jpg""",22
" ""33213.jpg""",22
" ""12592.jpg""",22
" ""4226.jpg""",22
" ""15576.jpg""",22
" ""7483.jpg""",22
" ""4975.jpg""",22
" ""15473.jpg""",22
" ""10377.jpg""",22
" ""2604.jpg""",22
" ""10685.jpg""",22
" ""37600.jpg""",22
" ""40383.jpg""",22
" ""9790.jpg""",22
" ""40136.jpg""",22
" ""17808.jpg""",22
" ""48103.jpg""",22
" ""3208.jpg""",22
" ""10989.jpg""",22
" ""20010.jpg""",22
" ""13160.jpg""",22
" ""38613.jpg""",22
" ""17805.jpg""",22
" ""31586.jpg""",22
" ""38596.jpg""",22
" ""49940.jpg""",22
" ""31298.jpg""",22
" ""2275.jpg""",22
" ""52092.jpg""",22
" ""12797.jpg""",22
" ""13336.jpg""",22
" ""31160.jpg""",22
" ""3686.jpg""",22
" ""52127.jpg""",22
" ""50194.jpg""",22
" ""44693.jpg""",22
" ""2865.jpg""",22
" ""4314.jpg""",22
" ""8364.jpg""",22
" ""27971.jpg""",22
" ""53123.jpg""",22
" ""36316.jpg""",22
" ""9960.jpg""",22
" ""46286.jpg""",22
" ""35877.jpg""",22
" ""11360.jpg""",22
" ""35896.jpg""",22
" ""14584.jpg""",22
" ""38340.jpg""",22
" ""39332.jpg""",22
" ""9334.jpg""",22
" ""46946.jpg""",22
" ""34361.jpg""",22
" ""9333.jpg""",22
" ""29051.jpg""",22
" ""3818.jpg""",22
" ""11656.jpg""",22
" ""35883.jpg""",21
" ""14325.jpg""",21
" ""4263.jpg""",21
" ""3853.jpg""",21
" ""4374.jpg""",21
" ""3526.jpg""",21
" ""3098.jpg""",21
" ""16534.jpg""",21
" ""37601.jpg""",21
" ""6534.jpg""",21
" ""57426.jpg""",21
" ""43137.jpg""",21
" ""6268.jpg""",21
" ""3854.jpg""",21
" ""4957.jpg""",21
" ""13429.jpg""",21
" ""52126.jpg""",21
" ""31119.jpg""",21
" ""57448.jpg""",21
" ""31149.jpg""",21
" ""14650.jpg""",21
" ""38491.jpg""",21
" ""35987.jpg""",21
" ""32568.jpg""",21
" ""7534.jpg""",21
" ""38989.jpg""",21
" ""46381.jpg""",21
" ""33304.jpg""",21
" ""30648.jpg""",21
" ""29028.jpg""",21
" ""43685.jpg""",21
" ""10007.jpg""",21
" ""3409.jpg""",21
" ""53115.jpg""",21
" ""6552.jpg""",21
" ""43692.jpg""",21
