product_name,total_shared_attributes
" ""53667.jpg""",15
" ""2648.jpg""",15
" ""42845.jpg""",15
" ""51936.jpg""",15
" ""16744.jpg""",15
" ""27703.jpg""",15
" ""48169.jpg""",14
" ""53888.jpg""",14
" ""47734.jpg""",14
" ""27745.jpg""",14
" ""54008.jpg""",14
" ""27680.jpg""",14
" ""18047.jpg""",14
" ""47433.jpg""",14
" ""47306.jpg""",14
" ""10242.jpg""",14
" ""46981.jpg""",14
" ""37405.jpg""",14
" ""37858.jpg""",14
" ""57229.jpg""",14
" ""27053.jpg""",14
" ""21978.jpg""",14
" ""49558.jpg""",14
" ""49556.jpg""",14
" ""9922.jpg""",14
" ""25288.jpg""",13
" ""27685.jpg""",13
" ""21507.jpg""",13
" ""20491.jpg""",13
" ""9918.jpg""",13
" ""10253.jpg""",13
" ""20489.jpg""",13
" ""25186.jpg""",13
" ""37432.jpg""",13
" ""21487.jpg""",13
" ""50962.jpg""",13
" ""21497.jpg""",13
" ""53661.jpg""",13
" ""47422.jpg""",13
" ""58278.jpg""",13
" ""29087.jpg""",13
" ""33723.jpg""",13
" ""43292.jpg""",13
" ""35927.jpg""",13
" ""10198.jpg""",13
" ""20603.jpg""",13
" ""9585.jpg""",13
" ""53684.jpg""",13
" ""38688.jpg""",13
" ""47794.jpg""",13
" ""20580.jpg""",13
" ""53682.jpg""",13
" ""47921.jpg""",13
" ""51920.jpg""",13
" ""3387.jpg""",13
" ""25249.jpg""",13
" ""3390.jpg""",13
" ""20510.jpg""",13
" ""Nail Polish""",13
" ""54178.jpg""",13
" ""25220.jpg""",13
" ""47430.jpg""",13
" ""52768.jpg""",13
" ""51880.jpg""",13
" ""44249.jpg""",13
" ""42841.jpg""",13
" ""14882.jpg""",13
" ""54489.jpg""",13
" ""52616.jpg""",13
" ""42847.jpg""",13
" ""49537.jpg""",13
" ""35908.jpg""",13
" ""16758.jpg""",13
" ""21975.jpg""",13
" ""52638.jpg""",13
" ""21967.jpg""",13
" ""53927.jpg""",13
" ""49539.jpg""",13
" ""49547.jpg""",13
" ""53702.jpg""",12
" ""54511.jpg""",12
