product_name,total_shared_attributes
" ""46529.jpg""",14
" ""50394.jpg""",13
" ""19277.jpg""",13
" ""25337.jpg""",13
" ""54648.jpg""",13
" ""43174.jpg""",13
" ""49870.jpg""",13
" ""45888.jpg""",12
" ""58447.jpg""",12
" ""33484.jpg""",12
" ""51579.jpg""",12
" ""45907.jpg""",12
" ""48014.jpg""",12
" ""10139.jpg""",12
" ""29982.jpg""",12
" ""31819.jpg""",12
" ""37477.jpg""",12
" ""50387.jpg""",12
" ""31863.jpg""",12
" ""19284.jpg""",12
" ""19281.jpg""",12
" ""30087.jpg""",12
" ""45895.jpg""",12
" ""32307.jpg""",12
" ""43179.jpg""",12
" ""32308.jpg""",12
" ""45148.jpg""",12
" ""40557.jpg""",12
" ""59223.jpg""",12
" ""46313.jpg""",12
" ""45042.jpg""",11
" ""49880.jpg""",11
" ""51655.jpg""",11
" ""36902.jpg""",11
" ""54631.jpg""",11
" ""17426.jpg""",11
" ""46458.jpg""",11
" ""54666.jpg""",11
" ""45127.jpg""",11
" ""33877.jpg""",11
" ""30070.jpg""",11
" ""51631.jpg""",11
" ""17424.jpg""",11
" ""17422.jpg""",11
" ""46311.jpg""",11
" ""46440.jpg""",11
" ""13840.jpg""",11
" ""45912.jpg""",11
" ""32351.jpg""",11
" ""32339.jpg""",11
" ""32329.jpg""",11
" ""46036.jpg""",11
" ""32315.jpg""",11
" ""32294.jpg""",11
" ""32287.jpg""",11
" ""31834.jpg""",11
" ""37483.jpg""",11
" ""31816.jpg""",11
" ""37328.jpg""",11
" ""37295.jpg""",11
" ""45194.jpg""",11
" ""45175.jpg""",11
" ""45164.jpg""",11
" ""30029.jpg""",11
" ""46318.jpg""",11
" ""Titan_Adults-Women_Women_Maroon_Fashion_Winter_2016_Casual_30_m_Analogue_Watches_Accessories_Watches_4""",11
" ""45160.jpg""",11
" ""45158.jpg""",11
" ""30038.jpg""",11
" ""45928.jpg""",11
" ""29409.jpg""",11
" ""29914.jpg""",11
" ""59254.jpg""",11
" ""25605.jpg""",11
" ""43157.jpg""",11
" ""51624.jpg""",11
" ""46546.jpg""",11
" ""25678.jpg""",11
" ""34624.jpg""",11
" ""52684.jpg""",11
" ""46519.jpg""",11
" ""29440.jpg""",11
" ""51542.jpg""",11
" ""19270.jpg""",11
" ""11216.jpg""",11
" ""29916.jpg""",11
" ""19262.jpg""",11
" ""17453.jpg""",11
" ""DKNY_Adults-Women_Women_White_Fashion_Winter_2016_Casual_Metal_2_years_Mechanical_Water_Resistant_Ca_3""",11
" ""48037.jpg""",11
" ""51573.jpg""",11
" ""19255.jpg""",11
" ""33914.jpg""",11
" ""33919.jpg""",11
" ""maxima_Adults-Women_Women_Silver_Fashion_Winter_2016_Casual_Water_Resistant_Analogue_Watches_Accesso_4""",11
" ""51516.jpg""",11
" ""43730.jpg""",10
" ""45294.jpg""",10
" ""39023.jpg""",10
" ""39017.jpg""",10
" ""26338.jpg""",10
" ""39026.jpg""",10
" ""26350.jpg""",10
" ""31825.jpg""",10
" ""43216.jpg""",10
" ""51562.jpg""",10
" ""51534.jpg""",10
" ""43219.jpg""",10
" ""32281.jpg""",10
" ""45227.jpg""",10
" ""52686.jpg""",10
" ""51536.jpg""",10
" ""11210.jpg""",10
" ""32349.jpg""",10
" ""32350.jpg""",10
" ""Fossil_Adults-Men_Men_Black_Fashion_Winter_2016_Casual_Stainless_Steel_2_years_Mechanical_100_m_Casu_2""",10
" ""51550.jpg""",10
" ""45915.jpg""",10
" ""23278.jpg""",10
" ""30023.jpg""",10
" ""45218.jpg""",10
" ""30084.jpg""",10
" ""54663.jpg""",10
" ""25309.jpg""",10
" ""54644.jpg""",10
" ""54635.jpg""",10
" ""29912.jpg""",10
" ""29934.jpg""",10
" ""30080.jpg""",10
" ""43756.jpg""",10
" ""51632.jpg""",10
" ""40561.jpg""",10
" ""45916.jpg""",10
" ""40556.jpg""",10
" ""51630.jpg""",10
" ""28430.jpg""",10
" ""25310.jpg""",10
" ""44971.jpg""",10
" ""45021.jpg""",10
" ""25327.jpg""",10
" ""49881.jpg""",10
" ""25336.jpg""",10
" ""25618.jpg""",10
" ""25640.jpg""",10
" ""25666.jpg""",10
" ""45146.jpg""",10
" ""49847.jpg""",10
" ""29494.jpg""",10
" ""29461.jpg""",10
" ""30000.jpg""",10
" ""51581.jpg""",10
" ""53572.jpg""",10
" ""CASIO_Adults-Men_Silver_Fashion_Winter_2016_Casial_Metal_Battery_Casual_Single_Steel_Toned_Solid_Rou_1""",10
" ""43184.jpg""",10
" ""31838.jpg""",10
" ""11000.jpg""",10
" ""21678.jpg""",10
" ""58827.jpg""",10
" ""48038.jpg""",10
" ""37474.jpg""",10
" ""37472.jpg""",10
" ""37324.jpg""",10
" ""19765.jpg""",10
" ""46490.jpg""",10
" ""37311.jpg""",10
" ""59271.jpg""",10
" ""37294.jpg""",10
" ""59282.jpg""",10
" ""46309.jpg""",10
" ""46559.jpg""",10
" ""16774.jpg""",10
" ""33931.jpg""",10
" ""16779.jpg""",10
" ""46517.jpg""",10
" ""56676.jpg""",10
" ""46442.jpg""",10
" ""46443.jpg""",10
" ""43149.jpg""",10
" ""33910.jpg""",10
" ""17432.jpg""",10
" ""46451.jpg""",10
" ""46467.jpg""",10
" ""17421.jpg""",10
" ""46468.jpg""",10
" ""43169.jpg""",10
" ""59255.jpg""",10
" ""34625.jpg""",10
" ""21691.jpg""",10
" ""49026.jpg""",10
" ""19248.jpg""",10
" ""38010.jpg""",10
" ""19271.jpg""",10
" ""43175.jpg""",10
" ""maxima_Adults-Women_Women_Silver_Fashion_Winter_2016_Casual_Water_Resistant_Analogue_Watches_Accesso_1""",10
" ""19285.jpg""",10
" ""46487.jpg""",10
" ""10329.jpg""",10
" ""53588.jpg""",9
" ""51271.jpg""",9
" ""29994.jpg""",9
" ""40521.jpg""",9
" ""17455.jpg""",9
" ""33898.jpg""",9
" ""40551.jpg""",9
" ""29944.jpg""",9
" ""33904.jpg""",9
" ""33907.jpg""",9
" ""11188.jpg""",9
" ""11200.jpg""",9
" ""29928.jpg""",9
" ""29927.jpg""",9
" ""29922.jpg""",9
" ""29921.jpg""",9
" ""19249.jpg""",9
" ""29918.jpg""",9
" ""33923.jpg""",9
" ""17450.jpg""",9
" ""40506.jpg""",9
" ""33928.jpg""",9
" ""30054.jpg""",9
" ""30075.jpg""",9
" ""30071.jpg""",9
" ""33887.jpg""",9
" ""17419.jpg""",9
" ""28576.jpg""",9
" ""30063.jpg""",9
" ""28581.jpg""",9
" ""17425.jpg""",9
" ""30048.jpg""",9
" ""58445.jpg""",9
" ""30043.jpg""",9
" ""30041.jpg""",9
" ""17428.jpg""",9
" ""51559.jpg""",9
" ""30035.jpg""",9
" ""17431.jpg""",9
" ""58822.jpg""",9
" ""30025.jpg""",9
" ""11207.jpg""",9
" ""19266.jpg""",9
" ""53589.jpg""",9
" ""59227.jpg""",9
" ""59220.jpg""",9
" ""19298.jpg""",9
" ""29497.jpg""",9
" ""19299.jpg""",9
" ""58941.jpg""",9
" ""29489.jpg""",9
" ""58940.jpg""",9
" ""58939.jpg""",9
" ""29413.jpg""",9
" ""29411.jpg""",9
" ""29410.jpg""",9
" ""58934.jpg""",9
" ""53625.jpg""",9
" ""53601.jpg""",9
" ""51515.jpg""",9
" ""48046.jpg""",9
" ""53579.jpg""",9
" ""25654.jpg""",9
" ""25631.jpg""",9
" ""29909.jpg""",9
" ""25606.jpg""",9
" ""19267.jpg""",9
" ""11220.jpg""",9
" ""46526.jpg""",9
" ""34619.jpg""",9
" ""11222.jpg""",9
" ""25317.jpg""",9
" ""46530.jpg""",9
" ""25328.jpg""",9
" ""18534.jpg""",9
" ""11226.jpg""",9
" ""11228.jpg""",9
" ""48015.jpg""",9
" ""CASIO_Adults-Men_Silver_Fashion_Winter_2016_Casual_Metal_Battery_Casical_Single_Steel_Toned_Solid_Rou_2""",9
" ""41029.jpg""",9
" ""59259.jpg""",9
" ""48030.jpg""",9
" ""41035.jpg""",9
" ""25311.jpg""",9
" ""49029.jpg""",9
" ""46488.jpg""",9
" ""31866.jpg""",9
" ""31862.jpg""",9
" ""22931.jpg""",9
" ""22944.jpg""",9
" ""31842.jpg""",9
" ""21671.jpg""",9
" ""21664.jpg""",9
" ""31830.jpg""",9
" ""37494.jpg""",9
" ""31822.jpg""",9
" ""31818.jpg""",9
" ""31725.jpg""",9
" ""45295.jpg""",9
" ""56346.jpg""",9
" ""45292.jpg""",9
" ""45290.jpg""",9
" ""45287.jpg""",9
" ""8124.jpg""",9
" ""8136.jpg""",9
" ""48812.jpg""",9
" ""37334.jpg""",9
" ""23270.jpg""",9
