product_name,total_shared_attributes
" ""33067.jpg""",23
" ""14036.jpg""",23
" ""43486.jpg""",23
" ""17565.jpg""",23
" ""30798.jpg""",23
" ""8780.jpg""",23
" ""17546.jpg""",23
" ""9422.jpg""",23
" ""16389.jpg""",23
" ""19690.jpg""",23
" ""7177.jpg""",23
" ""11059.jpg""",23
" ""25530.jpg""",23
" ""23084.jpg""",22
" ""11110.jpg""",22
" ""15999.jpg""",22
" ""15990.jpg""",22
" ""23198.jpg""",22
" ""27152.jpg""",22
" ""51430.jpg""",22
" ""13731.jpg""",22
" ""21020.jpg""",22
" ""16341.jpg""",22
" ""11166.jpg""",22
" ""17576.jpg""",22
" ""31302.jpg""",22
" ""19709.jpg""",22
" ""12010.jpg""",22
" ""2163.jpg""",22
" ""17282.jpg""",22
" ""12041.jpg""",22
" ""17164.jpg""",22
" ""32395.jpg""",22
" ""9878.jpg""",22
" ""12244.jpg""",22
" ""12253.jpg""",22
" ""17553.jpg""",22
" ""19830.jpg""",22
" ""17554.jpg""",22
" ""22472.jpg""",22
" ""15963.jpg""",22
" ""22569.jpg""",22
" ""13737.jpg""",22
" ""18646.jpg""",22
" ""14767.jpg""",22
" ""39773.jpg""",22
" ""19204.jpg""",22
" ""29390.jpg""",22
" ""26116.jpg""",22
" ""14515.jpg""",22
" ""39781.jpg""",22
" ""24283.jpg""",22
" ""9472.jpg""",22
" ""14753.jpg""",22
" ""44381.jpg""",22
" ""9253.jpg""",22
" ""9570.jpg""",22
" ""9070.jpg""",22
" ""19175.jpg""",22
" ""26043.jpg""",22
" ""8888.jpg""",22
" ""46378.jpg""",22
" ""37747.jpg""",22
" ""26389.jpg""",22
" ""26042.jpg""",22
" ""9592.jpg""",22
" ""9612.jpg""",22
" ""39803.jpg""",22
" ""26390.jpg""",22
" ""31636.jpg""",21
" ""8863.jpg""",21
" ""9465.jpg""",21
" ""31643.jpg""",21
" ""2129.jpg""",21
" ""9635.jpg""",21
" ""21236.jpg""",21
" ""21124.jpg""",21
" ""9250.jpg""",21
" ""9072.jpg""",21
" ""18314.jpg""",21
" ""17182.jpg""",21
" ""11108.jpg""",21
" ""8887.jpg""",21
" ""8809.jpg""",21
" ""11163.jpg""",21
" ""9226.jpg""",21
" ""11377.jpg""",21
" ""8778.jpg""",21
" ""11250.jpg""",21
" ""9229.jpg""",21
" ""20135.jpg""",21
" ""9237.jpg""",21
" ""9246.jpg""",21
" ""8854.jpg""",21
" ""12658.jpg""",21
" ""12004.jpg""",21
" ""44348.jpg""",21
" ""23200.jpg""",21
" ""13730.jpg""",21
" ""37210.jpg""",21
" ""13882.jpg""",21
" ""15910.jpg""",21
" ""46351.jpg""",21
" ""14076.jpg""",21
" ""37813.jpg""",21
" ""15698.jpg""",21
" ""38979.jpg""",21
" ""26107.jpg""",21
" ""23194.jpg""",21
" ""24853.jpg""",21
" ""14733.jpg""",21
" ""26068.jpg""",21
" ""43030.jpg""",21
" ""19200.jpg""",21
" ""19199.jpg""",21
" ""26049.jpg""",21
" ""41660.jpg""",21
" ""41636.jpg""",21
" ""19152.jpg""",21
" ""13662.jpg""",21
" ""26796.jpg""",21
" ""12009.jpg""",21
" ""12638.jpg""",21
" ""12015.jpg""",21
" ""12026.jpg""",21
" ""17163.jpg""",21
" ""17161.jpg""",21
" ""33289.jpg""",21
" ""12235.jpg""",21
" ""12238.jpg""",21
" ""12292.jpg""",21
" ""12316.jpg""",21
" ""12326.jpg""",21
" ""30461.jpg""",21
" ""51410.jpg""",21
" ""16545.jpg""",21
" ""5623.jpg""",21
" ""22575.jpg""",21
" ""19707.jpg""",21
" ""53152.jpg""",21
" ""16340.jpg""",21
" ""16334.jpg""",21
" ""27154.jpg""",21
" ""51427.jpg""",21
" ""51413.jpg""",21
" ""9650.jpg""",21
" ""39801.jpg""",21
" ""30111.jpg""",21
" ""29721.jpg""",21
" ""9654.jpg""",21
" ""29708.jpg""",21
" ""10432.jpg""",21
" ""20191.jpg""",21
" ""9665.jpg""",21
" ""29692.jpg""",21
" ""9806.jpg""",21
" ""8776.jpg""",20
" ""17550.jpg""",20
" ""17189.jpg""",20
" ""17555.jpg""",20
" ""9240.jpg""",20
" ""14747.jpg""",20
" ""17193.jpg""",20
" ""18306.jpg""",20
" ""30789.jpg""",20
" ""13877.jpg""",20
" ""16339.jpg""",20
" ""9239.jpg""",20
" ""16332.jpg""",20
" ""26087.jpg""",20
" ""23982.jpg""",20
" ""17548.jpg""",20
" ""15578.jpg""",20
" ""6007.jpg""",20
" ""29649.jpg""",20
" ""30782.jpg""",20
" ""26075.jpg""",20
" ""12024.jpg""",20
" ""12016.jpg""",20
" ""43308.jpg""",20
" ""26073.jpg""",20
" ""29826.jpg""",20
" ""9259.jpg""",20
" ""8152.jpg""",20
" ""12013.jpg""",20
" ""17178.jpg""",20
" ""9659.jpg""",20
" ""29696.jpg""",20
" ""9245.jpg""",20
" ""26076.jpg""",20
" ""17569.jpg""",20
" ""17567.jpg""",20
" ""17564.jpg""",20
" ""17563.jpg""",20
" ""18763.jpg""",20
" ""11105.jpg""",20
" ""10352.jpg""",20
" ""9235.jpg""",20
" ""14721.jpg""",20
" ""11117.jpg""",20
" ""31620.jpg""",20
" ""13746.jpg""",20
" ""32502.jpg""",20
" ""30806.jpg""",20
" ""16048.jpg""",20
" ""11521.jpg""",20
" ""20025.jpg""",20
" ""19594.jpg""",20
" ""2126.jpg""",20
" ""37117.jpg""",20
" ""19559.jpg""",20
" ""26112.jpg""",20
" ""20031.jpg""",20
" ""48374.jpg""",20
" ""15984.jpg""",20
" ""18319.jpg""",20
" ""14624.jpg""",20
" ""18323.jpg""",20
" ""10407.jpg""",20
" ""8862.jpg""",20
" ""23201.jpg""",20
" ""2136.jpg""",20
" ""11064.jpg""",20
" ""23083.jpg""",20
" ""14668.jpg""",20
" ""48062.jpg""",20
" ""30210.jpg""",20
" ""23036.jpg""",20
" ""13832.jpg""",20
" ""30799.jpg""",20
" ""17540.jpg""",20
" ""31640.jpg""",20
" ""Arrow_Sport_Adults-Men_Men_White_Fashion_Fall_2011_Casual_Regular_Fit_Striped_Garment_Measurements_i_2""",20
" ""27888.jpg""",20
" ""21596.jpg""",20
" ""26105.jpg""",20
" ""31654.jpg""",20
" ""39785.jpg""",20
" ""26425.jpg""",20
" ""30112.jpg""",20
" ""32930.jpg""",20
" ""43960.jpg""",20
" ""13756.jpg""",20
" ""32759.jpg""",20
" ""8898.jpg""",20
" ""8895.jpg""",20
" ""29823.jpg""",20
" ""5996.jpg""",20
