product_name,total_shared_attributes
" ""49141.jpg""",8
" ""55502.jpg""",8
" ""56063.jpg""",8
" ""57560.jpg""",7
" ""55503.jpg""",7
" ""55464.jpg""",7
" ""12199.jpg""",7
" ""10716.jpg""",7
" ""55995.jpg""",7
" ""4943.jpg""",7
" ""7284.jpg""",7
" ""55969.jpg""",7
" ""22795.jpg""",7
" ""2265.jpg""",7
" ""56506.jpg""",7
" ""55186.jpg""",7
" ""51420.jpg""",7
" ""16643.jpg""",7
" ""6572.jpg""",7
" ""49118.jpg""",7
" ""57576.jpg""",7
" ""15189.jpg""",7
" ""31549.jpg""",7
" ""56029.jpg""",7
" ""32428.jpg""",7
" ""20322.jpg""",7
" ""3738.jpg""",7
" ""13315.jpg""",7
" ""55441.jpg""",7
" ""2603.jpg""",7
" ""55380.jpg""",7
" ""56521.jpg""",7
" ""33940.jpg""",6
" ""19390.jpg""",6
" ""11753.jpg""",6
" ""59838.jpg""",6
" ""25529.jpg""",6
" ""22630.jpg""",6
" ""5499.jpg""",6
" ""38150.jpg""",6
" ""19396.jpg""",6
" ""7704.jpg""",6
" ""53114.jpg""",6
" ""37295.jpg""",6
" ""7756.jpg""",6
" ""45018.jpg""",6
" ""17203.jpg""",6
" ""19933.jpg""",6
" ""10776.jpg""",6
" ""33941.jpg""",6
" ""52127.jpg""",6
" ""13253.jpg""",6
" ""19423.jpg""",6
" ""28523.jpg""",6
" ""39835.jpg""",6
" ""59826.jpg""",6
" ""37918.jpg""",6
" ""31049.jpg""",6
" ""40135.jpg""",6
" ""33315.jpg""",6
" ""40143.jpg""",6
" ""3612.jpg""",6
" ""34037.jpg""",6
" ""24547.jpg""",6
" ""46239.jpg""",6
" ""56540.jpg""",6
" ""3934.jpg""",6
" ""56001.jpg""",6
" ""39325.jpg""",6
" ""49012.jpg""",6
" ""39318.jpg""",6
" ""12840.jpg""",6
" ""40198.jpg""",6
" ""50195.jpg""",6
" ""12850.jpg""",6
" ""34354.jpg""",6
" ""18813.jpg""",6
" ""56554.jpg""",6
" ""17273.jpg""",6
" ""44680.jpg""",6
" ""16458.jpg""",6
" ""7555.jpg""",6
" ""36272.jpg""",6
" ""43730.jpg""",6
" ""10678.jpg""",6
" ""9954.jpg""",6
" ""8935.jpg""",6
" ""25376.jpg""",6
" ""4030.jpg""",6
" ""16459.jpg""",6
" ""25050.jpg""",6
" ""CASIO_Adults-Men_Silver_Fashion_Winter_2016_Casial_Metal_Battery_Casual_Single_Steel_Toned_Solid_Rou_1""",6
" ""Belmonte_Adults-Men_Men_Steel_Fashion_Fall_2011_Formal_Cufflinks_Accessories_Cufflinks_4""",6
" ""36751.jpg""",6
" ""57732.jpg""",6
" ""55213.jpg""",6
" ""18445.jpg""",6
" ""55496.jpg""",6
" ""55499.jpg""",6
" ""48421.jpg""",6
" ""55504.jpg""",6
" ""55507.jpg""",6
" ""Femella_Adults-Women_Women_Gold_Fashion_Summer_2012_Casual_Regular_Fit_Solid_To-Fit_Denotes_Body_Mea_4""",6
" ""55508.jpg""",6
" ""57876.jpg""",6
" ""4843.jpg""",6
" ""55465.jpg""",6
" ""14067.jpg""",6
" ""49143.jpg""",6
" ""11256.jpg""",6
" ""4973.jpg""",6
" ""4972.jpg""",6
" ""30212.jpg""",6
" ""32375.jpg""",6
" ""55295.jpg""",6
" ""13889.jpg""",6
" ""55292.jpg""",6
" ""25917.jpg""",6
" ""46529.jpg""",6
" ""55384.jpg""",6
" ""38632.jpg""",6
" ""6257.jpg""",6
" ""40949.jpg""",6
" ""40950.jpg""",6
" ""32464.jpg""",6
" ""49829.jpg""",6
" ""34581.jpg""",6
" ""26273.jpg""",6
" ""55509.jpg""",6
" ""55007.jpg""",6
" ""32654.jpg""",6
" ""Gini_and_Jony_Kids-Boys_Boys_Red_Fashion_Summer_2012_Casual_Regular_Fit_Printed_Garment_Measurements_4""",6
" ""37221.jpg""",6
" ""38247.jpg""",6
" ""49326.jpg""",6
" ""36435.jpg""",6
" ""55000.jpg""",6
" ""57655.jpg""",6
" ""21391.jpg""",6
" ""1926.jpg""",6
" ""35258.jpg""",6
" ""30793.jpg""",6
" ""35265.jpg""",6
" ""11728.jpg""",6
" ""55008.jpg""",6
" ""8811.jpg""",6
" ""22931.jpg""",6
" ""13503.jpg""",6
" ""11097.jpg""",6
