Folder,Mean_1,Min_1,Max_1,Std_1,Mean_2,Min_2,Max_2,Std_2
Calvin_Klein_Underwear_Adults-Men_Men_White_Fashion_Summer_2016_Casual_Nylon_Elastane_Mid-Rise_Brief,0.6299227,0.5533125,0.6737241,0.044274427,0.55170723,0.45263376,0.6567794,0.0559664
Arrow_Adults-Men_Men_Grey_Fashion_Summer_2012_Formal_Regular_Fit_Checked_Garment_Measurements_in_Sho,0.41051435,0.23499832,0.48845667,0.09400051,0.42912522,0.22124231,0.5376835,0.11386283
Fossil_Adults-Women_Women_White_Fashion_Winter_2016_Casual_Stainless_Steel_1_year_Mechanical_50_m_Ca,0.6118684,0.5088706,0.70202166,0.07111025,0.5115731,0.41035318,0.59365445,0.059750624
Nike_Adults-Unisex_Unisex_Black_Fashion_Winter_2012_Casual_Solid_Embellished_Backpacks_Accessories_B,0.5796256,0.44237724,0.6358225,0.070042774,0.5364005,0.42838052,0.6590601,0.08749491
Remanika_Adults-Women_Women_Pink_Fashion_Summer_2012_Casual_Garment_Measurements_in_Tunics_Apparel_T,0.431861,0.36302817,0.47887334,0.040272143,0.45517206,0.41328815,0.5700898,0.058258444
United_Colors_of_Benetton_Adults-Men_Men_Pink_Fashion_Summer_2011_Casual_Garment_Measurements_in_Tsh,0.632824,0.539219,0.71372896,0.06573045,0.6073346,0.55016947,0.65686035,0.038921587
Police_Adults-Women_Women_Brown_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA_Sung,0.75356114,0.7225199,0.78556913,0.02151201,0.6982654,0.6616943,0.7209942,0.021714283
ADIDAS_Adults-Men_Men_Black_Fashion_Summer_2012_Sports_Training_or_Gym_Sports_Shoes_Footwear_Shoes,0.5097803,0.45141873,0.54819554,0.03698494,0.55355644,0.46163645,0.6364548,0.059081584
Nike_Adults-Unisex_Unisex_Black_Fashion_Summer_2011_Casual_NA_Casual_Small_NA_Solid_NA_NA_Up_to_23_L,0.33131123,0.25101498,0.38394848,0.04909231,0.3944306,0.37198418,0.43822658,0.025935981
Provogue_Adults-Men_Men_White_Fashion_Fall_2011_Casual_Regular_Fit_Printed_Garment_Measurements_in_S,0.61443895,0.5286456,0.68191886,0.04966046,0.6312815,0.5978912,0.66603196,0.028661098
Fastrack_Adults-Women_Women_Grey_Fashion_Winter_2016_Casual_Rectangle_Sunglasses_1_year_Long_Clear_N,0.75860274,0.717149,0.80792725,0.037781578,0.65456077,0.61976787,0.7036275,0.027783195
DKNY_Adults-Women_Women_Black_Fashion_Winter_2016_Casual_Synthetic_Hybrid_Mechanical_Non-Resistant_R,0.4393877,0.38480866,0.5050918,0.048361715,0.38610184,0.28171262,0.4744062,0.063577175
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics,0.5066304,0.46031576,0.5836607,0.042250942,0.41889495,0.27759284,0.5489174,0.11443271
ADIDAS_Adults-Men_Men_Black_Fashion_Summer_2012_Casual_Casual_Shoes_Footwear_Shoes,0.5077007,0.42076936,0.57240224,0.05457356,0.52085656,0.43689042,0.6007353,0.059123494
Puma_Adults-Men_Men_White_Core_Winter_2014_Sports_Running_NA_Lace-Ups_Regular_Sports_Shoes_Footwear_,0.47901812,0.4050387,0.5345948,0.05019746,0.469421,0.41784444,0.5262042,0.041338637
,0.546469822,0.465565768,0.606395735333333,0.0517230352666667,0.521245451333333,0.440205447333333,0.599315049333333,0.0570601968
