product_name,related_product,common_attributes
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "35313.jpg", 3
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "23467.jpg", 3
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "34297.jpg", 3
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "25950.jpg", 3
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "19232.jpg", 3
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "58889.jpg", 3
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "25937.jpg", 3
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "48676.jpg", 3
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "25949.jpg", 3
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "56018.jpg", 3
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "30682.jpg", 3
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "57802.jpg", 3
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "48894.jpg", 3
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "Ray-Ban_Adults-Men_Men_Metallic_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA_Sung_3", 3
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "Ray-Ban_Adults-Men_Men_Metallic_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA_Sung_2", 3
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "Police_Adults-Women_Women_Brown_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA_Sung_1", 3
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "Fastrack_Adults-Women_Women_Grey_Fashion_Winter_2016_Casual_Rectangle_Sunglasses_1_year_Long_Clear_N_1", 3
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "21337.jpg", 3
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "5069.jpg", 3
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "46652.jpg", 3
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "43707.jpg", 3
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "46151.jpg", 3
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "16083.jpg", 3
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "16088.jpg", 3
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "56137.jpg", 3
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "28203.jpg", 3
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "17313.jpg", 3
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "59514.jpg", 3
